	SRR1795409merged_dedupRemoved	SRR1795411merged_dedupRemoved	SRR1795413merged_dedupRemoved	SRR1795415merged_dedupRemoved	SRR1795417merged_dedupRemoved	SRR1795419merged_dedupRemoved	SRR1795421merged_dedupRemoved	SRR1795423merged_dedupRemoved	SRR1795425merged_dedupRemoved	SRR1795427merged_dedupRemoved	SRR1795429merged_dedupRemoved	SRR1795431merged_dedupRemoved	SRR1795433merged_dedupRemoved	SRR1795435merged_dedupRemoved	SRR1795437merged_dedupRemoved	SRR1795439merged_dedupRemoved
ENSG00000120800	1353	1249	1286	1137	1099	1278	1624	2002	75	59	33	35	31	17	60	52
ENSG00000120802	855	824	881	737	813	869	1042	1167	118	78	48	62	56	45	87	86
ENSG00000120805	357	342	342	284	298	355	472	514	37	30	19	18	20	11	19	25
ENSG00000120820	30	27	30	21	22	40	40	58	6	2	2	2	2	0	2	3
ENSG00000120832	138	159	114	92	90	119	150	207	9	9	4	5	6	2	10	10
ENSG00000120833	2	1	0	0	6	3	7	6	0	0	0	0	0	0	0	0
ENSG00000120837	200	173	202	155	198	207	252	329	6	4	3	4	5	6	7	9
ENSG00000120860	69	60	59	56	52	66	95	130	11	4	2	5	3	2	5	6
ENSG00000120868	306	254	268	219	207	265	402	476	31	28	12	15	11	18	32	19
ENSG00000120875	16	4	6	6	7	5	10	16	8	4	3	1	5	4	7	6
ENSG00000120885	50	48	70	35	47	62	78	89	50	52	23	28	18	10	49	42
ENSG00000120889	382	344	381	295	318	368	478	601	36	34	11	25	18	11	29	36
ENSG00000120896	19	7	25	30	15	16	29	37	10	9	4	4	2	2	10	9
ENSG00000120899	33	25	21	23	16	31	22	51	1	2	1	0	1	0	2	1
ENSG00000120903	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000120907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000120910	92	82	88	57	61	84	116	150	4	1	0	3	2	4	6	3
ENSG00000120913	11	8	7	3	5	10	10	13	1	2	0	0	0	0	1	1
ENSG00000120915	48	40	44	27	26	43	62	77	3	1	3	5	5	2	3	9
ENSG00000120925	41	50	40	27	31	45	60	87	4	3	0	1	2	0	1	5
ENSG00000120937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000120942	53	54	62	56	50	53	72	114	10	1	2	2	2	1	2	3
ENSG00000120948	545	471	534	458	463	493	681	752	15	24	6	9	9	4	9	8
ENSG00000120949	3	1	1	0	0	2	2	3	0	0	0	0	0	1	0	0
ENSG00000120952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000120963	25	23	29	23	19	27	36	46	6	4	0	3	1	3	5	4
ENSG00000120992	245	242	290	238	260	273	357	379	6	7	1	1	5	3	6	3
ENSG00000121005	189	176	192	155	171	189	297	353	21	13	8	9	11	7	15	18
ENSG00000121022	86	70	79	51	71	85	98	113	20	23	11	8	9	8	17	14
ENSG00000121039	461	409	413	362	363	419	540	663	15	19	5	3	5	3	10	8
ENSG00000121053	5	11	4	2	3	4	5	5	0	0	0	0	0	0	0	0
ENSG00000121057	692	597	661	621	569	668	830	1020	13	15	9	14	11	12	15	17
ENSG00000121058	294	297	327	247	270	296	394	454	13	16	5	7	8	5	12	16
ENSG00000121060	103	83	92	85	67	98	128	170	26	22	8	14	11	10	25	14
ENSG00000121064	258	237	262	197	208	249	321	428	24	21	9	18	10	9	21	21
ENSG00000121067	429	426	453	365	356	442	563	641	12	13	4	4	7	9	11	9
ENSG00000121068	81	69	75	58	45	85	96	149	2	3	2	4	1	2	2	2
ENSG00000121073	268	266	259	208	248	275	373	416	19	22	12	14	14	4	21	14
ENSG00000121075	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
ENSG00000121101	22	16	27	25	16	8	26	70	0	0	0	0	0	1	0	0
