	ribo_untr_a	ribo_untr_b	ribo_tmisrib_a	ribo_tmisrib_b	untr_a_hek	untr_b_hek	tmisrib_a_hek	tmisrib_b_hek
DYNC1I2	541	673	431	502	1177	1114	1723	2460
DYNC1LI1	1438	1572	1124	1214	2418	2318	3807	5226
DYNC1LI2	1024	1154	868	859	1305	1250	1552	2378
DYNC2H1	2398	2671	2252	2334	11061	10543	14486	19975
DYNC2LI1	405	416	311	325	553	526	818	1096
DYNLL1	1387	1766	873	1064	868	855	1594	2075
DYNLL2	639	627	506	499	166	146	213	329
DYNLRB1	998	1142	645	770	245	222	463	634
DYNLT1	1182	1289	840	912	582	559	986	1384
DYNLT3	197	196	146	117	162	160	254	343
DYRK1A	587	654	496	484	1169	1015	1783	2716
DYRK1B	365	475	288	268	101	93	156	248
DYRK2	273	358	219	216	793	770	1044	1539
DYRK3	251	278	169	197	458	382	572	927
DYRK4	286	312	203	196	230	219	491	696
DZANK1	55	62	46	56	83	70	89	143
DZIP1	209	167	170	145	2337	2108	2871	4294
DZIP1L	41	54	52	33	301	294	280	400
DZIP3	662	678	569	523	1854	1756	2876	4053
E2F1	235	232	177	173	703	653	1201	1689
E2F2	485	510	327	306	252	238	261	403
E2F3	517	628	397	457	631	575	856	1344
E2F4	446	517	321	337	1067	823	1591	2177
E2F5	280	346	250	233	489	439	630	912
E2F6	89	100	78	86	220	225	271	402
E2F7	599	795	527	489	675	624	860	1316
E2F8	252	242	168	182	609	526	669	1020
E4F1	336	433	284	267	883	770	1264	1867
EAF1	578	683	431	448	330	280	492	702
EAF2	80	73	46	68	89	71	113	186
EAPP	529	633	504	478	666	588	1087	1446
EARS2	632	770	534	507	658	590	959	1310
EBAG9	150	169	105	122	186	161	288	425
EBF2	295	316	243	233	25	16	36	49
EBF3	361	461	337	346	205	181	269	374
EBF4	9	8	10	9	35	20	40	74
EBLN2	0	0	0	0	138	131	156	237
EBNA1BP2	2711	3625	2164	2153	2746	2843	4216	5806
EBP	565	796	480	442	348	324	568	816
EBPL	615	793	472	522	348	302	559	800
ECD	2055	2465	1515	1797	1090	1035	1602	2287
ECE1	925	1187	946	900	424	311	444	783
ECEL1	46	80	53	59	61	46	89	142
ECH1	1808	1940	1326	1275	279	268	338	449
ECHDC1	1492	1751	1210	1350	1411	1300	2074	2658
ECHDC2	1	0	0	3	68	31	60	94
ECHS1	3127	3844	2681	2455	2203	2088	3015	4296
ECI1	758	932	667	674	747	618	1072	1520
ECI2	1895	2026	1399	1333	2062	1938	3099	4480
ECM1	20	26	17	24	14	13	22	25
ECM2	0	1	0	0	104	118	75	160
ECPAS	2489	2804	2121	2123	6327	5906	8627	12658
ECSIT	409	561	318	289	572	539	937	1267
ECT2	2121	2208	1780	1798	3266	2881	5048	6872
ECT2L	0	0	0	1	49	39	44	45
EDA	35	55	32	37	54	36	48	72
EDA2R	71	124	93	97	52	37	56	104
EDARADD	48	76	33	57	44	31	49	68
EDC3	1128	1341	906	950	880	764	817	1497
EDC4	1881	2805	1632	1729	2121	1669	2896	4364
EDDM13	0	0	0	0	31	33	16	65
EDEM1	134	135	103	100	774	737	975	1393
EDEM2	98	127	111	76	380	316	609	890
EDEM3	336	396	331	327	1351	1292	1857	2758
EDF1	1879	3153	1608	1443	1563	1337	2425	3340
EDIL3	766	768	735	666	30	23	59	60
EDNRA	114	156	103	120	34	28	61	62
EDRF1	1148	1436	803	864	2208	1957	3136	4577
EEA1	1465	1725	1313	1341	1365	1184	1670	2207
EED	520	690	379	408	962	883	1275	1844
EEF1A1	1462	3276	1386	2224	9061	7929	18939	26758
EEF1A2	2377	2639	1994	1987	224	200	361	536
EEF1AKMT1	222	279	207	173	198	174	288	430
EEF1AKMT2	58	86	52	52	113	128	116	179
EEF1AKMT4	44	52	38	36	61	71	99	125
EEF1AKNMT	852	1116	731	765	1374	1243	1591	2335
EEF1B2	402	605	410	383	1837	1673	2831	3634
EEF1D	953	1596	953	970	3825	3620	6438	8417
EEF1E1	448	487	335	364	334	263	731	885
EEF1G	2061	2496	1788	1692	9806	9181	15784	22306
EEF2	37217	53089	34681	35669	47683	41951	80244	111550
EEF2K	221	271	174	184	428	391	478	775
EEF2KMT	53	91	43	46	206	142	338	408
EEFSEC	384	530	300	342	304	240	328	499
EEPD1	93	101	54	56	131	130	142	210
EFCAB10	22	31	24	19	47	48	57	108
EFCAB11	144	157	85	104	123	136	182	315
EFCAB13	4	6	3	4	78	61	67	143
EFCAB14	263	248	215	220	525	478	636	930
EFCAB2	20	36	17	23	102	76	110	187
EFCAB6	25	20	18	9	93	76	126	210
EFCAB7	307	305	228	247	455	392	623	959
EFEMP2	0	0	2	1	16	15	31	39
EFHC1	200	227	176	157	398	400	639	856
EFHD1	305	404	275	264	26	26	21	48
EFHD2	406	546	289	291	201	184	288	395
EFL1	350	447	282	290	1236	1109	1691	2515
EFNA4	15	25	15	6	35	24	55	77
EFNA5	429	590	389	455	127	98	126	193
EFNB1	224	378	253	249	165	117	243	377
EFNB2	609	711	531	536	143	109	264	389
EFNB3	29	30	41	27	19	33	24	32
EFR3A	213	213	172	157	839	826	1151	1722
EFR3B	244	271	215	197	118	95	128	258
EFTUD2	5312	7284	4861	4545	5918	5503	7803	11544
EGFL7	314	426	261	313	102	77	122	184
EGFL8	9	13	16	7	70	52	69	89
EGFLAM	86	102	70	77	16	13	36	34
EGFR	261	266	247	248	139	128	137	262
EGLN1	432	567	421	431	705	645	891	1390
EGLN2	220	289	167	166	439	421	640	953
EGLN3	161	186	135	130	45	37	62	105
EHBP1	388	372	335	346	1490	1352	1625	2603
EHBP1L1	64	75	39	43	52	41	51	90
EHD1	372	402	272	265	322	307	423	637
EHD3	80	99	65	55	149	145	213	283
EHD4	515	668	390	383	410	428	787	1035
EHHADH	321	290	239	250	178	175	246	353
EHMT1	813	1020	717	678	1333	1232	1701	2534
EHMT2	992	1346	811	832	1331	1179	1716	2612
EI24	494	581	425	386	2451	2086	3940	5294
EID1	2017	2686	1653	1510	1268	1239	1827	2372
EID2	970	1134	659	719	242	253	359	467
EID2B	119	114	75	73	40	44	48	62
EID3	1	5	1	3	102	109	74	125
EIF1	1407	1671	1168	1254	1049	997	996	1673
EIF1AD	248	253	162	138	331	313	359	628
EIF1AX	362	441	323	335	438	535	775	1096
EIF1B	490	602	370	405	396	355	475	760
EIF2A	1414	1563	1140	1302	2627	2289	4256	6146
EIF2AK1	1312	1352	995	1002	2367	2117	2792	4293
EIF2AK2	1551	1722	1216	1357	1127	1014	1375	2007
EIF2AK3	117	126	87	78	481	412	656	1031
EIF2AK4	789	844	691	687	1942	1701	2606	3744
EIF2B1	1511	1864	1293	1273	1245	1094	1928	2576
EIF2B2	750	878	590	593	765	676	1152	1622
EIF2B3	1540	1708	1256	1203	1439	1398	2194	3069
EIF2B4	657	829	529	566	793	788	1121	1467
EIF2B5	656	977	700	623	949	908	1552	2189
EIF2D	486	550	381	410	1632	1539	2624	3804
EIF2S1	3012	3591	2507	2507	1889	1792	2832	3980
EIF2S2	608	670	527	551	1770	1728	3058	4269
EIF2S3	5030	5091	3740	4139	4119	3624	6873	9176
EIF3A	8339	11289	7662	7934	14368	14106	19671	24430
EIF3B	6790	8209	5501	5576	8719	8497	12889	18288
EIF3C	14	41	6	11	73	67	111	182
EIF3D	8166	9674	6735	7093	8043	7390	12786	18393
EIF3E	5601	6343	4450	4963	7054	6231	12588	17485
EIF3F	753	931	702	706	1448	1385	2170	3359
EIF3G	4398	5939	3435	3688	2670	2513	4830	6833
EIF3H	3050	3767	2554	2790	2582	2424	4070	5633
EIF3I	8663	9487	6753	6732	6877	6184	12304	17284
EIF3J	955	1256	693	836	745	723	1085	1349
EIF3K	7571	8323	5747	5882	3444	3329	5215	7348
EIF3L	3054	4060	2637	2834	6676	5545	12450	17131
EIF3M	5325	6369	4706	4885	6965	6848	10452	14389
EIF4A1	5512	6784	5089	4595	17318	16084	27439	38596
EIF4A2	1228	1444	916	883	2874	2822	4782	6498
EIF4A3	3043	3806	2412	2628	3505	3172	5504	7788
EIF4B	453	687	429	456	3505	3347	5625	7546
EIF4E	91	169	112	79	242	231	433	589
EIF4E2	692	1081	641	654	781	752	1392	1819
EIF4E3	86	115	79	76	110	94	102	178
EIF4EBP1	863	996	638	660	589	615	812	1191
EIF4EBP2	237	354	208	204	157	128	235	352
EIF4ENIF1	518	672	464	432	816	779	925	1423
EIF4G1	13153	16617	11413	11463	16497	14746	19772	31328
EIF4G2	5748	6581	4727	5206	25221	22180	31440	48729
EIF4G3	3379	4069	2992	2952	4318	3775	5149	7906
EIF4H	772	961	593	613	1109	958	2202	2914
EIF5	2174	2293	1794	1862	5112	4774	7140	10433
EIF5A	5711	7860	4357	4556	2749	2701	4081	5656
EIF5A2	121	147	120	115	107	106	123	202
EIF5B	3256	3984	2787	3002	3693	3724	3980	4527
EIF6	1651	2184	1259	1354	830	733	1445	2030
EIPR1	289	350	286	273	487	449	672	955
ELAC1	48	80	65	82	79	77	103	187
ELAC2	1671	2026	1339	1257	3152	2854	4970	6992
ELAVL1	4043	4569	2955	3028	1482	1244	2080	3095
ELAVL2	281	328	209	257	162	136	268	379
ELF1	703	811	620	647	388	308	484	804
ELF2	329	415	295	317	954	852	1255	1987
ELF4	425	461	326	354	275	228	235	453
ELK1	184	229	143	154	493	382	642	945
ELK3	121	86	60	52	66	71	107	149
ELK4	105	118	78	85	298	303	341	563
ELL	244	325	181	184	157	128	225	345
ELL2	171	168	124	117	229	223	470	620
ELL3	282	237	196	180	72	49	120	172
ELMO1	54	79	51	52	31	28	42	62
ELMO2	438	559	440	347	570	485	744	986
ELMO3	6	2	2	3	65	59	83	146
ELMOD1	19	20	15	29	63	49	97	115
ELMOD2	577	710	461	492	561	545	872	1240
ELMOD3	18	25	15	13	188	112	254	371
ELMSAN1	259	312	197	189	378	319	288	529
ELOA	1514	1755	1174	1173	2412	2243	3249	4687
ELOB	2792	3476	2153	2364	1827	1670	2913	3851
ELOC	647	994	611	628	526	500	1052	1422
ELOF1	604	956	513	523	335	346	583	722
ELOVL1	951	1218	744	765	330	272	587	776
ELOVL2	296	357	244	233	153	139	264	370
ELOVL4	864	1003	723	759	290	322	509	737
ELOVL5	2383	2908	1878	2129	915	679	1578	2048
ELOVL6	414	571	323	360	211	162	277	337
ELOVL7	256	271	196	197	129	127	162	243
ELP1	2117	2437	1763	1899	4925	4466	6956	9747
ELP2	1432	1661	1133	1194	1879	1635	2446	3742
ELP3	1192	1453	991	1078	688	662	1086	1603
ELP4	376	389	268	316	499	372	856	1202
ELP5	759	929	588	585	669	612	1090	1500
ELP6	472	602	366	388	747	729	1213	1763
EMB	239	239	213	240	319	262	561	853
EMC1	2277	2848	2246	2127	2023	1762	2207	3805
EMC10	627	1097	607	615	703	622	1169	1600
EMC2	764	708	617	615	606	631	889	1169
EMC3	1217	1451	1093	1158	1078	923	1976	2842
EMC4	987	1280	903	788	503	400	792	1212
EMC6	254	339	192	185	103	116	306	402
EMC7	762	979	791	716	340	321	574	771
EMC8	583	810	449	495	566	509	832	1244
EMC9	118	136	100	93	217	243	360	492
EMD	1340	1711	1014	1063	856	757	1374	1794
EME1	262	326	218	232	621	559	895	1199
EME2	26	30	23	18	162	153	186	261
EMG1	892	1178	690	693	1026	938	1584	2166
EMID1	27	41	28	27	36	25	46	69
EMILIN1	10	5	5	3	29	23	46	65
EMILIN2	163	143	221	238	665	546	716	1076
EMILIN3	354	444	359	372	203	170	242	374
EML1	622	675	572	545	530	564	798	1252
EML2	254	278	178	191	155	151	252	319
EML3	141	143	121	110	214	218	255	406
EML4	1335	1627	1137	1232	2208	2032	3291	4769
EML6	22	15	34	17	267	219	289	435
EMP2	184	228	124	163	128	81	213	300
EMP3	287	303	226	210	63	40	143	167
EMSY	271	307	203	231	544	438	690	986
EMX1	26	45	34	26	24	15	22	48
EN2	177	218	113	132	157	117	135	228
ENAH	1929	2184	1513	1467	2778	2509	4552	5953
ENC1	405	538	358	376	102	75	127	163
ENDOD1	184	227	153	159	131	116	227	312
ENDOG	479	691	414	388	342	324	561	699
ENDOV	48	59	51	35	89	84	114	156
ENGASE	97	154	114	85	290	296	397	567
ENHO	6	12	11	6	16	13	42	56
ENKD1	63	80	39	52	132	104	183	190
ENO1	49757	62474	39880	40727	42764	38955	73770	100976
ENO2	737	947	696	659	171	147	181	333
ENO3	12	13	10	10	24	28	43	42
ENO4	35	28	31	24	33	37	42	51
ENOPH1	604	813	478	491	837	841	1070	1566
ENOSF1	247	304	214	203	428	399	486	727
ENOX1	71	74	60	62	215	211	273	437
ENOX2	150	158	121	117	551	477	754	997
ENPEP	365	353	320	355	64	68	58	95
ENPP1	450	531	474	461	636	601	876	1359
ENPP4	482	504	413	409	242	228	386	591
ENPP5	119	136	59	81	30	32	46	67
ENSA	639	1002	535	591	1074	1065	1899	2566
ENTPD1	25	19	25	15	34	23	27	44
ENTPD4	127	195	154	142	522	499	707	1024
ENTPD5	31	32	29	33	232	162	279	415
ENTPD6	308	389	262	272	493	486	806	1084
ENTPD7	286	312	245	205	718	643	933	1467
ENTR1	255	341	239	243	989	971	1313	1948
ENY2	747	1017	681	691	979	1018	1488	2063
EOGT	181	201	161	157	350	249	486	694
EOMES	46	62	32	35	31	37	69	56
EP300	2126	2527	1855	1900	2917	2235	2180	4261
EP400	1233	1527	1267	1151	1757	1290	1050	2396
EPAS1	108	103	68	51	79	57	79	118
EPB41	1722	1945	1389	1399	3165	2841	4079	6100
EPB41L1	130	145	115	113	240	199	204	426
EPB41L2	2586	2986	2028	2189	2377	2175	2928	4059
EPB41L3	1546	2041	1334	1462	1036	925	1426	1969
EPB41L4A	57	49	35	61	111	87	96	166
EPB41L4B	104	101	85	83	139	138	167	281
EPB41L5	490	497	355	432	547	482	757	1163
EPC1	209	258	255	232	597	518	903	1321
EPC2	244	256	185	261	1001	961	1569	2423
EPDR1	272	349	236	223	43	47	74	94
EPG5	440	494	358	336	970	876	997	1706
EPHA10	18	24	19	21	37	25	50	94
EPHA2	799	1003	740	668	161	138	167	292
EPHA3	244	280	228	230	397	338	590	840
EPHA4	446	621	430	454	641	538	837	1237
EPHA5	178	255	199	167	58	56	68	105
EPHA6	146	183	171	158	520	506	650	901
EPHA7	1464	2016	1512	1521	1156	1084	1550	2179
EPHA8	52	48	42	32	59	51	98	137
EPHB1	49	56	46	38	51	41	62	115
EPHB2	253	301	235	220	213	183	341	501
EPHB3	55	73	55	66	20	22	38	59
EPHB4	393	580	411	404	1083	1001	1524	2041
EPHX1	663	767	546	481	367	307	349	631
EPHX2	192	226	193	186	131	102	149	229
EPHX4	158	183	119	137	65	62	88	130
EPM2A	41	55	38	38	49	38	54	92
EPN1	820	1010	553	609	684	637	579	1134
EPN2	176	232	149	153	424	329	570	788
EPOP	46	61	29	34	33	37	31	69
EPOR	66	74	64	76	49	32	57	79
EPPK1	652	850	654	614	227	196	182	381
EPRS	5503	6018	4809	4926	15319	14458	23755	32985
EPS15	1084	1250	946	907	1646	1420	2055	3040
EPS15L1	1037	1259	847	902	527	495	605	1010
EPS8	904	1016	654	746	476	395	720	1035
EPS8L1	4	6	9	4	40	39	50	80
ERAL1	1081	1358	882	808	582	525	863	1303
ERAP1	264	295	283	235	127	121	201	285
ERBB2	244	241	235	203	588	543	789	1192
ERBB3	31	36	46	35	36	30	45	67
ERBB4	342	334	338	309	120	123	144	233
ERBIN	1038	1156	857	900	2590	2295	3814	5524
ERC1	807	922	717	657	1289	1215	1147	1986
ERC2	30	38	30	28	381	304	436	741
ERCC1	417	644	407	350	501	453	721	1136
ERCC2	756	840	629	562	563	476	831	1123
ERCC3	920	1102	777	796	1879	1656	2802	4006
ERCC4	418	501	325	326	637	659	849	1250
ERCC6	462	595	358	386	879	873	1212	1779
ERCC6L	622	777	539	586	1850	1597	2746	3941
ERCC6L2	133	137	129	104	1151	1016	1626	2374
ERCC8	147	142	93	109	474	502	759	1013
ERF	349	434	199	208	214	174	299	395
ERFE	118	174	86	114	33	24	30	69
ERG28	339	482	284	282	215	158	302	449
ERGIC1	554	698	481	484	429	343	913	1325
ERGIC2	597	582	495	537	1002	976	1595	2322
ERGIC3	1868	2437	1735	1623	2404	2165	3964	5421
ERH	2992	3208	2442	2735	1396	1483	2811	3494
ERI1	536	506	410	391	410	374	564	741
ERI2	280	271	190	254	681	593	1029	1445
ERI3	1413	1627	1143	1206	905	789	1404	1996
ERICH1	330	344	216	234	247	225	328	456
ERICH5	101	153	111	100	61	61	77	105
ERLEC1	390	400	376	330	669	600	987	1416
ERLIN1	396	443	300	298	500	485	624	899
ERLIN2	952	1177	838	925	582	514	855	1276
ERMAP	25	23	14	22	110	105	120	208
ERMARD	234	223	182	157	322	296	526	709
ERMP1	712	765	610	538	350	297	440	746
ERN1	58	96	56	61	138	123	178	298
ERO1A	1106	1079	962	908	1484	1385	1685	2759
ERO1B	163	212	174	155	315	311	392	608
ERP29	974	1307	778	803	1029	989	1929	2582
ERP44	1375	1679	1104	1232	848	778	1277	1929
ERRFI1	287	348	248	253	273	254	528	743
ERV3-1	2	8	5	4	94	84	106	162
ERVFRD-1	0	0	0	0	148	132	106	203
ERVK3-1	294	432	211	229	351	370	523	719
ESCO1	147	142	90	97	943	872	1307	1909
ESCO2	1157	1337	803	936	619	534	909	1416
ESD	4194	4702	3145	3490	2610	2416	4224	5882
ESF1	808	937	592	621	1553	1663	2329	2813
ESPL1	1773	2374	1732	1676	2440	1938	2399	3941
ESPNL	0	0	0	3	78	62	112	137
ESR2	0	3	0	0	32	36	42	56
ESRP2	401	461	366	326	257	209	291	426
ESRRA	107	171	93	101	227	217	371	485
ESRRG	0	0	1	0	37	45	45	51
ESS2	446	612	402	361	749	764	1039	1442
ESYT1	2358	2857	2043	1913	2465	2216	3311	5186
ESYT2	854	1092	856	797	1185	1029	1769	2685
ETAA1	155	150	108	135	714	702	1135	1645
ETF1	2935	3276	2307	2426	3500	3460	5390	7715
ETFA	3691	3974	2964	2810	3298	3099	5268	7511
ETFB	1119	1298	896	790	999	981	1459	1785
ETFBKMT	18	23	11	11	23	16	35	31
ETFDH	411	574	405	437	893	789	1292	1821
ETFRF1	174	154	102	144	57	93	107	140
ETHE1	166	182	130	152	94	88	165	230
ETNK1	994	1354	715	804	1069	916	1414	1989
ETNK2	62	79	40	48	149	161	226	330
ETNPPL	35	34	41	21	28	23	40	45
ETS2	464	582	386	447	371	279	378	626
ETV1	405	416	255	287	24	22	37	48
ETV3	359	511	327	287	240	238	411	612
ETV6	81	111	61	49	39	31	37	71
EVC	57	72	57	53	499	449	367	693
EVI2B	0	0	0	0	60	57	26	86
EVI5	391	445	323	355	1155	1035	1350	2177
EVI5L	131	148	116	116	180	156	213	327
EVL	129	168	111	113	381	313	388	628
EWSR1	3819	5181	3206	3765	6544	6486	10345	13917
EXD2	258	336	281	267	487	450	622	862
EXD3	25	14	22	21	32	33	28	41
EXO1	802	849	652	683	4194	3981	5869	8538
EXO5	136	181	141	151	64	71	117	136
EXOC1	719	727	592	555	1070	1039	1617	2317
EXOC2	1290	1493	1140	1135	1656	1475	2669	3577
EXOC3	654	765	519	529	713	668	952	1472
EXOC4	1503	1611	1254	1217	1492	1308	2075	3086
EXOC5	431	466	322	334	1346	1284	1949	2701
EXOC6	1240	1251	996	1038	1116	1036	1598	2363
EXOC6B	531	609	465	454	1039	847	1232	1944
EXOC7	1135	1448	878	1012	1420	1233	2236	3366
EXOC8	721	950	626	605	1549	1413	1875	2908
EXOG	165	247	127	155	473	431	471	745
EXOSC1	730	985	596	626	430	382	666	981
EXOSC10	2674	3545	2167	2427	3353	3002	5063	7412
EXOSC2	1434	1773	1282	1219	1673	1649	2325	3417
EXOSC3	657	875	505	531	1031	942	1338	1969
EXOSC4	613	838	446	409	536	444	676	949
EXOSC5	1005	1326	826	788	455	476	734	923
EXOSC6	471	653	396	444	159	196	159	292
EXOSC7	564	700	434	422	1172	1120	1597	2324
EXOSC8	1762	1932	1481	1527	1382	1320	1909	2733
EXOSC9	1061	1352	883	912	2053	2002	3098	4513
EXPH5	186	218	167	158	694	523	639	1082
EXT1	277	304	253	265	838	706	1305	1965
EXT2	901	1088	875	886	1566	1485	2482	3554
EXTL2	271	234	210	244	292	218	396	594
EXTL3	299	363	272	286	468	430	642	945
EYA1	71	70	55	57	236	232	380	530
EYA2	204	251	186	197	67	48	85	152
EYA3	656	737	490	557	1079	789	1314	2089
EYA4	506	583	372	390	447	445	846	1152
EYS	0	3	1	1	112	106	177	295
EZH1	173	142	140	143	399	360	509	762
EZH2	1077	1446	953	966	1817	1708	2579	3530
EZR	3428	4709	2995	3054	2228	2210	3599	4417
F11R	442	583	480	449	202	202	283	446
F12	74	94	64	51	42	40	62	88
F2R	370	440	303	342	156	145	222	378
F2RL1	412	467	340	288	209	167	272	361
F3	61	65	42	51	29	30	31	59
F8	60	55	47	58	124	109	145	257
FAAH	104	128	115	82	19	33	58	57
FAAH2	83	72	75	73	30	38	45	58
FAAP100	148	207	148	109	659	564	936	1315
FAAP20	171	255	137	155	93	100	141	195
FAAP24	160	217	139	169	73	65	93	146
FABP3	9	10	8	2	34	21	38	68
FADD	382	470	245	263	262	212	361	495
FADS1	345	403	259	284	516	397	891	1212
FADS2	1532	1839	1363	1302	425	340	713	982
FADS3	114	147	86	91	84	72	126	213
FAF1	1454	1653	1266	1281	2546	2308	3664	5417
FAF2	1192	1433	1014	1064	1052	999	1942	2544
FAH	336	410	269	237	463	401	694	993
FAHD1	422	529	334	317	299	292	399	581
FAHD2A	90	92	57	70	234	197	332	452
FAHD2B	39	31	22	19	73	69	106	159
FAIM	659	935	560	590	933	864	1325	1589
FAM102A	17	23	19	28	67	59	64	119
FAM102B	200	200	178	147	281	259	360	516
FAM104A	231	334	142	155	139	144	213	290
FAM104B	174	196	98	172	182	154	249	379
FAM107B	317	280	220	262	129	128	184	285
FAM110B	51	56	27	26	55	45	56	64
FAM114A1	90	87	80	56	57	78	93	118
FAM114A2	428	580	413	380	511	472	776	1094
FAM117A	137	198	112	122	162	105	160	225
FAM117B	383	432	315	334	276	249	317	619
FAM118A	205	244	166	180	251	223	276	448
FAM118B	249	278	174	184	508	441	692	1088
FAM120A	1112	1457	988	904	2965	2727	3849	5696
FAM120AOS	80	78	48	64	137	109	199	278
FAM120B	815	991	711	809	1390	1174	1573	2631
FAM120C	276	398	243	245	233	183	284	476
FAM122A	178	218	118	119	170	159	306	405
FAM122B	336	389	263	289	515	377	525	856
FAM124A	50	55	39	41	20	19	29	45
FAM126A	434	485	335	346	857	775	1222	1792
FAM126B	149	176	113	124	491	428	659	945
FAM129A	328	317	232	254	43	41	65	84
FAM129B	838	963	645	638	834	746	1216	1765
FAM131A	64	81	52	40	41	27	47	62
FAM133B	14	13	16	16	130	145	209	311
FAM135A	352	327	235	275	1329	1195	1884	2709
FAM136A	576	810	512	487	421	373	644	836
FAM13A	254	292	213	218	810	799	1033	1470
FAM13B	83	103	87	83	1386	1245	1667	2664
FAM13C	54	69	40	42	68	53	84	87
FAM149A	29	42	22	19	53	44	62	96
FAM149B1	61	57	42	46	370	339	475	691
FAM151B	33	45	24	33	86	50	86	122
FAM155B	25	30	20	13	70	64	105	157
FAM160A1	64	87	56	53	236	183	271	415
FAM160A2	133	192	124	127	432	385	596	869
FAM160B1	364	458	365	382	487	428	607	864
FAM160B2	208	252	197	166	129	95	144	201
FAM161A	234	226	158	163	328	337	396	496
FAM161B	73	73	46	51	86	82	141	181
FAM162A	928	1010	775	739	873	893	1257	1877
FAM166A	0	0	0	0	56	46	166	227
FAM168A	376	423	290	321	82	59	147	197
FAM168B	770	862	643	590	365	273	653	900
FAM169A	405	541	318	357	990	898	1296	1874
FAM171A1	323	410	281	316	633	577	799	1175
FAM171A2	152	191	114	107	112	103	170	210
FAM171B	129	128	105	122	372	335	590	935
FAM172A	252	270	224	205	295	319	417	611
FAM173A	90	130	97	73	250	226	350	506
FAM174A	101	115	80	83	89	64	115	142
FAM177A1	213	257	137	170	265	238	394	513
FAM184A	305	291	287	274	798	765	1010	1483
FAM184B	69	71	72	60	98	62	82	118
FAM185A	41	65	45	38	107	99	108	222
FAM186B	5	5	6	4	114	82	81	112
FAM189A1	13	13	12	16	29	13	23	42
FAM189B	337	399	251	239	414	342	321	587
FAM192A	305	467	229	273	505	506	883	1269
FAM193A	295	358	211	253	612	520	517	988
FAM193B	154	190	124	145	544	404	567	888
FAM199X	982	1049	749	772	1297	1125	2058	2877
FAM200A	188	176	131	150	266	248	333	517
FAM200B	39	43	29	36	379	362	483	752
FAM204A	344	431	279	319	887	934	1210	1693
FAM206A	136	221	112	138	135	130	186	292
FAM207A	181	278	145	179	174	201	200	324
FAM20A	4	4	6	3	24	13	32	38
FAM20B	163	229	170	157	815	752	1007	1508
FAM20C	108	108	103	76	37	47	51	92
FAM210A	270	373	230	247	259	248	367	495
FAM210B	215	229	213	175	139	130	167	231
FAM214A	226	207	186	213	283	218	314	542
FAM214B	3	8	10	6	12	17	22	36
FAM216A	1259	1184	860	937	592	512	1067	1540
FAM217B	54	73	59	68	452	385	656	972
FAM219A	186	251	162	154	78	76	110	171
FAM219B	125	166	99	108	227	234	327	499
FAM221A	226	262	176	152	62	58	77	105
FAM222A	37	41	19	19	38	20	70	110
FAM222B	172	208	123	136	80	57	78	153
FAM227A	10	3	9	6	134	126	151	267
FAM227B	9	9	9	13	30	30	35	64
FAM228B	6	11	7	7	19	17	28	43
FAM229B	96	151	75	88	155	140	230	289
FAM234A	34	42	41	32	33	34	55	88
FAM234B	503	591	565	506	479	444	560	866
FAM241A	216	241	169	155	115	101	135	163
FAM241B	134	186	110	107	20	13	52	45
FAM32A	331	469	310	286	373	341	430	639
FAM3A	143	162	121	100	349	331	479	682
FAM3C	1	1	2	2	22	40	48	70
FAM45A	70	58	38	46	82	59	94	121
FAM49B	1127	1272	988	973	1194	1135	1970	2820
FAM50A	1809	2254	1537	1417	1393	1513	2236	2798
FAM50B	0	4	2	4	34	31	60	65
FAM53A	2	5	2	5	23	17	40	55
FAM53B	95	138	106	77	393	360	575	832
FAM53C	444	536	361	335	337	311	791	1030
FAM57A	177	278	175	175	225	209	311	446
FAM71E1	43	50	23	29	37	28	41	69
FAM72A	2	10	4	1	42	41	47	71
FAM72B	13	11	9	8	27	39	49	77
FAM76A	140	171	111	129	336	327	496	795
FAM76B	112	142	106	108	289	291	587	716
FAM78A	6	5	4	4	17	12	28	33
FAM81A	21	17	13	11	85	40	106	132
FAM83B	243	294	182	246	122	83	149	232
FAM83D	1413	1760	1234	1268	964	835	1383	2117
FAM83G	237	289	161	165	336	313	360	621
FAM83H	262	441	297	320	170	166	204	304
FAM84B	21	18	7	10	255	226	384	601
FAM89A	171	244	151	156	128	125	155	236
FAM89B	56	92	57	60	84	61	95	144
FAM8A1	408	516	382	340	338	367	508	732
FAM91A1	416	457	329	323	1204	1135	1854	2596
FAM92A	221	250	195	198	413	387	607	795
FAM95C	0	4	3	3	69	56	50	117
FAM98A	1235	1582	875	942	1291	1217	1684	2199
FAM98B	1438	1499	1059	1140	515	334	440	898
FAM98C	118	197	117	116	79	69	117	151
FAN1	320	370	270	318	836	766	1104	1609
FANCA	1036	1197	934	870	2265	1765	2321	3867
FANCB	309	378	242	284	1286	1240	1541	2418
FANCC	253	280	215	228	421	364	553	805
FANCD2	1299	1472	1161	1119	4285	3867	5579	8386
FANCE	290	310	219	198	431	333	489	694
FANCG	277	387	253	251	733	633	977	1413
FANCI	2376	2690	1990	2064	6473	5999	9229	13716
FANCL	906	1050	763	760	837	868	1274	1827
FANCM	356	460	278	258	1700	1667	2213	3349
FAR1	1808	2206	1439	1660	2069	1937	2977	4130
FAR2	608	656	462	473	496	458	868	1246
FARP1	472	556	413	385	506	390	593	919
