	untr_a_hek	untr_b_hek	tmisrib_a_hek	tmisrib_b_hek
AC010761.1	65	51	72	94
AC011455.2	42	45	63	89
AC011462.1	70	52	71	126
AC011481.1	1385	1319	2260	3247
AC011529.1	71	61	79	142
AC012184.2	25	20	37	40
AC015813.2	237	209	235	341
AC017083.3	44	44	47	63
AC018523.2	35	33	66	56
AC018630.2	35	27	24	48
AC022826.2	42	39	53	74
AC023055.1	26	23	29	50
AC025287.4	35	20	30	29
AC026464.4	51	46	60	100
AC026470.1	707	687	1055	1490
AC026786.1	48	36	66	78
AC026954.2	21	17	41	49
AC048338.1	33	34	49	59
AC068533.4	26	30	41	66
AC068790.8	146	121	258	300
AC068896.1	50	67	72	128
AC073610.2	55	55	69	102
AC073896.1	210	170	338	535
AC074143.1	17	14	10	25
AC079447.1	84	66	88	123
AC079594.2	47	41	52	71
AC080038.1	125	107	150	246
AC087289.1	42	42	56	66
AC090004.1	120	79	142	260
AC091551.1	18	11	27	44
AC092338.1	501	445	628	882
AC092647.5	37	40	54	70
AC092835.1	80	72	89	153
AC093323.1	40	55	52	95
AC093668.1	15	18	33	49
AC097634.4	63	63	85	116
AC099489.1	129	104	115	224
AC104109.3	81	50	113	129
AC108488.2	22	13	29	36
AC117378.1	339	359	475	672
AC118549.1	3960	3622	5666	8378
AC118754.1	22	23	23	43
AC124319.1	2283	1873	2126	3830
AC129492.1	317	218	289	520
AC138811.2	106	76	135	186
AC139530.3	92	67	146	193
AC139768.1	45	37	38	65
AC245033.1	3943	2641	10894	15669
ACAA1	527	466	733	996
ACAA2	567	556	724	1119
ACACA	4289	3844	4981	7616
ACACB	480	413	506	833
ACAD10	339	299	443	651
ACAD11	1516	1299	1857	2751
ACAD8	424	415	559	811
ACAD9	1062	950	1490	2128
ACADL	84	74	102	131
ACADM	1952	1985	3026	4033
ACADS	161	143	259	340
ACADSB	400	375	562	853
ACADVL	1184	1019	1679	2498
ACAP2	876	808	1185	1729
ACAP3	416	364	564	727
ACAT1	2462	2293	3416	4872
ACAT2	2710	2475	4134	5567
ACBD3	1510	1482	2290	3010
ACBD4	43	40	43	65
ACBD5	345	326	478	650
ACBD6	1164	1080	1853	2575
ACBD7	30	34	38	57
ACCS	65	62	70	120
ACD	230	223	383	516
ACER2	30	19	38	54
ACER3	138	124	229	346
ACIN1	4546	4323	6023	8438
ACLY	9217	8141	13809	19662
ACMSD	25	15	24	42
ACO1	1151	1093	1729	2399
ACO2	1654	1438	2291	3421
ACOT1	26	18	40	48
ACOT13	384	350	593	785
ACOT2	140	128	214	279
ACOT7	545	532	641	992
ACOT8	232	178	308	475
ACOT9	582	517	869	1173
ACOX1	933	906	1344	1958
ACOX3	285	260	312	528
ACP1	902	773	1341	1754
ACP2	249	235	337	570
ACP4	27	25	64	75
ACP6	471	409	642	878
ACRV1	37	31	45	73
ACSBG2	12	15	21	31
ACSF2	147	121	214	330
ACSF3	419	384	571	827
ACSL1	483	470	782	1051
ACSL3	2675	2485	3927	5579
ACSL4	1299	1240	1887	2576
ACSM3	176	151	242	359
ACSS1	223	228	287	447
ACSS2	284	244	441	520
ACSS3	59	62	69	124
ACTA2	77	63	83	135
ACTB	17010	15507	25608	37690
ACTG1	18956	16596	35028	47563
ACTL6A	1069	1031	1835	2652
ACTN1	1426	1215	1754	2778
ACTN2	185	173	181	291
ACTN4	2358	2062	3040	4776
ACTR10	801	786	1350	1945
ACTR1A	1795	1597	2685	3904
ACTR1B	523	460	789	1095
ACTR2	2391	2283	2987	4113
ACTR3	2590	2446	4003	5643
ACTR3B	247	178	220	405
ACTR5	413	354	559	839
ACTR6	1024	1074	1629	2156
ACTR8	1758	1621	2440	3505
ACTRT3	59	75	80	120
ACVR1	130	75	140	211
ACVR1B	308	323	375	545
ACVR1C	32	36	46	60
ACVR2A	304	285	477	641
ACVR2B	496	437	560	862
ACY1	19	15	21	46
ACYP1	137	138	197	294
ACYP2	30	28	49	55
AD000864.1	43	28	44	53
ADA	200	179	257	385
ADAL	184	168	256	390
ADAM10	915	852	1202	1736
ADAM11	131	121	206	288
ADAM15	1002	826	1500	2162
ADAM17	896	861	1201	1678
ADAM19	50	67	76	109
ADAM22	384	334	516	808
ADAM23	286	270	355	549
ADAM32	21	31	34	53
ADAM8	35	31	42	46
ADAM9	1986	1936	2918	3962
ADAMTS1	840	753	1278	1730
ADAMTS10	11	12	17	32
ADAMTS13	161	110	134	226
ADAMTS15	47	22	32	73
ADAMTS17	253	233	238	448
ADAMTS19	210	196	219	325
ADAMTS2	46	27	52	105
ADAMTS20	303	247	334	532
ADAMTS3	259	275	407	610
ADAMTS6	68	68	80	136
ADAMTS7	50	43	49	99
ADAMTS9	298	280	320	533
ADAMTSL3	42	37	48	63
ADAMTSL4	40	40	51	94
ADAP1	61	61	127	164
ADAP2	83	77	118	156
ADAR	5990	5224	8197	12183
ADARB1	322	254	411	640
ADAT1	540	444	595	971
ADAT2	340	331	322	518
ADAT3	58	59	68	109
ADCK1	179	182	262	344
ADCK2	588	550	840	1174
ADCK5	65	61	105	127
ADCY1	387	337	485	723
ADCY3	1172	1018	1510	2415
ADCY6	385	323	412	665
ADCY7	102	82	121	209
ADCY9	613	558	597	1024
ADCYAP1R1	25	25	33	51
ADD1	1359	1388	1880	2796
ADD2	466	445	559	868
ADD3	1347	1188	2237	3230
ADGRA2	92	65	114	181
ADGRA3	1071	942	1411	2183
ADGRB2	278	238	345	463
ADGRB3	363	327	432	631
ADGRE5	92	57	83	122
ADGRG2	53	34	63	77
ADGRG6	103	107	130	203
ADGRL1	831	640	800	1456
ADGRL2	2634	2274	3948	5846
ADGRL3	514	430	742	1051
ADGRV1	3350	3094	4180	6243
ADH5	1513	1451	2579	3469
ADI1	1232	1224	1638	2421
ADIPOR1	1565	1435	2510	3623
ADIPOR2	643	627	1124	1482
ADK	862	838	1200	1696
ADM	38	42	91	104
ADNP	3213	2716	2994	5408
ADNP2	1418	1239	1807	2573
ADO	161	182	256	381
ADORA2A	39	25	56	67
ADORA2B	157	127	216	334
ADPGK	964	814	1348	2112
ADPRHL1	51	45	57	86
ADPRHL2	524	496	806	1153
ADPRM	102	88	174	252
ADRA2C	37	48	94	125
ADRM1	1490	1396	2330	3316
ADSL	4044	3727	6591	9623
ADSS	2699	2808	3670	4897
ADSSL1	13	10	18	28
AEBP2	525	423	547	809
AEN	655	598	1138	1430
AES	221	190	396	549
AFAP1	258	281	275	476
AFAP1L1	100	87	167	236
AFDN	4779	4358	5631	8496
AFF1	533	433	554	908
AFF3	139	112	159	301
AFF4	2175	1790	2670	4240
AFG1L	183	184	261	388
AFG3L2	2560	2396	3486	5117
AFMID	190	175	238	299
AFTPH	783	653	1094	1583
AGA	261	246	395	669
AGAP1	548	540	680	1062
AGAP2	83	84	131	174
AGAP3	1002	795	1297	1796
AGAP5	35	24	26	50
AGAP6	121	84	155	263
AGAP9	152	140	140	246
AGBL3	72	77	76	136
AGBL5	1352	1067	2007	2983
AGER	62	55	51	94
AGFG1	1233	971	1894	2708
AGFG2	99	74	123	192
AGGF1	181	175	288	369
AGK	1124	965	1498	2403
AGL	2876	2459	3691	5669
AGMAT	58	47	73	97
AGO1	1137	982	1318	2077
