	untr_a_hek	untr_b_hek	tm_a_hek	tm_b_hek
EMC2	606	631	450	561
EMC3	1078	923	1036	1254
EMC4	503	400	405	456
EMC6	103	116	160	200
EMC7	340	321	277	377
EMC8	566	509	441	513
EMC9	217	243	208	237
EMD	856	757	732	889
EME1	621	559	453	513
EME2	162	153	98	105
EMG1	1026	938	744	880
EMID1	36	25	22	22
EMILIN1	29	23	28	28
EMILIN2	665	546	373	448
EMILIN3	203	170	158	171
EML1	530	564	420	525
EML2	155	151	128	142
EML3	214	218	170	191
EML4	2208	2032	1691	2132
EML6	267	219	160	184
EMP2	128	81	116	143
EMP3	63	40	59	69
EMSY	544	438	327	445
EMX1	24	15	14	16
EN2	157	117	83	123
ENAH	2778	2509	2360	2999
ENC1	102	75	65	87
ENDOD1	131	116	112	141
ENDOG	342	324	251	349
ENDOV	89	84	57	69
ENGASE	290	296	200	291
ENHO	16	13	16	24
ENKD1	132	104	84	104
ENO1	42764	38955	37631	44624
ENO2	171	147	91	136
ENO3	24	28	17	27
ENO4	33	37	17	21
ENOPH1	837	841	521	678
ENOSF1	428	399	292	335
ENOX1	215	211	159	191
ENOX2	551	477	380	487
ENPEP	64	68	47	45
ENPP1	636	601	512	573
ENPP4	242	228	218	266
ENPP5	30	32	19	35
ENSA	1074	1065	850	1170
ENTPD1	34	23	12	12
ENTPD4	522	499	380	447
ENTPD5	232	162	137	158
ENTPD6	493	486	383	476
ENTPD7	718	643	526	621
ENTR1	989	971	658	873
ENY2	979	1018	707	951
EOGT	350	249	266	305
EOMES	31	37	31	45
EP300	2917	2235	1130	1535
EP400	1757	1290	494	725
EPAS1	79	57	43	51
EPB41	3165	2841	2086	2620
EPB41L1	240	199	131	161
EPB41L2	2377	2175	1395	1955
EPB41L3	1036	925	703	957
EPB41L4A	111	87	52	69
EPB41L4B	139	138	74	138
EPB41L5	547	482	361	493
EPC1	597	518	398	557
EPC2	1001	961	821	1054
EPDR1	43	47	25	44
EPG5	970	876	547	738
EPHA10	37	25	25	21
EPHA2	161	138	111	134
EPHA3	397	338	297	359
EPHA4	641	538	460	558
EPHA5	58	56	41	59
EPHA6	520	506	291	446
EPHA7	1156	1084	756	1043
EPHA8	59	51	53	55
EPHB1	51	41	36	43
EPHB2	213	183	169	215
EPHB3	20	22	17	24
EPHB4	1083	1001	795	983
EPHX1	367	307	175	242
EPHX2	131	102	67	110
EPHX4	65	62	42	53
EPM2A	49	38	34	36
EPN1	684	637	317	404
EPN2	424	329	315	381
EPOP	33	37	11	23
EPOR	49	32	29	41
EPPK1	227	196	102	144
EPRS	15319	14458	11662	14492
EPS15	1646	1420	1063	1346
EPS15L1	527	495	296	442
EPS8	476	395	368	437
EPS8L1	40	39	20	36
ERAL1	582	525	449	582
ERAP1	127	121	85	126
ERBB2	588	543	422	520
ERBB3	36	30	31	32
ERBB4	120	123	68	103
ERBIN	2590	2295	1894	2415
ERC1	1289	1215	587	764
ERC2	381	304	222	325
ERCC1	501	453	385	444
ERCC2	563	476	381	531
ERCC3	1879	1656	1476	1686
ERCC4	637	659	479	557
ERCC6	879	873	617	743
ERCC6L	1850	1597	1336	1703
ERCC6L2	1151	1016	784	1021
ERCC8	474	502	361	442
ERF	214	174	157	179
ERFE	33	24	17	23
ERG28	215	158	162	188
ERGIC1	429	343	488	620
ERGIC2	1002	976	808	1037
ERGIC3	2404	2165	1994	2515
ERH	1396	1483	1314	1751
ERI1	410	374	240	280
ERI2	681	593	516	649
ERI3	905	789	749	895
ERICH1	247	225	165	213
ERICH5	61	61	42	40
ERLEC1	669	600	523	645
ERLIN1	500	485	304	420
ERLIN2	582	514	433	591
ERMAP	110	105	74	77
ERMARD	322	296	281	318
ERMP1	350	297	213	336
ERN1	138	123	74	109
ERO1A	1484	1385	938	1168
ERO1B	315	311	199	248
ERP29	1029	989	999	1188
ERP44	848	778	667	795
ERRFI1	273	254	288	341
ERV3-1	94	84	47	76
ERVFRD-1	148	132	56	81
ERVK3-1	351	370	244	336
ESCO1	943	872	694	851
ESCO2	619	534	502	595
ESD	2610	2416	2066	2504
ESF1	1553	1663	1193	1500
ESPL1	2440	1938	1300	1708
ESPNL	78	62	43	58
ESR2	32	36	16	23
ESRP2	257	209	179	185
ESRRA	227	217	179	215
ESRRG	37	45	28	23
ESS2	749	764	508	653
ESYT1	2465	2216	1718	2391
ESYT2	1185	1029	897	1118
ETAA1	714	702	577	720
ETF1	3500	3460	2660	3396
ETFA	3298	3099	2652	3216
ETFB	999	981	692	875
ETFBKMT	23	16	18	19
ETFDH	893	789	648	835
ETFRF1	57	93	34	72
ETHE1	94	88	84	120
ETNK1	1069	916	665	872
ETNK2	149	161	114	147
ETNPPL	28	23	19	25
ETS2	371	279	230	268
ETV1	24	22	27	24
ETV3	240	238	226	268
ETV6	39	31	27	38
EVC	499	449	206	283
EVI2B	60	57	24	32
EVI5	1155	1035	748	962
EVI5L	180	156	104	137
EVL	381	313	212	289
EWSR1	6544	6486	5101	6913
EXD2	487	450	305	398
EXD3	32	33	17	17
EXO1	4194	3981	2996	3797
EXO5	64	71	62	70
EXOC1	1070	1039	804	1090
EXOC2	1656	1475	1234	1704
EXOC3	713	668	495	644
EXOC4	1492	1308	1034	1299
EXOC5	1346	1284	933	1250
EXOC6	1116	1036	793	979
EXOC6B	1039	847	585	790
EXOC7	1420	1233	1137	1431
EXOC8	1549	1413	981	1197
EXOG	473	431	243	287
EXOSC1	430	382	349	457
EXOSC10	3353	3002	2534	3247
EXOSC2	1673	1649	1164	1504
EXOSC3	1031	942	674	849
EXOSC4	536	444	336	438
EXOSC5	455	476	359	415
EXOSC6	159	196	66	100
EXOSC7	1172	1120	794	959
EXOSC8	1382	1320	951	1225
EXOSC9	2053	2002	1633	1870
EXPH5	694	523	377	474
EXT1	838	706	675	854
EXT2	1566	1485	1275	1550
EXTL2	292	218	191	257
EXTL3	468	430	317	427
EYA1	236	232	181	232
EYA2	67	48	50	59
EYA3	1079	789	679	924
EYA4	447	445	392	562
EYS	112	106	77	103
EZH1	399	360	246	374
EZH2	1817	1708	1241	1599
EZR	2228	2210	1789	2246
F11R	202	202	154	200
F12	42	40	27	37
F2R	156	145	121	162
F2RL1	209	167	150	191
F3	29	30	22	23
F8	124	109	79	103
FAAH	19	33	22	31
FAAH2	30	38	21	34
FAAP100	659	564	476	579
FAAP20	93	100	72	98
FAAP24	73	65	38	63
FABP3	34	21	23	20
FADD	262	212	181	225
FADS1	516	397	439	571
FADS2	425	340	355	483
FADS3	84	72	72	88
FAF1	2546	2308	1808	2297
FAF2	1052	999	916	1178
FAH	463	401	382	405
FAHD1	299	292	234	234
FAHD2A	234	197	146	209
FAHD2B	73	69	65	53
FAIM	933	864	597	782
FAM102A	67	59	41	33
FAM102B	281	259	194	248
FAM104A	139	144	95	129
FAM104B	182	154	142	140
FAM107B	129	128	120	89
FAM110B	55	45	35	17
FAM114A1	57	78	50	61
FAM114A2	511	472	398	476
FAM117A	162	105	70	93
FAM117B	276	249	176	235
FAM118A	251	223	176	207
FAM118B	508	441	386	476
FAM120A	2965	2727	2075	2511
FAM120AOS	137	109	107	117
FAM120B	1390	1174	806	1085
FAM120C	233	183	150	179
FAM122A	170	159	133	213
FAM122B	515	377	227	305
FAM124A	20	19	15	19
