	ribo_untr_a	ribo_untr_b	ribo_tm_a	ribo_tm_b
PODXL	536	657	252	180
PODXL2	937	1202	458	237
POFUT1	486	578	245	165
POFUT2	195	294	112	52
POGK	441	566	248	158
POGLUT1	139	175	68	39
POGZ	1455	1564	693	440
POLA1	1897	2425	1083	705
POLA2	62	70	39	23
POLB	399	483	161	131
POLD1	942	1256	509	305
POLD2	1683	2205	1004	710
POLD3	508	532	239	172
POLDIP2	1391	1661	735	475
POLDIP3	1365	1701	689	443
POLE	2630	3385	1438	910
POLE2	611	604	234	180
POLE3	527	744	375	205
POLE4	255	409	192	120
POLG	471	616	316	187
POLG2	129	178	78	57
POLH	322	427	234	193
POLI	165	113	70	60
POLK	472	456	235	179
POLL	246	295	124	96
POLM	141	189	74	44
POLN	29	29	19	7
POLQ	536	645	307	173
POLR1A	1379	1912	964	661
POLR1B	1145	1423	625	373
POLR1C	1187	1491	625	436
POLR1D	621	655	244	166
POLR1E	657	802	346	275
POLR2A	1725	2232	1086	707
POLR2B	4872	5347	2849	1891
POLR2C	1299	1583	654	412
POLR2D	595	615	374	189
POLR2E	2250	2681	1314	866
POLR2F	697	1012	424	222
POLR2G	1492	1683	714	506
POLR2H	1018	1389	554	352
POLR2I	1648	2019	909	503
POLR2J	48	55	17	12
POLR2K	600	623	304	206
POLR2L	1622	2241	1166	786
POLR2M	24	23	12	8
POLR3A	1606	2052	1085	617
POLR3B	927	1196	581	399
POLR3C	994	1261	568	418
POLR3D	469	602	198	142
POLR3E	476	560	231	137
POLR3F	632	780	324	226
POLR3G	146	114	50	35
POLR3GL	84	98	42	37
POLR3H	508	650	280	166
POLR3K	958	1427	678	368
POLRMT	316	405	202	128
POM121	101	143	71	39
POM121C	82	120	75	41
POMGNT1	338	393	104	53
POMGNT2	144	228	97	42
POMK	636	711	422	287
POMP	4454	4708	2356	1498
POMT1	608	823	346	186
POMT2	106	212	77	47
PON2	545	599	211	168
POP1	589	817	391	280
POP4	2151	2452	1185	776
POP5	601	720	361	215
POP7	781	981	437	269
POPDC3	27	44	10	10
POR	714	939	428	243
PORCN	39	61	30	8
POT1	430	367	197	150
POU2F1	505	571	307	189
POU3F2	280	386	168	113
POU3F3	53	64	49	13
POU4F1	72	136	55	35
PP2D1	0	0	0	0
PPA1	5016	5468	2231	1606
PPA2	1111	1312	525	287
