	tmisrib_a_hek	tmisrib_b_hek	untr_a_hek	untr_b_hek
HEATR6	1072	1582	825	701
HEBP1	86	149	109	93
HEBP2	1223	1799	702	700
HECA	361	491	286	227
HECTD1	9880	14334	7160	6763
HECTD2	327	527	264	228
HECTD3	313	568	321	284
HECTD4	1725	3463	2054	1746
HECW2	151	266	104	107
HEG1	176	265	194	162
HELB	629	992	540	485
HELLS	6350	10073	5986	5487
HELQ	755	1064	542	477
HELZ	2855	4495	2498	2185
HELZ2	162	266	143	165
HEMK1	247	337	159	103
HERC1	4077	6139	3196	2847
HERC2	5541	9066	5581	4937
HERC3	471	748	446	384
HERC4	965	1467	788	687
HERC5	1191	1717	862	839
HERC6	150	189	87	91
HERPUD1	596	827	328	275
HERPUD2	220	342	176	125
HES1	327	481	189	149
HES4	551	842	435	440
HES6	109	138	70	66
HEXA	1897	2663	1172	971
HEXB	2086	2981	1191	1066
HEXDC	299	454	174	185
HEXIM1	498	706	251	247
HEXIM2	43	84	41	47
HEY1	2366	3155	1228	1219
HEY2	32	74	46	33
HFM1	260	407	207	193
HGS	1355	1868	916	767
HGSNAT	326	497	286	245
HHAT	58	68	47	30
HHEX	67	95	50	46
HHIP	58	78	44	48
HIAT1	1535	2087	865	771
HIATL1	1244	1677	705	717
HIBADH	596	832	378	407
HIBCH	1060	1535	706	663
HIC2	351	559	258	216
HID1	49	79	44	31
HIF1A	3202	4508	2058	1890
HIF1AN	555	811	404	392
HIGD1A	1436	1934	726	601
HIGD2A	793	1119	439	333
HILPDA	25	74	31	35
HINFP	373	493	275	256
HINT1	2908	4010	1468	1219
HINT2	281	371	222	194
HINT3	170	290	148	131
HIP1	467	747	420	397
HIP1R	624	885	478	477
HIPK1	1420	2049	1086	850
HIPK2	347	649	387	327
HIPK3	1757	2623	1252	1137
HIRA	2052	3022	1659	1500
HIRIP3	586	673	345	354
HIST1H1C	44567	62254	26520	25087
HIST1H1D	5671	8338	3914	3647
HIST1H1E	26742	37214	16437	15472
HIST1H2AB	2988	4122	1400	1053
HIST1H2AC	6284	8775	3606	3133
HIST1H2AD	6392	9556	2805	2192
HIST1H2AE	72	92	32	24
HIST1H2AG	14297	20868	7582	5788
HIST1H2AH	13328	19926	7100	6055
HIST1H2AJ	6036	8636	3244	2693
HIST1H2AK	2437	3551	1179	923
HIST1H2AL	1369	2077	948	790
HIST1H2AM	7599	10597	4355	3728
HIST1H2BC	20591	31270	8877	6668
HIST1H2BD	22708	33729	10091	7446
HIST1H2BE	12264	18407	5216	3858
HIST1H2BF	2550	3818	1477	1264
HIST1H2BI	1670	2572	1169	870
HIST1H2BJ	21919	32312	9400	6905
HIST1H2BK	30586	45224	15573	13113
HIST1H2BL	4567	6999	2372	2017
HIST1H2BN	13159	19531	5276	4145
HIST1H2BO	19230	28636	8228	6577
HIST1H3A	4072	6028	2200	1798
HIST1H3B	15339	21339	9346	8663
HIST1H3E	83	113	42	27
HIST1H3F	386	577	258	220
HIST1H3H	6970	10463	4203	3637
HIST1H3J	2036	3081	1171	926
HIST1H4A	1252	1682	923	896
HIST1H4B	11151	16937	8063	7785
HIST1H4C	11918	17531	7931	7575
HIST1H4D	7222	10418	4516	4397
HIST1H4E	5859	7668	3986	3993
HIST1H4H	5419	7174	2867	2365
HIST1H4I	229	345	267	284
HIST1H4J	11862	17693	7513	6900
HIST1H4K	11862	17692	7513	6900
HIST2H2AA4	67870	102270	36362	32552
HIST2H2AB	3013	4283	2017	1747
HIST2H2AC	18504	28367	9406	7771
HIST2H2BE	29418	46346	13162	9330
HIST2H2BF	28856	44773	13597	10288
HIST2H3C	39568	57384	22880	19378
HIST2H3D	9225	13208	5659	5099
HIST2H4A	45802	64130	25514	21286
HIST3H2A	2933	4447	1792	1482
HIST3H2BB	8123	12157	4330	3470
HIST4H4	1383	1893	681	547
HIVEP1	1075	1676	861	862
HIVEP2	489	755	379	329
HJURP	1183	1687	784	678
HK1	2371	3263	1650	1583
HK2	1092	1441	921	834
HKR1	308	439	252	209
HLA-A	1175	1584	720	625
HLA-C	1908	2634	1384	1204
HLA-DPA1	42	52	38	24
HLA-DQB1	82	120	60	54
HLA-E	774	1029	437	471
HLA-F	151	205	104	92
HLA-G	96	129	53	94
HLCS	808	1247	617	536
HLTF	3769	5254	2491	2332
HLX	95	131	69	68
HM13	1413	1818	805	653
HMBOX1	173	253	156	129
HMBS	504	647	372	392
HMCN1	219	294	148	121
HMG20A	1051	1428	705	568
HMG20B	929	1280	605	572
HMGA1	1129	1703	722	669
HMGA2	167	255	155	154
HMGB1	14222	17742	8654	8240
HMGB2	5623	7156	3595	3760
HMGB3	3944	4995	2641	2684
HMGCL	256	401	200	182
HMGCR	3236	4378	2103	1862
HMGCS1	1422	1809	947	794
HMGN1	4584	6792	3392	3403
HMGN2	8184	11107	5176	5337
HMGN3	972	1450	628	659
HMGN4	543	779	377	451
HMGN5	232	253	244	254
HMGXB3	2231	3467	1829	1669
HMGXB4	1231	1690	961	855
HMMR	2495	3440	1617	1645
HMOX1	364	481	217	180
HMOX2	1308	1900	894	905
HN1	2369	3298	1460	1344
HN1L	1193	1536	782	804
HNRNPA0	942	1185	658	770
HNRNPA1	38214	46608	23873	25969
HNRNPA1L2	12552	15435	7454	7767
HNRNPA2B1	13561	15268	10782	11624
HNRNPA3	3069	4676	3554	3523
HNRNPAB	8355	10971	5866	6463
HNRNPC	26576	36229	14787	13844
HNRNPD	2904	5540	4042	3721
HNRNPF	7189	9634	4155	3836
HNRNPH1	17505	22378	11065	11409
HNRNPH2	3026	3731	2006	2243
HNRNPH3	801	1011	586	626
HNRNPK	16608	22858	10296	8836
HNRNPL	10902	14528	6807	6126
HNRNPM	7595	10375	6309	6460
HNRNPR	8629	11213	6117	6031
HNRNPU	33404	43886	25777	26110
HNRNPUL1	3815	6069	3396	2895
HNRNPUL2	1221	2113	1639	1494
HNRPDL	10639	14135	6641	6864
HNRPLL	1391	2009	1000	937
HOMER1	620	942	418	357
HOMER2	800	1006	471	461
HOMER3	74	84	35	40
HOMEZ	425	605	306	229
HOOK1	1501	2105	1196	1027
HOOK2	134	218	138	119
HOOK3	738	1134	784	675
HOXA1	49	74	43	34
HOXA10	413	586	269	202
HOXA11	187	252	107	117
HOXA13	93	192	75	70
HOXA2	39	61	31	41
HOXA3	58	104	74	63
HOXA5	668	1013	411	346
HOXA6	260	411	227	163
HOXA9	444	697	297	275
HOXB13	77	123	87	74
HOXB2	76	94	40	40
HOXB3	149	179	115	78
HOXB4	57	67	30	33
HOXB5	38	80	55	27
HOXB6	360	552	273	232
HOXB7	99	139	56	43
HOXB8	107	159	95	76
HOXB9	368	660	371	361
HOXC10	103	148	103	84
HOXC4	152	219	115	76
HOXC6	57	112	67	60
HOXC8	42	57	33	38
HOXC9	152	276	140	139
HOXD10	784	1357	706	575
HOXD11	354	572	311	249
HOXD13	416	540	250	207
HOXD4	44	80	36	40
HOXD8	72	90	38	54
HOXD9	112	232	112	116
HP1BP3	2573	4040	2204	2062
HPCAL1	81	99	43	44
HPGD	40	66	33	30
HPRT1	1241	2034	1293	1450
HPS1	437	619	309	286
HPS3	1058	1587	795	661
HPS4	866	1291	569	500
HPS5	1097	1647	832	744
HPS6	451	607	343	311
HPSE	61	89	56	44
HRAS	578	739	363	375
