	tmisrib_a_hek	tmisrib_b_hek	untr_a_hek	untr_b_hek	ribo_tmisrib_a	ribo_tmisrib_b	ribo_untr_a	ribo_untr_b
MEGF8	1227	2200	1298	1065	449	437	464	663
MEGF9	112	170	105	75	39	37	43	56
MEIS1	279	364	156	137	60	62	93	124
MEIS2	421	608	328	238	85	108	109	194
MEIS3	50	70	40	36	2	4	4	6
MELK	2201	2968	1346	1183	556	667	802	1016
MEMO1	762	1079	416	406	244	255	335	489
MEN1	603	993	611	471	319	328	433	660
MEPCE	1242	1606	779	687	424	511	620	1080
MERTK	320	460	217	186	71	70	77	119
MESDC1	110	142	88	74	13	14	15	27
MESDC2	1174	1513	699	608	220	245	253	424
MET	1057	1491	758	686	713	851	885	1212
METAP1	1241	1794	931	854	492	547	711	937
METAP1D	174	272	120	106	35	33	53	66
METAP2	4737	6045	3156	3270	2142	2540	3139	4191
METRN	139	176	94	69	11	12	22	17
METRNL	61	86	34	30	9	17	19	29
METTL1	218	344	150	148	147	135	218	347
METTL10	303	432	268	250	108	122	137	174
METTL13	1391	2007	1191	1124	415	466	535	823
METTL14	757	1073	451	436	173	225	236	340
METTL15	366	522	259	242	120	166	221	286
METTL16	877	1268	673	638	205	226	302	399
METTL17	1903	2635	1124	1060	352	384	471	608
METTL18	285	395	199	193	74	66	103	143
METTL21A	255	378	189	156	79	74	81	163
METTL21D	95	136	86	73	17	24	22	28
METTL22	213	306	143	136	15	10	19	22
METTL23	343	521	286	277	104	92	129	154
METTL25	417	675	330	331	104	98	92	191
METTL2A	1693	2503	1141	1098	556	648	753	1127
METTL2B	1879	2779	1346	1212	556	625	752	1130
METTL3	2187	2987	1455	1397	491	595	701	1036
METTL4	218	323	160	144	44	42	60	81
METTL5	1370	1806	856	777	355	431	535	614
METTL6	677	992	486	472	126	141	167	239
METTL7A	111	155	100	62	328	291	335	491
METTL8	659	967	518	528	173	214	252	362
METTL9	1696	2533	1097	952	140	168	206	271
MEX3A	87	125	80	64	48	55	66	124
MEX3B	59	83	50	40	26	25	31	50
MEX3C	227	355	176	153	84	81	127	136
MEX3D	265	394	180	161	9	19	20	31
MFAP1	1077	1279	608	694	459	441	639	907
MFAP2	64	68	24	21	99	121	120	190
MFAP3	686	963	435	362	208	258	249	454
MFAP3L	77	121	65	55	13	8	14	20
MFF	1455	2129	962	933	547	661	780	993
MFGE8	283	423	232	264	573	588	693	894
MFHAS1	324	497	282	264	48	72	84	134
MFI2	53	100	59	42	21	25	35	53
MFN1	1854	2458	1168	1120	539	694	791	994
MFN2	2628	3786	1848	1664	1021	1038	1410	2094
MFSD1	1009	1400	681	630	137	131	139	229
MFSD10	365	503	246	185	152	171	182	341
MFSD11	376	615	276	204	140	158	150	237
MFSD12	441	555	270	266	98	101	122	223
MFSD2A	81	136	51	35	177	173	237	328
MFSD3	292	389	192	155	52	66	69	99
MFSD5	431	613	285	226	184	191	235	391
MFSD6	87	105	54	37	57	62	73	101
MFSD8	525	773	389	385	141	169	181	281
MFSD9	167	252	114	98	32	55	50	85
MGA	5432	7938	4457	4007	840	879	1036	1402
MGARP	187	267	130	122	25	26	30	40
MGAT1	543	807	466	414	103	111	169	211
MGAT2	1558	2246	1079	1028	148	173	171	274
MGAT4A	225	303	157	133	40	66	78	89
MGAT4B	1173	1715	913	770	146	143	178	295
MGAT5	898	1473	704	567	185	205	225	247
MGC12965	64	77	33	31	3	16	6	11
MGEA5	4213	6206	3565	3114	1468	1737	1874	2771
MGME1	1194	1604	848	716	216	256	271	464
MGRN1	323	636	449	367	289	335	392	605
MGST1	359	469	199	199	661	922	1068	1446
MGST2	287	375	157	148	281	355	407	557
MGST3	889	1289	573	567	409	448	639	810
MIA3	4183	6090	3354	3002	670	748	760	1011
MIB1	3405	4926	2669	2435	329	382	442	584
MIB2	321	462	220	201	91	111	108	204
MICA	247	377	179	154	162	200	192	285
MICAL1	75	141	62	59	60	56	65	94
MICAL2	136	236	124	105	46	54	68	103
MICAL3	1119	2188	1437	1126	295	262	333	520
MICALL1	811	1236	723	685	292	279	369	566
MICALL2	53	42	34	35	12	22	23	17
MICB	77	123	60	36	148	172	189	245
MICU1	1308	1832	838	738	622	637	812	1163
MICU2	1048	1383	667	596	821	816	1101	1354
MICU3	135	187	97	103	31	41	61	64
MID1	448	716	303	251	252	282	313	419
MID1IP1	475	627	324	301	85	74	128	172
MID2	703	1146	529	421	106	118	144	190
MIDN	95	167	96	78	353	409	525	853
MIEN1	194	262	180	156	161	165	208	284
MIER1	1757	2433	1333	1264	275	289	332	492
MIER2	90	157	99	77	96	128	167	232
MIER3	893	1274	647	663	160	151	218	332
MIF	5650	7856	2336	1658	4130	5007	7321	10663
MIF4GD	101	118	69	67	75	60	103	133
MIIP	390	577	211	217	142	142	197	294
MINA	1849	2618	1232	1089	237	305	353	456
MINK1	669	1039	642	477	247	201	313	442
MINOS1	200	256	151	185	707	692	898	1211
MINPP1	744	1149	526	451	431	454	641	856
MIOS	1357	1898	974	902	151	214	219	319
MIPEP	932	1293	569	563	295	365	400	578
MIPOL1	424	697	375	319	99	130	127	168
MIS12	504	604	306	261	150	220	197	266
MIS18A	749	977	553	545	265	275	342	546
MIS18BP1	1832	2682	1324	1168	369	430	545	665
MITD1	455	673	304	277	101	123	142	161
MITF	148	191	88	78	38	23	35	40
MKI67	11693	19855	11799	9336	4140	4577	4804	6021
MKI67IP	2812	3854	1692	1517	687	821	1051	1339
MKKS	741	1100	436	350	23	16	34	34
MKL1	222	392	239	190	171	179	190	327
MKL2	313	474	261	220	164	178	212	313
MKLN1	1548	2400	1248	1134	792	941	1134	1419
MKNK1	320	414	204	220	100	126	161	246
MKNK2	629	916	409	391	167	158	198	307
MKRN1	1417	1811	909	880	396	463	623	900
MKRN2	1174	1665	762	693	325	330	463	645
MKS1	577	846	378	374	186	211	308	384
MKX	63	79	54	40	0	0	0	0
MLEC	1233	1841	929	844	420	444	458	856
MLF1	698	1051	512	464	185	202	305	293
MLF1IP	2172	3095	1336	1388	669	803	1066	1204
MLF2	1155	1746	915	768	1014	1044	1581	2029
MLH3	161	211	126	109	154	159	235	297
MLLT1	358	537	266	232	354	332	469	774
MLLT10	768	1185	608	483	153	142	203	231
MLLT3	1258	1869	825	754	228	213	294	379
MLLT4	4326	6601	3718	3454	929	1001	1141	1667
MLLT6	413	553	359	257	50	58	52	84
MLST8	758	1064	414	378	208	217	318	470
MLX	519	678	296	258	308	412	538	700
MLXIP	259	539	373	261	201	239	263	336
MLXIPL	49	66	39	22	28	33	34	50
MLYCD	137	246	106	81	68	81	93	129
MMAA	61	90	38	51	28	27	32	58
MMAB	758	1064	433	392	237	277	294	449
MMACHC	261	311	137	132	105	136	159	265
MMADHC	3697	5124	2159	1984	1049	1195	1362	1993
MMD	78	102	45	53	16	20	10	29
MME	54	85	45	45	27	34	24	38
MMGT1	199	273	120	121	178	245	254	394
MMP15	53	65	38	26	55	49	74	96
MMP16	123	181	82	85	1	0	1	1
MMS19	1868	2748	1307	1143	643	698	828	1237
MMS22L	2051	3233	1688	1531	485	509	647	922
MNAT1	1342	1884	1012	968	358	393	503	619
MND1	487	612	329	327	174	196	265	369
MNF1	1044	1415	596	507	491	473	681	927
MNS1	76	89	65	51	135	147	186	232
MNT	49	78	56	33	54	83	90	118
MNX1	62	83	47	52	65	71	104	190
MOAP1	383	564	322	316	319	310	407	526
MOB1A	1589	2256	1014	1018	648	690	845	1220
MOB1B	87	179	62	48	116	140	179	231
MOB2	388	531	235	209	45	71	89	129
MOCOS	275	389	184	168	31	42	38	62
MOCS1	371	526	242	210	116	79	136	156
MOCS2	750	1052	532	476	251	294	313	471
MOCS3	333	482	232	194	181	203	256	355
MOGS	1360	1898	917	844	355	399	466	745
MOK	218	327	145	159	26	29	38	63
MON1A	463	676	303	299	41	47	73	118
MON1B	206	313	163	142	84	82	117	191
MON2	2717	4302	2141	1920	943	1109	1191	1554
MORC2	649	1066	623	574	525	575	724	1203
MORC3	1451	2163	1006	947	320	387	474	583
MORC4	3837	6515	4485	4141	539	673	789	938
MORF4L1	5396	8080	4683	4533	2203	2628	3153	4351
MORF4L2	10030	13761	7031	7310	1671	2036	2383	3465
MORN1	138	285	142	155	70	70	97	158
MORN2	218	304	109	133	19	28	29	33
MORN4	46	82	40	22	23	10	29	22
MOSPD1	276	384	198	155	58	69	100	108
MOSPD2	298	414	260	225	204	283	327	432
MOV10	941	1446	856	679	619	638	721	1110
MOXD1	471	705	336	291	195	197	253	284
MPC1	427	635	252	218	106	136	157	217
MPC2	787	1151	592	510	295	321	436	597
MPDU1	698	953	417	307	239	261	368	507
MPDZ	1314	1778	997	821	346	347	404	524
MPG	637	827	454	407	260	265	361	527
MPHOSPH10	1916	2424	1286	1267	477	538	596	898
MPHOSPH6	693	1028	451	475	199	244	301	387
MPHOSPH8	1100	1495	866	918	123	189	201	277
MPHOSPH9	3295	4870	2375	2083	229	253	257	372
MPI	1779	2603	1221	1088	503	540	629	829
MPLKIP	353	446	215	187	176	213	302	471
MPND	157	200	96	94	35	33	53	60
MPP1	741	992	438	412	420	503	601	821
MPP2	215	335	175	152	136	142	195	289
MPP3	187	271	174	153	20	22	24	29
MPP5	855	1389	694	609	184	185	262	319
MPP6	1213	1883	1007	908	235	315	346	463
MPP7	237	318	149	129	252	224	307	413
MPPE1	181	276	141	135	35	34	48	72
MPRIP	1994	3119	1658	1516	96	92	109	168
MPST	627	866	440	410	290	353	445	680
MPV17	348	449	242	256	168	158	222	310
MPV17L2	191	270	121	83	142	157	200	339
MPZL1	819	1194	608	499	475	494	550	693
MR1	54	98	39	37	51	43	48	61
MRAS	69	109	45	39	10	13	13	21
MRC2	121	200	102	86	119	105	122	148
MRE11A	2465	3533	1819	1711	659	784	902	1182
MREG	194	302	190	139	36	41	54	69
MRFAP1	1071	1336	801	932	624	786	987	1877
MRFAP1L1	464	618	270	348	259	321	357	604
MRGBP	327	464	276	279	60	51	78	121
MRI1	999	1361	618	557	292	317	409	626
MRM1	67	121	70	68	20	15	32	44
MROH1	103	160	93	94	45	28	41	42
MRP63	282	389	177	171	175	211	310	429
MRPL1	1428	2068	856	847	274	345	340	510
MRPL10	539	809	243	250	343	428	563	745
MRPL11	1320	1788	847	915	337	356	436	683
MRPL13	1785	2619	1179	1026	679	821	1103	1387
MRPL14	865	1161	544	486	684	705	1007	1392
MRPL15	2104	3136	1320	1270	536	682	808	1156
MRPL16	1413	1969	1009	1005	604	662	862	1221
MRPL17	1123	1614	712	642	520	554	773	910
MRPL18	1609	2189	1072	1080	375	418	579	850
MRPL19	2181	3173	1674	1492	639	760	875	1390
MRPL2	786	864	443	389	524	659	960	1144
MRPL20	1697	2281	1094	1071	1100	1240	1758	2351
MRPL21	1602	2107	942	914	457	512	708	834
MRPL22	918	1326	585	502	689	842	1129	1378
MRPL23	1339	1956	944	856	637	644	898	1103
MRPL24	1316	1909	833	867	502	557	756	1114
MRPL27	822	1174	471	411	493	593	767	1123
MRPL28	1463	1959	814	747	1257	1439	2055	2922
MRPL3	5510	8160	3933	3568	2242	2585	3044	4349
MRPL30	1086	1580	626	500	351	538	668	801
MRPL32	1190	1629	656	647	534	673	880	1211
MRPL33	358	484	233	195	135	151	191	281
MRPL34	135	195	97	87	86	109	175	247
MRPL35	773	1171	498	480	227	249	331	458
MRPL36	269	347	141	124	179	192	238	388
MRPL37	4880	6780	2740	2548	1353	1408	1851	2503
MRPL38	1020	1335	766	688	512	495	671	990
MRPL39	1781	2607	1083	967	962	1064	1273	1950
MRPL4	864	1054	557	461	1121	1265	1735	2539
MRPL40	866	1252	537	433	464	477	724	825
MRPL41	750	1100	559	517	520	488	700	1126
MRPL42	1409	2021	709	618	632	726	1053	1246
MRPL43	342	478	171	173	449	518	692	960
MRPL44	895	1367	691	631	715	793	897	1336
MRPL45	652	947	490	477	489	571	655	934
MRPL46	976	1354	580	516	207	271	348	486
MRPL47	1312	1841	863	843	525	583	759	1051
MRPL48	830	1203	511	512	236	286	353	448
MRPL49	523	744	307	262	253	241	370	576
MRPL50	823	1165	530	458	215	229	323	383
MRPL51	2662	3468	1762	1808	648	736	938	1651
MRPL52	905	1209	574	554	331	335	506	694
MRPL53	230	303	167	154	255	261	363	611
MRPL54	747	984	491	526	172	196	232	320
MRPL55	943	1332	667	559	308	325	387	657
MRPL9	1451	1963	1141	1121	546	548	726	1166
MRPS10	863	1217	568	507	746	839	1042	1314
MRPS11	873	1255	497	403	218	243	324	449
MRPS12	613	716	295	227	443	506	721	1022
MRPS14	688	987	470	450	270	308	371	544
MRPS15	2597	3717	1480	1170	692	733	927	1284
MRPS16	1089	1438	737	619	552	607	832	1142
MRPS17	794	1108	457	472	285	352	377	533
MRPS18A	468	684	288	254	390	490	647	844
MRPS18B	1274	1715	582	445	788	971	1338	1742
MRPS18C	1320	1916	833	775	399	512	631	846
MRPS2	1191	1594	680	629	991	1015	1417	1865
MRPS21	1872	2566	1087	1062	442	574	700	1172
MRPS22	2275	3214	1373	1205	704	832	998	1308
MRPS23	1185	1669	755	719	843	911	1226	1688
MRPS24	1334	1941	1018	995	579	606	868	1286
MRPS25	1124	1483	592	625	225	257	365	519
MRPS26	984	1402	785	852	430	456	605	1076
MRPS27	2219	3272	1602	1336	625	710	880	1104
MRPS28	789	1039	564	523	350	472	619	826
MRPS30	1169	1796	860	747	770	852	1146	1558
MRPS31	1303	1968	844	761	666	785	1030	1372
MRPS33	630	877	394	383	263	323	381	557
MRPS34	1751	2342	1034	967	640	632	831	1521
MRPS35	1551	2185	1065	1093	1061	1185	1476	2019
MRPS36	752	1143	375	263	170	243	305	393
MRPS5	1838	2284	1174	1100	444	445	603	908
MRPS6	266	369	148	164	151	216	290	432
MRPS7	1874	2677	1247	1240	771	893	1129	1584
MRPS9	1626	2342	1164	1037	385	512	599	807
MRRF	783	1295	561	504	144	167	208	253
MRS2	1612	2503	1175	1095	219	258	287	439
MRTO4	1779	2585	1102	971	793	883	1073	1755
MSANTD2	222	334	161	176	10	20	26	69
MSANTD3-TMEFF1	539	824	400	442	126	134	133	198
MSANTD4	461	654	366	387	132	148	188	265
MSH2	6137	8454	4037	3730	1656	2009	2559	3126
MSH3	2114	3123	1623	1374	521	643	751	921
MSH4	76	125	50	44	1	0	0	0
MSH6	12557	17540	9011	8441	2520	2812	3238	4579
MSI1	68	110	101	70	152	145	234	267
MSI2	444	740	353	293	334	352	482	656
MSL1	365	591	352	370	55	68	104	133
MSL2	672	1011	523	435	157	207	235	292
MSL3	563	809	378	400	102	143	187	272
MSMO1	817	1267	556	566	440	526	660	865
MSN	1692	2450	1291	1246	1008	1154	1409	2144
MSRA	45	71	32	32	39	53	48	100
MSRB1	52	63	24	22	68	67	116	157
MSRB2	122	171	92	99	173	130	177	270
MSRB3	62	123	70	76	75	70	97	135
MSS51	65	114	56	41	1	1	2	0
MST1	51	78	44	26	0	0	0	0
MST4	1813	2449	958	936	1184	1391	1504	2086
MSTO1	1275	1742	861	688	247	227	292	444
MSX1	102	152	72	53	39	56	80	118
MSX2	147	214	74	75	402	508	436	663
MT1X	80	107	56	35	21	38	34	72
MT2A	70	67	30	19	42	55	68	121
MTA1	1530	2280	1294	1255	712	797	949	1476
MTA2	6255	9276	3904	3316	1102	1321	1601	2188
MTA3	641	1014	488	508	452	518	661	760
MTAP	1196	1813	851	801	266	304	426	596
MTBP	1034	1519	771	727	164	170	216	298
MTCH1	1786	2490	1254	1151	664	661	854	1336
MTCH2	3570	4992	2125	1853	850	944	1269	1576
MTDH	3380	5179	2532	2382	904	956	1289	1606
MTERF	436	645	286	223	139	132	172	255
MTERFD1	932	1414	579	499	283	316	457	582
MTERFD3	441	640	298	300	108	126	172	214
MTF1	222	349	161	137	71	73	98	144
MTF2	2707	3975	1730	1632	349	370	496	631
MTFMT	514	750	411	282	122	147	193	257
MTFR1	646	997	503	544	110	109	201	216
MTFR1L	536	713	329	305	163	150	194	340
MTFR2	348	513	268	236	157	189	203	248
MTG1	818	1205	619	541	250	207	251	394
MTG2	426	619	297	290	122	137	236	289
MTHFD1	7733	11544	6156	5579	3607	4001	4978	6708
MTHFD1L	2763	3954	2283	2165	661	758	950	1191
MTHFD2	4406	6319	2773	2649	1014	1038	1267	1665
MTHFD2L	142	207	102	93	22	33	86	86
MTHFR	197	307	117	142	72	77	98	155
MTHFS	430	599	329	314	131	178	213	328
MTHFSD	154	182	111	110	68	57	92	116
MTIF2	2786	3966	1911	1792	278	332	397	486
MTIF3	746	1085	527	434	109	152	192	205
MTM1	345	485	232	284	128	154	190	250
MTMR1	1679	2500	1238	1206	418	426	503	747
MTMR10	266	400	209	205	67	70	99	121
MTMR12	639	966	508	443	180	175	244	315
MTMR14	965	1313	619	530	235	248	323	484
MTMR2	1370	1983	1013	925	338	446	566	713
MTMR3	927	1422	753	623	195	226	311	403
MTMR4	2173	3215	1620	1398	332	358	453	616
MTMR6	668	1031	444	419	507	654	735	1022
MTMR7	52	70	41	39	44	53	86	91
MTMR8	127	211	96	98	56	41	59	79
MTMR9	361	520	217	198	135	161	185	280
MTO1	1191	1788	821	793	369	364	510	649
MTOR	5951	8971	4224	3709	1204	1174	1386	2005
MTPAP	1083	1428	653	591	558	622	821	1106
MTR	6736	9729	5279	4950	939	1011	1105	1710
MTRF1	219	308	176	141	75	76	131	131
MTRF1L	834	1179	531	511	159	195	215	316
MTRR	1020	1394	635	533	215	273	357	525
MTSS1L	407	563	271	245	163	200	248	381
MTUS1	549	857	461	446	177	206	266	321
MTX1	1269	1769	837	772	591	649	800	1204
MTX2	968	1333	595	546	445	485	589	787
MTX3	390	598	239	231	93	112	112	147
MUL1	404	612	299	223	251	270	364	484
MUM1	569	835	493	480	80	105	128	143
MUM1L1	145	196	97	98	0	1	3	1
MURC	63	79	62	50	1	0	1	1
MUS81	358	570	280	235	78	63	101	124
MUT	979	1331	727	632	446	535	688	833
MUTYH	251	333	166	158	35	51	83	112
MVB12A	354	507	270	250	283	318	439	562
MVB12B	111	185	90	66	54	59	82	99
MVD	422	541	244	217	96	93	123	214
MVK	306	475	190	168	93	150	179	243
MXD1	74	114	51	45	54	71	85	134
MXD3	83	117	46	51	23	35	25	50
MXD4	441	551	228	225	165	171	199	355
MXI1	320	493	215	147	171	210	287	312
MXRA7	198	297	139	171	111	139	176	350
MYB	72	88	67	53	32	32	66	90
MYBBP1A	3632	5986	3390	2914	2736	2880	3669	5647
MYBL1	538	753	417	366	34	34	47	62
MYBL2	2992	4625	2444	2360	748	786	953	1419
MYC	2001	3090	1185	978	854	949	1331	1612
MYCBP	382	483	286	317	294	293	401	616
MYCBP2	7899	11789	6275	5414	473	530	570	637
MYEF2	475	579	299	377	443	531	570	880
MYEOV2	85	117	59	70	396	452	422	770
MYH10	8412	12441	7100	6954	2256	2481	3071	4175
MYH11	60	110	26	13	75	81	114	125
MYH14	376	606	376	342	367	379	444	725
MYH15	84	144	76	71	1	0	2	1
MYH3	115	215	139	126	3	5	3	7
MYH9	6907	11163	6338	5820	4273	4480	5630	8526
MYL12A	1498	2127	772	595	1153	1301	1616	2351
MYL12B	1800	2648	905	757	1562	1762	2302	3187
MYL5	82	124	42	33	16	15	15	18
MYL6	6630	9583	3572	3463	2646	2900	3665	5492
MYL6B	822	1151	465	519	239	225	237	404
MYLIP	323	500	231	217	89	103	106	164
MYLK	137	235	109	96	23	26	14	37
MYNN	867	1222	612	571	105	110	136	163
MYO10	723	1119	648	567	484	535	703	1022
MYO18A	374	624	351	345	152	166	171	288
MYO19	1407	2200	988	877	147	161	210	234
MYO1B	2053	3010	1297	1196	756	785	960	1410
MYO1C	885	1432	782	677	589	601	850	1115
MYO1D	806	1227	669	572	439	460	565	644
MYO1E	716	1016	418	413	249	308	347	409
MYO3A	416	545	339	262	86	72	95	90
MYO5A	1067	1581	816	764	425	397	498	679
MYO5B	286	423	199	161	127	156	188	256
MYO5C	759	1126	602	561	213	272	270	403
MYO6	1032	1673	1057	981	1434	1531	1649	2320
MYO9A	3276	4805	2426	2191	274	262	297	361
MYO9B	815	1433	808	711	256	255	318	515
MYOM2	90	175	89	72	47	56	75	81
MYSM1	1715	2712	1668	1602	86	94	125	191
MZF1	157	242	140	101	12	17	28	39
MZT1	401	483	243	254	344	346	368	456
MZT2A	1122	1472	826	862	493	532	609	1121
MZT2B	1592	2074	1121	1167	592	667	767	1504
N4BP1	881	1193	582	561	159	162	237	302
N4BP2	1414	1947	1057	986	192	203	253	336
N4BP2L2	774	1165	636	539	96	111	155	185
N6AMT1	156	227	87	84	54	59	83	113
N6AMT2	221	315	151	112	101	88	128	149
NAA10	2768	3615	1822	1793	1339	1348	1729	2644
NAA15	6466	8955	5075	4660	2161	2664	3072	3991
NAA16	884	1350	825	793	251	312	389	521
NAA20	855	1301	649	704	310	397	451	674
NAA25	3230	4764	2460	2339	935	1024	1264	1630
NAA30	295	420	225	220	111	122	131	219
NAA35	1628	2379	1199	1144	551	684	725	977
NAA38	857	1123	605	591	417	423	476	772
NAA40	269	414	295	295	119	136	171	252
NAA50	1982	2524	1219	1150	693	821	1151	1318
NAA60	100	135	70	42	67	59	108	144
NAAA	241	335	171	154	95	88	114	160
NAALAD2	74	82	59	59	25	37	39	29
NAB1	439	716	359	318	101	112	128	171
NAB2	80	123	72	81	56	97	100	178
NABP1	177	215	93	116	36	62	70	106
NABP2	503	711	294	259	394	386	481	699
NACA	18227	24561	10151	8994	6574	8092	10341	12456
NACA2	816	1236	382	324	1198	1325	1798	2036
NACC1	633	1001	661	517	413	448	601	911
NACC2	157	231	138	95	162	181	196	268
NADK	790	1059	620	566	203	221	248	328
NADKD1	802	1148	599	590	216	241	318	427
NADSYN1	687	940	429	369	165	138	169	250
NAE1	4842	6710	3134	2992	1609	1815	2198	2551
NAF1	381	657	459	426	329	360	471	660
NAGA	464	636	274	236	193	182	199	291
NAGK	257	330	152	144	157	183	231	409
NAGLU	443	604	290	249	132	121	176	239
NAGPA	221	348	175	165	52	55	54	86
NAIF1	73	95	55	67	51	42	60	84
NAIP	786	1310	854	663	21	7	9	8
NAMPT	2095	3003	1398	1145	1087	1325	1638	1980
NANP	273	390	200	192	49	60	103	101
NANS	1861	2686	1258	1240	512	599	726	1023
NAP1L1	12080	16280	9367	9981	5102	5391	5747	9474
NAP1L2	147	200	95	110	18	41	48	69
NAP1L3	576	834	435	385	40	44	80	81
NAP1L4	3420	4621	2426	2343	1119	1388	1680	2381
NAPA	616	993	505	472	448	512	746	940
NAPB	112	172	93	74	35	32	45	69
NAPEPLD	122	196	135	109	34	40	55	72
NAPG	438	624	313	311	301	349	418	509
NAPRT1	159	212	125	98	48	60	96	112
NARF	916	1269	611	591	113	124	157	242
NARFL	387	528	252	231	127	154	182	271
NARG2	1833	2688	1385	1197	289	338	445	499
NARR	156	213	87	84	108	140	163	237
NARS	4398	5779	2729	2662	1506	1649	2016	3008
NARS2	1163	1786	765	746	147	176	214	315
NASP	8301	10304	5879	5760	2895	3496	3946	6113
NAT1	140	215	85	68	37	42	49	75
NAT10	3090	4528	2211	2048	787	815	1015	1558
NAT14	98	137	77	57	36	27	49	60
NAT8L	49	69	40	47	123	126	197	273
NAT9	259	327	179	140	129	133	166	278
NAV1	94	223	181	112	122	130	145	232
NAV2	59	123	92	54	77	77	88	102
NBAS	3171	4384	2102	1930	431	487	474	747
NBEA	2118	3338	1902	1816	254	325	364	453
NBEAL1	982	1520	809	677	165	185	239	293
NBEAL2	986	1805	1122	833	166	117	146	182
NBL1	77	135	60	50	122	144	154	278
NBN	3600	5178	2319	2162	348	437	547	660
NBPF1	4112	6096	3464	2938	223	115	198	257
NBPF14	3338	4899	2787	2440	170	105	133	141
NBPF15	1837	2725	1671	1546	104	64	100	83
NBPF16	1797	2662	1612	1497	105	62	96	83
NBPF24	5874	8936	5041	4446	303	177	276	265
NBPF3	668	959	471	470	69	45	66	98
NBPF7	114	129	121	115	21	10	12	17
NBR1	1857	2569	1220	1139	592	638	782	1022
NCAM1	256	375	196	190	312	393	329	552
NCAPD2	5897	8983	4630	4269	2853	3111	3656	5401
NCAPD3	5700	8335	4017	3465	1358	1499	1797	2369
NCAPG	6414	8768	4149	3967	1681	1985	2175	2892
NCAPG2	3587	5346	3081	2716	1193	1382	1745	2187
NCAPH	2449	3462	1692	1533	784	966	1099	1453
NCAPH2	1986	2858	1303	1158	410	461	548	904
NCBP1	3274	4921	2210	2102	1102	1235	1522	2140
NCBP2	516	660	283	273	329	369	460	644
NCDN	597	998	528	466	498	526	669	1066
NCEH1	119	187	73	65	58	75	72	120
NCK1	596	800	442	427	96	143	196	252
NCK2	264	370	198	181	64	71	97	137
NCKAP1	6543	9654	4831	4538	1647	1851	2238	2775
NCKAP5L	422	677	308	263	170	203	298	471
NCKIPSD	952	1426	674	555	125	154	193	283
NCL	31549	34580	22971	25444	15387	16541	18871	28198
NCLN	1312	1880	897	839	505	541	687	1076
NCOA1	890	1369	661	507	179	258	246	326
NCOA2	1759	2787	1323	1129	221	253	324	360
NCOA3	1003	1530	730	584	249	365	419	501
NCOA4	4478	6197	2773	2391	1588	1739	1879	2916
NCOA5	926	1345	697	661	372	363	416	868
NCOA6	678	1209	793	648	182	196	276	357
NCOA7	431	612	364	286	211	218	273	340
NCOR1	4472	6746	3525	3103	507	543	698	864
NCOR2	350	895	666	500	467	494	611	799
NCR3LG1	509	787	402	330	206	208	251	369
NCS1	307	455	241	221	140	125	156	260
NCSTN	1070	1613	902	713	834	854	941	1259
NDC1	3069	4441	1787	1471	857	963	1137	1527
NDC80	1558	2269	1173	1080	530	653	743	970
NDE1	452	692	384	329	107	111	164	238
NDEL1	596	856	406	390	82	85	132	155
NDFIP1	686	1192	606	556	867	851	1022	1476
NDFIP2	699	993	460	417	368	400	528	793
NDNF	67	93	43	31	104	121	144	178
NDNL2	363	564	228	215	160	184	246	398
NDOR1	259	385	185	183	129	137	157	290
NDRG1	490	672	290	290	1068	1130	1475	1696
NDRG2	112	188	90	76	160	172	168	238
NDRG3	623	937	381	310	369	416	541	683
NDRG4	62	77	40	33	44	38	67	82
NDST1	562	1048	613	489	117	116	128	195
NDST2	415	626	326	274	52	49	66	84
NDUFA1	2877	4023	2076	2140	837	831	1011	1499
NDUFA10	2066	2909	1406	1324	1234	1343	1657	2408
NDUFA11	1461	2026	736	645	932	1141	1567	2384
NDUFA12	1263	1899	938	874	783	890	1027	1405
NDUFA2	486	691	267	210	583	642	852	1175
NDUFA3	537	742	350	268	233	248	371	565
NDUFA4	1907	2675	1182	1065	1007	1135	1340	1884
NDUFA5	711	963	449	408	527	579	731	907
NDUFA6	748	1097	538	518	575	536	789	1053
NDUFA7	445	683	325	311	526	606	765	1028
NDUFA8	1021	1249	596	616	610	696	925	1269
NDUFA9	2884	4213	1775	1721	1714	1827	2313	3147
NDUFAB1	1684	2338	979	812	1218	1343	1654	2153
NDUFAF1	404	576	294	274	243	272	336	464
NDUFAF2	898	1285	494	415	222	274	350	407
NDUFAF3	1106	1550	772	672	428	494	783	1134
NDUFAF4	1165	1645	693	675	511	629	712	1067
NDUFAF5	468	634	337	298	74	112	161	189
NDUFAF6	390	588	291	235	69	66	125	117
NDUFAF7	503	717	376	392	153	161	208	301
NDUFB1	939	1415	762	659	748	1015	1182	1776
NDUFB10	3246	4838	1830	1668	807	986	1253	1633
NDUFB11	1250	1648	812	825	1029	1068	1549	2249
NDUFB2	1112	1567	751	688	744	764	1071	1547
NDUFB3	1193	1687	811	789	363	378	537	772
NDUFB4	1593	2206	773	579	665	872	1127	1498
NDUFB5	640	952	499	513	487	533	599	840
NDUFB6	1520	2213	1130	1067	431	467	580	873
NDUFB7	977	1366	627	624	642	625	767	1526
NDUFB8	2390	3222	1397	1304	1695	1840	2446	3660
NDUFB9	2447	3529	1899	1939	1019	1079	1152	2059
