	tmisrib_a_hek	tmisrib_b_hek	untr_a_hek	untr_b_hek	ribo_tmisrib_a	ribo_tmisrib_b	ribo_untr_a	ribo_untr_b
ZNF513	176	199	112	101	22	34	34	45
ZNF514	132	231	141	127	23	24	38	33
ZNF516	225	345	178	183	76	80	115	175
ZNF518A	3475	4773	2329	2141	226	245	329	429
ZNF518B	695	1026	470	391	143	170	250	316
ZNF519	213	425	174	174	15	20	27	32
ZNF521	140	210	107	92	30	30	56	48
ZNF526	259	397	200	169	79	131	153	217
ZNF527	204	280	158	141	85	129	131	164
ZNF529	291	468	294	337	219	267	303	369
ZNF530	239	299	140	151	49	65	74	135
ZNF532	426	582	310	247	0	0	2	0
ZNF536	170	279	118	134	170	231	226	351
ZNF540	61	84	57	59	10	16	30	32
ZNF543	362	503	240	228	131	178	176	286
