	tm_a_hek	tm_b_hek	untr_a_hek	untr_b_hek
NTPCR	479	625	701	621
NUAK1	98	128	149	123
NUB1	760	958	921	851
NUBP1	275	356	311	308
NUBP2	348	417	470	517
NUBPL	160	165	254	226
NUCB1	376	544	601	569
NUCB2	679	726	778	816
NUCKS1	7668	9396	9713	9945
NUDC	1287	2000	1763	1959
NUDCD1	769	908	1012	962
NUDCD2	259	296	313	346
NUDCD3	347	468	456	435
NUDT1	184	208	236	247
NUDT10	142	173	237	235
NUDT11	184	246	301	277
NUDT12	383	484	522	501
NUDT13	25	33	41	36
NUDT14	60	65	72	73
NUDT15	159	220	304	293
NUDT16	52	71	101	77
NUDT16L1	70	112	140	136
NUDT17	28	27	41	31
NUDT19	176	208	276	285
NUDT2	133	170	173	172
NUDT21	840	1086	1144	1035
NUDT22	74	88	96	99
NUDT4	146	190	236	251
NUDT5	980	1273	1371	1209
NUDT6	38	56	63	46
NUDT7	31	46	36	40
NUDT8	55	64	82	80
NUDT9	169	217	243	259
NUF2	819	1042	1008	977
NUFIP1	416	495	584	547
NUFIP2	1248	1638	1812	1657
NUMA1	1839	2550	3034	2682
NUMB	253	288	311	255
NUMBL	57	56	119	117
NUP107	2851	3509	3924	3693
NUP133	5560	6561	7730	6967
NUP153	4669	5794	6370	5023
NUP155	4530	5623	6302	5360
NUP160	3029	3634	4727	4091
NUP188	3073	3973	4868	4333
NUP205	7350	8855	9855	8590
NUP210	1734	2370	2988	2437
NUP214	805	975	1656	1257
NUP35	458	555	609	450
NUP37	813	1043	926	876
NUP43	1082	1373	1436	1209
NUP50	1041	1376	1528	1504
NUP54	1282	1592	1569	1418
NUP62	536	689	677	540
NUP62CL	131	169	144	111
NUP85	961	1264	1274	1140
NUP88	1808	2211	2209	1936
NUP93	2361	2798	3000	2840
NUP98	3602	4457	4546	3888
NUPL1	895	1157	1176	947
NUPL2	829	1130	1026	839
NUS1	297	470	618	583
NUSAP1	1612	1941	1872	1635
NUTF2	457	638	489	311
NUTM2A	60	77	92	96
NVL	1988	2323	2750	2436
NXF1	525	758	717	734
NXN	162	183	215	212
NXPE3	330	433	509	427
NXT1	152	205	193	181
NXT2	86	123	130	102
NYNRIN	31	54	77	76
OAF	78	82	128	110
OARD1	56	82	84	56
