	ribo_tmisrib_a	ribo_tmisrib_b	ribo_untr_a	ribo_untr_b
NUS1	308	301	424	548
NUSAP1	1313	1647	2030	2420
NUTF2	1246	1302	1716	1863
NUTM2A	2	1	2	0
NVL	422	478	551	774
NXF1	498	568	624	968
NXN	358	394	544	785
NXPE3	79	58	94	139
NXT1	98	97	110	182
NXT2	36	42	46	74
NYNRIN	149	148	217	247
OAF	55	76	57	124
OARD1	68	87	117	129
OAT	3457	4048	4638	6554
OAZ1	873	1119	1404	2372
OAZ2	140	166	209	316
OBFC1	59	78	79	106
OBSCN	18	13	12	13
OBSL1	695	684	829	1464
OCA2	28	28	43	60
OCIAD1	961	1172	1465	1701
OCLN	532	567	715	1088
OCRL	646	744	871	1192
ODC1	1691	1881	2027	3191
ODF2	272	301	367	532
ODF2L	117	156	204	231
OFD1	176	208	223	304
OGDH	674	721	902	1301
OGDHL	45	51	54	80
OGFOD1	599	660	784	1190
OGFOD2	59	53	91	117
OGFOD3	43	47	58	96
OGFR	310	300	451	696
OGFRL1	93	136	156	179
OGG1	79	80	113	128
OGT	1134	1259	1592	2250
OIP5	199	219	290	404
OLA1	1757	1931	2199	3412
OMA1	159	174	159	265
ONECUT2	11	15	22	33
OPA1	935	1025	1283	1524
OPHN1	38	43	44	62
OPN3	14	34	35	44
OPTN	255	285	388	461
ORAI1	74	99	139	225
ORAI2	38	34	56	76
ORAOV1	49	46	56	99
ORC1	431	422	564	771
ORC2	470	592	751	856
ORC3	639	803	979	1259
ORC4	486	641	667	883
ORC5	642	772	960	1289
ORC6	425	526	696	858
ORMDL1	193	197	248	299
ORMDL2	251	243	272	442
ORMDL3	117	104	133	207
OS9	1091	1110	1152	1853
OSBP	519	595	793	1096
OSBP2	53	56	75	104
OSBPL10	63	56	90	157
OSBPL11	221	223	284	357
OSBPL1A	206	191	269	300
OSBPL2	240	294	391	554
OSBPL3	179	172	258	338
OSBPL5	50	44	55	64
OSBPL6	151	140	206	270
OSBPL8	688	796	947	1083
OSBPL9	717	921	1042	1328
OSCP1	43	55	46	92
OSER1	211	278	366	444
OSGEP	146	145	212	282
