	tm_a_hek	tm_b_hek	untr_a_hek	untr_b_hek	ribo_tm_a	ribo_tm_b	ribo_untr_a	ribo_untr_b
DALRD3	161	182	217	196	54	36	125	163
DAP	31	50	28	29	75	45	107	189
DAP3	1437	1724	1696	1624	693	548	1377	1910
DAPK1	418	514	556	496	128	90	240	317
DAPK3	421	503	442	422	198	149	431	612
DARS	2160	2710	2673	2553	908	691	1960	2287
DARS2	1028	1237	1247	1020	1028	812	1816	2323
DAXX	953	1099	1164	1107	241	160	422	581
DAZAP1	1527	1946	1883	1717	819	612	1567	2309
DAZAP2	324	450	302	257	582	403	883	1285
DBF4	1410	1811	1713	1495	118	107	231	298
DBF4B	117	165	269	217	79	42	87	129
DBI	527	684	469	382	385	254	771	954
DBN1	872	1111	1106	1041	609	411	1222	1740
DBNDD1	28	26	26	35	17	12	56	52
DBNDD2	105	145	171	139	189	122	302	497
DBNL	572	803	837	847	498	327	863	1410
DBP	25	28	36	41	9	11	30	35
DBR1	453	580	644	592	227	186	425	551
DBT	261	335	477	387	201	176	395	528
DCAF10	227	267	345	298	120	70	207	330
DCAF11	461	554	542	578	67	42	121	180
DCAF12	535	721	849	698	178	137	327	428
DCAF13	1621	2086	2203	2202	816	512	1491	2068
DCAF15	217	287	252	236	214	133	415	621
DCAF16	332	350	458	407	128	73	278	337
DCAF17	163	219	248	202	56	59	103	158
DCAF4	237	294	296	266	73	62	124	160
DCAF5	383	492	549	472	156	106	224	351
DCAF6	990	1246	1312	1209	227	171	537	660
DCAF7	455	558	693	628	645	457	1176	1851
DCAF8	881	1140	1321	1184	324	223	604	796
DCAKD	184	231	218	208	172	133	371	481
DCBLD1	139	207	207	211	51	28	120	168
DCBLD2	658	888	850	751	105	60	187	299
DCHS1	28	56	71	50	8	5	19	19
DCK	207	248	245	229	188	160	418	551
DCLK2	60	76	119	89	23	15	62	69
DCLRE1A	707	814	773	677	149	100	248	286
DCLRE1B	192	263	296	279	96	54	177	241
DCLRE1C	163	225	263	236	45	32	87	109
DCP1A	438	568	604	522	173	109	300	428
DCP1B	151	150	179	167	85	90	188	263
DCP2	918	1249	1301	1236	282	197	438	634
DCPS	284	358	364	324	74	60	189	275
DCTD	176	265	290	276	176	127	343	421
DCTN1	2469	3197	3808	3529	1008	657	1732	2465
DCTN2	994	1199	1384	1275	936	651	1815	2606
DCTN3	329	455	336	377	381	252	835	1051
DCTN4	694	897	934	916	699	515	1206	1750
DCTN5	293	418	449	407	213	162	374	498
DCTN6	211	254	232	242	269	208	618	750
DCTPP1	515	713	600	480	403	267	815	1129
DCUN1D1	203	291	343	329	157	108	342	432
DCUN1D2	82	84	139	156	24	13	23	54
DCUN1D3	56	75	72	67	11	4	17	27
DCUN1D4	325	399	482	444	121	95	223	334
DCUN1D5	911	1041	1185	1173	450	294	831	937
DCXR	603	670	856	743	406	291	798	1249
DDA1	114	157	104	131	173	110	264	435
DDAH1	101	159	188	176	319	225	795	967
DDAH2	62	56	64	56	33	15	47	71
DDB1	8050	9817	9228	8317	3354	2389	5873	8467
DDB2	135	168	181	143	101	93	160	277
DDHD1	418	531	649	603	111	75	206	235
DDHD2	664	821	881	842	143	97	308	383
DDI2	344	436	646	571	245	219	460	623
DDIT3	37	53	53	50	44	29	18	31
DDIT4	96	123	159	137	140	66	219	356
DDOST	2799	3268	2971	2806	1429	795	3261	4369
DDR1	82	110	104	67	79	45	150	220
DDR2	258	318	363	322	197	98	361	432
DDRGK1	695	928	945	1134	331	220	619	947
DDT	644	820	974	916	597	409	1076	1572
DDTL	391	472	600	591	516	318	900	1226
DDX1	3868	4505	5183	5097	1748	1273	3124	4269
DDX10	1495	1858	1971	2032	425	319	652	937
DDX11	1283	1823	2155	2033	444	270	688	990
DDX17	6331	8212	9770	9584	2875	1915	4724	7104
DDX18	3034	3518	3950	3875	1012	793	1749	2485
DDX19B	931	1154	1107	1019	287	184	520	779
DDX20	1382	1807	1677	1559	628	475	972	1466
DDX21	8048	9708	9811	9500	3262	2604	6109	8073
DDX23	2085	2627	2587	2600	549	378	1219	1712
DDX24	2849	3385	3999	3708	2036	1404	3391	5189
DDX26B	233	291	298	290	54	39	82	94
DDX27	1378	1876	2012	2030	692	469	1286	1928
DDX28	292	343	386	301	192	153	321	492
DDX31	469	615	622	565	274	173	412	608
DDX39A	1556	2025	2030	1852	1121	835	1933	2853
DDX39B	4584	5631	6189	5477	3103	2097	5002	7781
DDX3X	6297	8684	8277	7999	2536	1779	4801	6991
DDX3Y	85	165	237	197	129	63	164	335
DDX41	754	915	896	875	232	126	356	565
DDX42	1842	2355	2672	2458	827	589	1513	2005
DDX46	2647	3357	3728	3795	1440	1121	3108	4052
DDX47	1397	1612	1760	1689	837	590	1274	1741
DDX49	915	1189	1176	1110	321	188	568	913
DDX5	10030	13626	14827	14776	5922	4281	7844	11791
DDX50	1307	1601	1744	1702	504	368	1038	1290
DDX51	246	342	379	370	161	100	267	430
DDX52	820	1045	1228	1104	575	422	989	1217
DDX54	1517	1879	1789	1931	619	437	1241	1855
DDX55	727	854	1124	1028	203	188	347	489
DDX56	1656	2020	1946	1668	1462	1017	2320	3499
DDX58	71	73	119	104	33	28	45	57
DDX59	339	404	427	353	90	60	190	251
DDX6	1833	2254	2775	2343	1176	970	1754	2524
DDX60	42	53	79	61	28	25	78	85
DEAF1	852	1082	1067	1048	55	29	115	144
DECR1	255	330	339	338	41	23	88	88
DECR2	60	51	49	42	24	14	60	63
DEDD	189	253	290	197	64	46	145	213
DEDD2	54	61	80	70	89	56	125	173
DEF8	319	424	449	421	179	108	246	384
DEGS1	1651	2036	1862	1634	1090	859	1840	2970
DEK	3755	4575	5081	5133	1554	1383	3636	4400
DENND1A	183	232	329	292	69	44	161	216
DENND1B	226	287	336	293	27	21	39	72
DENND2C	222	319	359	304	56	28	87	110
DENND3	66	108	133	112	49	31	94	98
DENND4A	834	1070	1272	1105	199	177	402	535
DENND4B	309	405	545	397	57	43	121	197
DENND4C	1212	1545	1668	1492	257	205	431	601
DENND5A	1608	1871	2071	1890	55	44	114	161
DENND5B	380	464	521	471	153	109	344	500
DENND6A	779	917	1055	1005	142	86	258	363
DENR	1086	1341	1289	1259	537	483	1203	1748
DEPDC1	2233	2675	2859	2689	414	284	918	1139
DEPDC1B	624	759	768	796	174	143	354	447
DEPDC5	264	340	436	384	33	18	82	90
DEPDC7	217	256	318	268	111	69	200	239
DEPTOR	40	34	55	46	8	5	24	26
DERA	295	354	367	354	156	111	408	484
DERL1	236	312	267	217	233	151	413	642
DERL2	204	261	260	180	178	130	289	466
DERL3	24	26	23	23	49	49	100	124
DESI1	230	318	294	286	142	100	302	406
DESI2	413	531	575	583	86	88	261	331
DET1	110	172	148	122	8	10	41	63
DFFA	1150	1360	1449	1312	377	257	854	1052
DFFB	127	148	172	141	102	67	143	227
DFNA5	31	23	45	26	29	22	56	76
DFNB31	45	78	107	71	17	11	40	48
DGAT1	113	129	128	85	52	40	104	169
DGCR14	422	545	597	629	170	121	284	438
DGCR2	486	644	631	520	173	103	246	413
DGCR6	322	337	401	385	46	35	119	169
DGCR6L	573	636	717	708	70	63	161	226
DGCR8	811	1071	1277	1287	80	73	179	294
DGKA	39	37	56	51	21	16	54	46
DGKD	425	491	630	554	77	49	172	210
DGKE	197	250	344	309	125	67	195	323
DGKH	317	459	701	547	151	91	256	374
DGKQ	122	162	215	166	17	4	22	35
DGKZ	575	742	871	801	65	47	196	265
DGUOK	369	376	391	342	245	179	345	507
DHCR24	1198	1539	1598	1402	1232	736	2086	3711
DHCR7	683	910	767	617	406	259	836	1310
DHDDS	178	222	212	215	125	73	196	290
DHFR	1335	1626	1839	1844	1159	916	2389	3093
DHFRL1	40	47	63	48	91	80	192	269
DHODH	114	155	183	175	51	42	118	141
DHPS	342	410	420	383	277	211	591	812
DHRS1	46	71	67	51	57	31	111	141
DHRS11	50	77	93	81	28	20	64	86
DHRS13	45	53	57	55	58	32	76	121
DHRS3	138	183	205	170	98	65	131	205
DHRS4	212	296	335	320	96	84	195	339
DHRS7	489	627	656	572	182	130	402	595
DHRS7B	319	407	435	368	106	61	188	286
DHRSX	128	186	198	196	120	58	160	270
DHTKD1	742	1015	1128	943	345	194	548	719
DHX15	4906	6039	5960	5675	2448	1711	3473	5505
DHX16	1175	1521	1467	1351	626	425	1082	1584
DHX29	1592	1986	2073	1980	397	297	649	891
DHX30	3702	4829	5092	4386	952	647	1503	2411
DHX32	467	594	661	609	208	131	337	487
DHX33	497	600	961	762	422	294	760	963
DHX34	477	644	653	633	147	111	229	377
DHX35	311	377	450	387	85	74	184	193
DHX36	1336	1776	2457	2252	671	500	1280	1773
DHX37	1041	1319	1409	1326	336	274	610	1037
DHX38	1413	1765	1928	1796	289	213	624	910
DHX40	1688	1964	2222	2010	658	506	1228	1691
DHX57	1184	1511	1759	1623	382	284	651	878
DHX8	1678	2066	2385	2204	806	526	1209	1685
DHX9	14610	17939	17928	16312	5177	3663	7436	11119
DIABLO	450	573	548	520	356	251	654	908
DIAPH1	861	1217	2155	1960	740	414	842	1329
DIAPH2	723	926	1134	1057	125	82	220	287
DIAPH3	951	1193	1465	1499	304	220	474	674
DICER1	2944	3595	4353	4068	385	274	825	1096
DIDO1	1377	1867	2295	2034	411	266	695	979
DIEXF	869	1070	1027	1009	179	135	323	446
DIMT1	559	609	619	493	192	139	382	487
DIP2A	391	458	688	573	106	78	212	306
DIP2B	1122	1391	1600	1416	464	323	768	1149
DIP2C	162	231	299	236	113	81	225	328
DIRAS1	30	32	34	37	43	30	86	117
DIRC2	154	194	195	196	100	61	174	239
DIS3	2655	3299	3447	3369	835	679	1319	1707
DIS3L	1051	1239	1472	1283	193	123	336	506
DIS3L2	281	380	480	431	87	76	169	205
DISC1	76	101	104	100	17	14	22	29
DISP1	118	153	143	110	34	15	38	57
DIXDC1	105	131	139	156	37	28	85	96
DKC1	2808	3592	3737	3692	865	588	1587	2337
DKFZp434J194	74	68	111	97	0	0	1	0
DKFZp434K1323	94	124	138	136	133	79	171	302
DKFZp547E087	627	808	1213	1180	25	25	56	56
DLAT	1421	1890	1866	1687	649	446	1125	1680
DLC1	213	238	307	216	141	80	278	381
DLD	1792	2308	2304	2231	2253	1503	4364	5937
DLG1	707	921	1038	888	183	117	382	504
DLG3	192	253	292	234	109	66	237	255
DLG4	22	28	35	32	5	2	12	4
DLG5	508	729	959	849	140	98	298	461
DLGAP4	44	59	95	63	48	40	145	151
DLGAP5	2397	2853	2842	2528	1054	845	1611	2031
DLL1	29	35	50	48	27	15	44	66
DLST	700	771	942	875	729	504	1412	1855
DLX1	66	77	90	85	53	36	66	92
DLX2	76	111	164	104	367	245	521	892
DMAP1	272	375	405	414	224	187	441	717
DMC1	112	142	161	150	4	5	18	14
DMD	73	104	98	70	105	64	178	208
DMKN	241	353	307	251	354	269	542	616
DMPK	87	130	237	195	7	1	16	8
DMTF1	1008	1325	1288	1131	95	63	157	178
DMWD	233	280	465	343	79	44	152	276
DMXL1	1500	1941	2312	1911	598	416	938	1203
DMXL2	1121	1605	1714	1529	315	224	548	718
DNA2	1001	1222	1482	1359	447	335	749	941
DNAAF2	367	452	523	464	139	115	266	332
DNAAF3	37	54	46	35	13	6	22	29
DNAH1	162	215	357	287	20	3	17	6
DNAH11	174	262	277	274	24	12	56	41
DNAH14	1394	1799	2221	2052	147	120	386	529
DNAH6	128	142	218	203	12	2	27	22
DNAH7	44	51	84	71	18	6	20	16
DNAJA1	4337	5522	5309	5251	1816	1454	3042	4783
DNAJA2	1467	1844	1968	1978	721	531	1362	2012
DNAJA3	921	1161	1310	1186	333	239	784	1098
DNAJB1	539	732	725	656	386	269	831	1309
DNAJB11	588	794	824	746	357	217	737	980
DNAJB12	277	409	362	332	291	186	500	639
DNAJB14	241	352	340	364	113	66	185	210
DNAJB2	32	41	27	33	72	59	128	183
DNAJB4	106	167	178	145	38	27	79	96
DNAJB5	37	35	47	40	17	14	35	54
DNAJB6	811	1107	938	968	484	394	878	1400
DNAJB9	63	105	92	69	57	31	91	131
DNAJC1	405	496	538	498	214	149	440	620
DNAJC10	2149	2642	2949	2801	197	107	440	563
DNAJC11	941	1189	1499	1510	490	319	725	1216
DNAJC12	141	173	169	153	131	93	261	311
DNAJC13	1845	2543	2896	2756	238	201	610	799
DNAJC14	1471	1766	1853	1821	582	495	1255	1636
DNAJC16	213	239	301	240	112	68	238	330
DNAJC17	145	169	214	215	51	36	81	130
DNAJC18	143	162	219	166	133	125	290	368
DNAJC19	304	394	403	350	107	85	190	218
DNAJC2	1346	1745	1747	1766	377	309	786	1042
DNAJC21	672	861	910	852	218	190	478	679
DNAJC24	103	115	123	108	23	18	65	65
DNAJC25	116	186	158	171	20	8	30	45
DNAJC27	29	35	53	42	3	2	8	8
DNAJC28	29	38	42	42	8	9	31	39
DNAJC3	510	662	785	783	174	110	357	481
DNAJC30	31	39	39	34	56	43	72	129
DNAJC4	35	36	23	15	10	6	31	36
DNAJC5	192	222	274	254	211	163	460	607
DNAJC6	238	274	319	232	253	158	434	534
DNAJC7	1911	2487	2686	2565	902	682	1723	2343
DNAJC8	2147	2664	2764	2918	771	573	1609	2142
DNAJC9	845	1071	1088	1095	367	285	632	933
DNAL1	95	100	163	153	27	33	62	115
DNAL4	32	47	51	54	14	20	46	52
DNASE1L1	139	172	181	169	25	15	41	77
DNASE2	197	276	208	195	196	140	376	519
DNHD1	99	154	248	186	3	1	3	2
DNLZ	45	57	60	69	32	30	52	93
DNM1	108	119	206	161	144	96	235	309
DNM1L	1749	2238	2212	2012	799	606	1642	2205
DNM2	1305	1757	1897	1626	982	683	1681	2564
DNM3	98	124	162	128	14	14	46	53
DNMBP	153	214	326	276	155	99	212	309
DNMT1	3250	4533	5493	4887	2113	1398	3538	5465
DNMT3A	146	190	230	208	75	58	141	255
DNMT3B	315	413	413	357	103	71	161	264
DNPEP	330	393	401	335	211	133	421	608
DNPH1	301	354	488	416	285	198	601	774
DNTTIP1	294	423	472	470	423	285	744	1115
DNTTIP2	2877	3339	3651	3398	664	539	838	924
DOC2A	23	20	36	28	9	3	31	33
DOCK1	1325	1686	2155	1909	182	130	447	614
DOCK11	709	920	972	926	234	155	491	561
DOCK3	303	402	619	508	41	23	68	98
DOCK4	439	604	696	596	301	234	547	726
DOCK5	320	438	565	497	104	75	249	299
DOCK6	83	102	193	149	48	41	132	148
DOCK7	2311	3015	3404	3049	596	460	1158	1458
DOCK8	38	44	54	65	50	45	79	105
DOCK9	413	566	621	554	85	53	196	238
DOHH	77	83	97	98	64	45	146	222
DOK1	47	51	73	60	8	4	17	30
DOK3	22	28	43	32	2	0	4	3
DOK4	23	30	25	19	15	16	31	47
DOLK	215	226	237	173	144	93	256	440
DOLPP1	150	205	161	136	151	108	244	445
DOM3Z	174	247	265	249	143	86	268	352
DONSON	778	991	1013	950	328	256	775	985
DOPEY1	1284	1731	1882	1684	264	195	474	638
DOPEY2	205	278	394	343	151	110	288	438
DOT1L	293	376	659	554	108	76	242	358
DPAGT1	154	198	170	172	192	99	359	542
DPCD	296	297	432	457	193	157	400	567
DPF1	53	87	97	83	100	47	151	235
DPF2	344	400	498	488	326	228	555	874
DPF3	22	25	31	35	14	9	10	19
DPH1	371	481	451	388	294	206	542	790
DPH2	545	725	716	633	168	103	184	321
DPH3	55	95	77	60	79	62	118	187
DPH5	505	653	678	641	188	135	471	624
DPH6	82	118	135	105	91	64	163	203
DPM1	505	664	686	653	678	463	1195	1654
DPM2	88	105	80	73	71	57	117	195
DPM3	85	101	110	108	162	91	304	415
DPP3	431	576	645	581	326	245	526	921
DPP7	37	64	42	41	8	3	10	8
DPP8	536	759	895	775	178	147	348	454
DPP9	398	527	566	520	235	147	525	736
DPY19L1	644	857	927	819	240	160	523	668
DPY19L2	34	30	42	32	41	33	67	94
DPY19L3	353	471	490	496	266	167	530	795
DPY19L4	324	426	539	453	77	56	154	206
DPY30	227	350	308	269	166	127	256	386
DPYSL2	224	341	449	342	485	338	1174	1717
DPYSL3	14	40	20	30	485	361	910	1295
DPYSL4	121	131	177	159	71	38	102	230
DPYSL5	335	385	564	502	258	159	547	757
DQ576756	56	73	138	124	0	0	0	1
DQ786325	238	242	286	253	48	26	94	165
DR1	585	787	780	746	214	136	496	626
DRAM2	251	301	247	189	91	58	203	222
DRAP1	354	474	499	557	112	102	246	392
DRG1	1854	2236	2205	2118	1045	686	1639	2449
DRG2	786	1009	1011	949	226	177	515	704
DROSHA	1205	1513	2448	2025	556	402	966	1263
DSC2	192	288	321	270	200	124	411	522
DSC3	310	412	488	439	286	196	480	836
DSCC1	525	639	744	759	184	132	410	565
DSCR3	196	282	221	211	108	94	252	297
DSE	480	616	574	475	116	64	182	231
DSG2	930	1212	1655	1361	705	436	1358	1771
DSN1	561	692	765	755	164	130	328	395
DSP	3668	4943	6439	5661	1825	1296	3316	4448
DST	3817	5110	6085	5767	487	317	577	878
DSTN	645	787	837	775	813	590	1966	2440
DSTYK	350	413	580	536	73	58	126	182
DTD1	393	463	585	605	199	175	413	674
DTD2	158	186	205	185	51	39	90	99
DTL	1646	2090	2214	1795	521	432	976	1393
DTNA	110	132	167	132	107	80	211	245
DTNB	169	232	254	227	71	58	147	237
DTNBP1	148	177	282	263	218	172	451	691
DTWD1	141	204	187	156	68	47	174	168
DTWD2	111	124	141	109	68	43	144	181
DTX2	32	47	80	62	45	27	83	93
DTX3	47	65	48	41	47	27	91	120
DTX3L	61	77	116	87	107	53	186	237
DTYMK	594	774	881	879	375	237	551	956
DUS1L	1518	1821	2167	1972	150	76	292	450
DUS2L	257	273	331	342	144	104	226	333
DUS3L	684	822	870	839	173	135	314	554
DUS4L	120	148	146	128	38	45	100	108
DUSP1	81	103	107	67	216	143	310	411
DUSP11	351	454	424	435	180	135	321	432
DUSP12	329	438	449	469	134	79	162	250
DUSP14	96	141	132	108	139	96	225	327
DUSP16	234	259	359	309	64	45	133	178
DUSP19	32	50	33	49	27	25	52	77
DUSP2	27	36	39	33	1	0	0	0
DUSP22	58	96	92	98	27	12	63	61
DUSP3	144	201	218	180	164	115	314	499
DUSP7	56	66	116	100	54	38	142	175
DUSP9	115	148	153	135	37	27	56	110
DUT	473	751	775	830	707	451	1417	1745
DVL1	733	860	834	750	60	42	150	197
DVL2	538	725	706	596	333	256	663	938
DVL3	241	299	350	312	190	115	394	595
DYM	446	531	512	399	215	184	696	812
DYNC1H1	13045	17327	22315	20306	4042	2730	4658	6340
DYNC1I2	1255	1497	1670	1525	802	586	1340	1836
DYNC1LI1	1738	2134	2312	2267	539	369	1071	1283
DYNC1LI2	724	916	1145	1075	360	233	659	851
DYNC2H1	6428	8431	9746	9302	839	641	1613	2010
DYNC2LI1	370	426	466	416	99	78	254	319
DYNLL1	734	833	805	790	698	506	1334	2083
DYNLL2	103	128	129	114	167	119	353	396
DYNLRB1	160	220	149	104	298	223	635	854
DYNLT1	425	573	511	482	326	270	831	1035
DYNLT3	104	141	155	146	48	36	131	172
DYRK1A	805	983	995	874	202	109	384	501
DYRK1B	61	107	82	70	124	79	242	355
DYRK2	436	668	659	665	116	70	172	275
DYRK3	276	362	409	329	73	50	175	214
DYRK4	183	236	181	185	134	94	187	234
DYX1C1	55	56	73	54	36	23	79	91
DZANK1	30	41	49	53	20	16	34	46
DZIP1	1340	1734	2057	1829	68	51	120	114
DZIP1L	119	157	227	223	19	10	24	40
DZIP3	1288	1710	1615	1555	196	153	429	517
E2F1	513	584	628	572	42	36	127	128
E2F2	131	136	175	178	138	82	311	387
E2F3	335	475	473	405	189	177	390	526
E2F4	590	828	868	679	110	73	292	394
E2F5	254	313	361	324	72	50	191	257
E2F6	214	271	299	269	88	79	213	228
E2F7	399	448	584	530	196	139	375	582
E2F8	284	393	465	386	101	64	154	187
E4F1	557	671	731	616	125	78	221	322
EAF1	219	261	280	220	167	156	371	477
EAF2	43	48	74	59	26	15	53	48
EAPP	476	533	561	479	160	138	276	400
EARS2	447	544	622	579	224	153	424	573
EBAG9	117	180	154	143	58	36	92	120
EBF3	117	137	169	155	134	111	229	322
EBLN2	71	104	131	121	0	0	0	0
EBNA1BP2	1745	2044	2189	2282	1003	697	1590	2530
EBP	705	789	745	693	580	380	926	1487
EBPL	198	240	281	246	307	214	726	1045
ECD	570	728	866	767	714	559	1341	1872
ECE1	170	265	325	230	329	200	576	863
ECE2	43	63	66	64	38	26	43	81
ECEL1	26	41	46	41	11	9	29	56
ECHDC1	859	1079	1111	1047	589	449	948	1279
ECHS1	1373	1748	2055	1941	892	682	1885	2668
ECI1	415	529	608	487	248	148	477	676
ECI2	1569	1899	2058	1974	555	406	1142	1457
ECSIT	356	423	415	385	145	100	257	417
ECT2	2015	2646	2742	2452	797	583	1403	1734
EDA	20	28	46	30	10	12	21	47
EDC3	385	605	725	628	406	329	702	991
EDC4	1384	1649	1779	1369	815	516	1227	2074
EDEM1	395	517	634	643	53	30	94	98
EDEM2	261	327	305	249	40	20	58	87
EDEM3	830	1025	1177	1108	132	87	197	300
EDF1	915	1234	1147	973	698	581	1163	1990
EEA1	666	974	1243	1041	510	402	951	1256
EED	536	742	815	759	214	135	381	541
EEF1A1	199612	241581	251035	240019	23056	16616	62034	107446
EEF1A2	161	232	201	173	502	363	1487	1779
EEF1B2	7435	9170	8666	7069	2043	1396	4307	6813
EEF1D	3378	4161	4154	3919	689	540	1366	2376
EEF1E1	935	1271	1257	1112	842	570	1567	2212
EEF1G	29093	37199	37211	35029	3654	2625	9317	14779
EEF2	32754	41470	36863	32405	8246	6117	22578	37728
EEF2K	216	252	324	311	128	68	145	205
EEFSEC	146	144	231	165	149	96	244	382
EEPD1	67	99	115	116	28	26	65	80
EFCAB11	72	100	81	98	30	34	81	88
EFCAB14	222	302	393	353	83	54	172	193
EFCAB2	42	52	75	52	8	7	14	25
EFCAB4B	103	120	160	140	19	13	46	56
EFCAB6	36	67	72	53	5	2	7	15
EFCAB7	256	369	363	320	103	81	184	229
EFHC1	247	321	314	328	64	60	106	185
EFHD2	100	135	170	165	96	82	237	371
EFNA5	30	37	80	66	186	103	278	422
EFNB1	81	121	132	92	94	43	152	274
EFNB2	95	142	112	93	156	122	376	531
EFR3A	530	714	760	747	48	44	139	168
EFR3B	58	68	100	83	72	35	156	210
EFTUD1	1003	1241	1378	1205	171	152	331	441
EFTUD2	3908	4632	5343	5003	1953	1318	3344	5496
EGFL7	49	62	84	68	115	75	204	322
EGFR	51	78	110	106	77	51	172	209
EGLN1	430	515	676	620	151	105	339	466
EGLN2	261	372	380	352	83	53	142	233
EGLN3	24	22	24	27	59	29	89	132
EHBP1	656	813	1164	1077	128	107	255	273
EHBP1L1	20	23	45	35	11	6	44	50
EHD1	145	211	238	214	105	62	213	281
EHD3	84	127	124	116	28	19	51	87
EHD4	339	443	357	393	186	135	356	489
EHHADH	96	155	150	142	113	82	182	218
EHMT1	806	1061	1198	1076	303	239	503	775
EHMT2	758	991	1162	990	329	275	645	1045
EI24	1395	1743	1793	1641	105	66	248	355
EID1	562	765	833	858	769	463	1196	1801
EID2	79	96	122	130	290	219	601	795
EID3	20	45	79	76	1	0	1	2
EIF1	458	596	1006	856	674	445	1550	2316
EIF1AD	109	140	222	218	65	35	148	160
EIF1AX	1625	2150	1996	2073	1180	819	2311	3079
EIF1B	202	259	359	319	128	94	298	437
EIF2A	1931	2304	2340	2034	429	328	935	1185
EIF2AK1	1192	1651	1923	1691	484	341	967	1182
EIF2AK2	583	792	984	880	399	321	999	1218
EIF2AK3	292	391	416	346	29	29	79	86
EIF2AK4	1124	1449	1636	1444	233	163	494	649
EIF2B1	855	1038	1088	966	518	313	883	1320
EIF2B2	533	639	686	622	267	180	476	652
EIF2B3	991	1209	1268	1270	534	374	938	1280
EIF2B4	446	573	599	624	265	167	411	619
EIF2B5	727	897	803	785	331	210	441	718
EIF2D	1029	1204	1198	1144	143	129	289	394
EIF2S1	1149	1443	1516	1445	1010	797	1895	2654
EIF2S2	3482	4223	4608	4457	1465	1158	2845	3479
EIF2S3	4844	6320	6229	5712	2912	2164	8227	10274
EIF3A	9059	11542	12583	12488	3201	2370	5626	9105
EIF3B	5743	7407	7731	7571	2338	1591	4433	6276
EIF3C	12638	19287	20005	19439	9815	6909	19821	26935
EIF3D	5718	6794	6946	6439	2734	1995	5250	7157
EIF3E	8193	10294	9289	8348	2472	1738	5164	6812
EIF3F	2070	2662	2717	2528	551	409	1403	2208
EIF3G	1898	2352	2088	1947	1196	933	2800	3998
EIF3H	1707	2354	2178	2012	809	653	1938	2788
EIF3I	5963	7027	6119	5492	2780	2149	6011	7957
EIF3J	516	709	729	722	428	289	875	1308
EIF3K	2147	2647	2777	2729	2488	1768	5809	7540
EIF3L	5848	7335	6344	5243	1220	904	3016	4622
EIF3M	4679	5795	6462	6299	1616	1185	3482	4822
EIF4A2	1749	2229	2125	2081	501	355	1274	1747
EIF4A3	2033	2759	2587	2421	1154	896	1890	2746
EIF4B	9577	11967	12275	12121	1493	990	3097	4691
EIF4E	1257	1676	1777	1700	553	366	1037	1511
EIF4E2	667	820	729	687	346	260	514	787
EIF4E3	63	72	106	84	27	20	54	78
EIF4EBP1	325	434	505	535	263	203	468	665
EIF4EBP2	76	149	114	99	44	47	153	262
EIF4ENIF1	395	519	625	626	207	128	343	507
EIF4G1	8643	12495	15038	13458	5843	4160	8759	12745
EIF4G2	11596	14296	17823	15495	1550	1063	2092	2674
EIF4G3	2264	2937	3709	3280	1104	838	2083	3041
EIF4H	2362	2961	2682	2306	1070	754	2284	3023
EIF5	3834	4692	5100	4806	1054	728	1558	1867
EIF5A	3998	5190	5465	5201	9626	6968	17503	25362
EIF5A2	56	73	111	105	32	16	67	97
EIF5AL1	1227	1632	1675	1517	3969	2819	8296	11269
EIF5B	1668	2496	3224	3293	1356	991	2123	2964
EIF6	628	735	732	634	542	319	914	1388
ELAC1	50	74	76	70	30	29	39	79
ELAC2	1804	2340	2274	2069	691	464	1055	1390
ELAVL1	739	1026	1126	1005	982	737	2195	3078
ELAVL2	91	146	117	98	77	58	157	211
ELF1	208	247	324	255	318	257	471	605
ELF2	592	751	863	717	198	123	323	460
ELF4	114	110	226	198	110	77	273	325
ELK1	276	339	397	309	55	44	106	192
ELK3	46	47	39	42	18	21	75	68
ELL	107	131	141	118	87	71	165	241
ELL2	228	299	267	220	76	75	211	235
ELL3	32	42	31	27	62	42	175	168
ELMO2	269	326	380	314	204	120	289	452
ELMO3	32	27	39	27	1	1	3	1
ELMOD1	38	36	52	41	5	5	11	12
ELMOD2	342	419	438	422	198	145	366	514
ELMOD3	107	108	117	81	7	5	7	16
ELMSAN1	155	158	311	259	88	57	160	214
ELOF1	157	267	250	254	147	111	254	491
ELOVL1	239	300	232	194	318	189	562	867
ELOVL2	104	135	111	97	70	53	160	257
ELOVL4	237	324	265	278	288	222	502	713
ELOVL5	650	732	693	510	633	487	1365	2057
ELOVL6	95	112	137	102	128	83	253	436
ELOVL7	67	87	92	99	60	47	132	194
ELP2	1175	1404	1582	1413	451	345	937	1262
ELP3	431	594	547	517	503	391	820	1150
ELP4	390	445	470	341	160	111	269	307
ELP5	418	567	518	502	283	205	502	694
ELP6	570	650	631	635	184	144	261	423
EMB	436	594	559	510	146	88	308	364
EMC1	952	1306	1584	1418	822	498	1448	2201
EMC10	472	583	634	587	281	153	381	773
EMC2	384	504	522	546	222	162	471	519
EMC3	755	897	732	585	430	325	780	1062
EMC4	355	384	421	348	445	295	640	972
EMC6	86	108	66	53	75	46	115	227
EMC7	185	265	264	247	286	159	513	753
EMC8	261	334	338	282	185	114	321	469
EMC9	136	145	139	166	50	29	69	97
EMD	605	780	739	655	438	323	856	1299
EME1	344	380	452	407	98	49	145	224
EME2	52	68	98	91	10	10	13	17
EMG1	499	564	619	557	328	201	546	879
