	ribo_tm_a	ribo_tm_b	ribo_untr_a	ribo_untr_b
ARL3	267	220	570	772
ARL4A	38	38	71	97
ARL4C	24	24	65	103
ARL4D	33	22	58	70
ARL5A	33	19	56	83
ARL5B	189	147	363	481
ARL6	46	34	99	148
ARL6IP1	793	564	1266	1953
ARL6IP4	339	320	609	1040
ARL6IP5	217	164	480	560
ARL6IP6	94	60	188	239
ARL8A	125	85	246	349
ARL8B	224	187	478	685
ARMC1	211	137	402	497
ARMC10	106	87	186	271
ARMC2	20	9	40	45
ARMC4	102	60	173	216
ARMC5	95	59	87	178
ARMC6	366	192	543	815
ARMC8	150	127	280	342
ARMC9	162	110	314	453
ARMCX2	165	122	336	383
ARMCX3	144	93	188	298
ARMCX4	24	15	12	33
ARMCX5	79	54	135	139
ARMCX5-GPRASP2	125	100	193	292
ARMCX6	25	17	38	78
ARNT	209	167	388	542
ARNT2	20	14	60	92
ARNTL	16	20	43	58
ARNTL2	16	13	60	79
ARPC1A	573	402	1297	1999
ARPC1B	247	204	547	842
ARPC2	1202	953	2773	3738
ARPC3	1785	1446	3840	4770
ARPC5	226	187	462	731
ARPC5L	178	116	350	505
ARPP19	224	239	549	644
ARRB1	28	33	97	88
ARRB2	251	167	489	707
ARRDC1	133	69	242	335
ARRDC3	25	21	56	69
ARRDC4	99	52	181	251
ARSA	49	30	110	141
ARSB	57	21	82	121
ARSG	8	11	29	30
ARSK	82	53	140	174
ARV1	232	153	391	572
ARVCF	27	16	51	74
AS3MT	53	58	149	168
ASAH1	242	171	521	683
ASAH2	49	33	51	90
ASAH2B	26	23	35	68
ASAP1	154	117	348	445
ASAP2	95	63	194	290
ASAP3	42	23	85	122
ASB1	49	29	81	145
ASB13	42	29	81	147
ASB3	237	170	400	551
ASB6	334	227	540	821
ASB7	32	19	58	95
ASB8	163	135	286	377
ASCC1	288	187	550	695
ASCC2	260	167	595	905
ASCC3	979	628	1592	2181
ASF1A	261	218	548	761
ASF1B	371	285	648	1069
ASH1L	470	327	701	958
ASH2L	314	246	563	736
ASIC1	42	30	113	137
ASL	59	37	118	155
ASMT	0	0	0	0
ASMTL	134	104	302	358
ASNA1	474	318	878	1186
ASNS	1047	774	2153	2409
ASNSD1	154	117	326	408
ASPH	233	152	542	725
ASPHD2	7	8	36	46
ASPM	1061	847	1624	1983
ASPSCR1	93	54	142	282
ASRGL1	117	95	238	363
ASS1	332	232	782	868
ASTE1	84	55	133	196
ASTN2	2	3	14	15
ASUN	293	225	784	890
ASXL1	308	186	413	656
ASXL2	148	119	197	282
ASXL3	35	26	56	45
ATAD1	529	306	897	1296
ATAD2	1158	827	1846	2264
ATAD2B	82	64	196	252
ATAD3A	805	583	1715	2610
ATAD3B	737	480	1488	2316
ATAD3C	282	210	582	879
ATAD5	271	203	477	511
ATAT1	61	54	116	159
ATE1	171	123	329	434
ATF1	143	106	258	425
ATF2	77	65	190	241
ATF3	32	21	47	76
ATF4	1958	1419	653	689
ATF5	45	33	12	15
ATF6	472	329	910	1133
ATF6B	306	226	604	891
ATF7	128	79	217	311
ATF7IP	1038	688	1514	2028
ATF7IP2	9	6	16	30
ATG10	12	12	29	41
ATG12	99	84	204	289
ATG13	145	115	254	365
ATG14	30	27	54	73
ATG16L1	162	124	310	443
ATG16L2	6	4	9	15
ATG2A	155	118	252	412
ATG2B	394	314	756	951
ATG3	224	173	493	591
ATG4A	93	67	115	165
ATG4B	471	344	649	981
ATG4C	115	62	240	272
ATG4D	58	28	115	192
ATG5	155	108	350	384
ATG7	208	146	386	500
ATG9A	443	282	887	1189
ATHL1	8	7	18	18
ATIC	2277	1637	4449	6155
ATL1	62	44	109	125
ATL2	390	323	657	955
ATL3	54	24	73	101
ATM	370	257	668	764
ATMIN	44	36	80	84
ATN1	212	161	542	780
ATOX1	247	178	470	559
ATP10D	42	18	51	66
ATP11A	93	61	150	246
ATP11B	155	114	382	485
ATP11C	382	245	749	991
ATP13A1	360	209	532	1061
ATP13A2	185	138	376	510
ATP13A3	295	190	766	1082
ATP1A1	3954	2552	9068	13482
ATP1A3	145	99	354	549
ATP1B1	330	215	641	796
ATP1B3	763	510	1540	2176
ATP2A2	2686	1675	5060	7541
ATP2B1	627	420	1157	1774
ATP2B4	48	35	83	150
ATP2C1	319	196	703	1021
ATP5A1	4396	3002	8418	12428
ATP5B	9170	6163	16803	23474
ATP5C1	2421	1836	4921	6511
ATP5D	300	195	612	1025
ATP5E	951	778	1756	2279
ATP5F1	1956	1438	3837	5441
ATP5G1	797	547	1196	1733
ATP5G2	1961	1369	3589	5737
ATP5G3	1734	1092	3267	4374
ATP5H	626	463	1165	1888
ATP5I	488	368	1040	1370
ATP5J	927	913	1936	2700
ATP5J2-PTCD1	534	392	701	1107
ATP5L	952	664	1854	2950
ATP5L2	235	177	595	784
ATP5S	93	84	185	254
ATP5SL	181	111	262	447
ATP6AP1	949	564	1913	2674
ATP6AP2	825	547	1704	2251
ATP6V0A1	362	284	657	1022
ATP6V0A2	290	182	492	690
ATP6V0B	766	499	1341	2125
ATP6V0C	762	494	1577	2162
ATP6V0D1	460	339	961	1398
ATP6V0E1	172	103	240	400
ATP6V0E2	156	75	186	294
ATP6V1A	954	675	1590	2506
ATP6V1B2	552	398	1061	1464
ATP6V1C1	282	192	603	806
ATP6V1D	360	224	642	913
ATP6V1E1	794	543	1671	2228
ATP6V1F	401	287	969	1201
ATP6V1G1	409	293	879	1197
ATP6V1H	436	325	818	1061
ATP7A	210	148	312	369
ATP7B	162	127	268	502
ATP8A1	67	40	153	186
ATP8B2	48	15	94	132
ATP9A	129	101	312	423
ATP9B	79	50	141	172
ATPAF1	446	314	1057	1388
ATPAF2	47	22	97	124
ATPIF1	790	593	1431	2090
ATR	457	353	754	910
ATRAID	201	115	306	451
ATRIP	88	78	168	277
ATRN	297	164	491	710
ATRNL1	28	19	58	85
ATRX	425	324	748	1053
ATXN1	48	31	56	85
ATXN10	1267	862	2469	3473
ATXN1L	30	13	43	80
ATXN2	718	557	1453	1943
ATXN2L	905	657	1658	2701
ATXN3	150	112	303	386
ATXN7	37	28	77	118
ATXN7L1	47	32	58	77
ATXN7L2	35	27	40	75
ATXN7L3	43	18	61	82
ATXN7L3B	140	103	247	402
AUH	64	56	125	175
AUNIP	131	86	333	363
AUP1	211	133	429	582
AURKA	944	725	1630	2163
AURKAIP1	877	652	1524	2536
AURKB	607	375	955	1435
AUTS2	116	56	224	295
AVEN	27	18	84	124
AVL9	93	65	167	255
AX746670	0	0	0	0
AX746699	1	0	0	0
AX746750	0	0	0	0
AX747493	14	10	19	19
AX747756	3	1	0	1
AX748249	7	3	3	9
AXIN1	82	49	191	321
AXIN2	42	30	62	101
AZI1	102	59	151	200
AZI2	63	44	86	91
AZIN1	417	301	496	586
B2M	1512	1055	2807	3768
B3GALNT2	53	28	116	160
B3GALT1	6	1	6	8
B3GALT6	85	49	171	285
B3GALTL	90	59	195	188
B3GAT3	124	78	186	325
B3GNT1	369	221	660	1102
B3GNT2	43	34	79	92
B3GNT5	46	34	102	120
B4GALNT1	5	3	13	20
B4GALNT3	56	34	139	205
B4GALNT4	2	4	14	30
B4GALT1	107	83	210	306
B4GALT2	35	18	74	94
B4GALT3	94	43	107	160
B4GALT4	46	30	123	137
B4GALT5	145	111	277	466
B4GALT6	20	15	49	77
B4GALT7	25	26	77	129
B9D1	170	100	321	391
BABAM1	269	165	434	626
BACE1	33	16	70	108
BACE2	106	71	210	262
BACH1	172	134	298	397
BACH2	27	32	74	79
BAD	91	75	167	249
BAG1	84	49	127	215
BAG2	372	276	599	1061
BAG3	437	325	749	1129
BAG4	239	158	412	571
BAG5	207	161	409	597
BAG6	2231	1477	3681	5859
BAHCC1	63	52	109	133
BAHD1	254	166	449	691
BAI2	17	10	39	34
BAI3	8	7	9	11
BAIAP2	98	63	150	253
BAIAP2L1	227	179	526	691
BAK1	153	117	271	408
BAMBI	146	86	226	274
BANF1	318	246	675	1231
BANP	72	57	170	243
BAP1	128	73	254	370
BARD1	250	183	378	576
BATF3	12	10	19	41
BAX	199	144	345	584
BAZ1A	807	609	1490	1875
BAZ1B	1015	694	1785	2636
BAZ2A	613	373	1248	1674
BAZ2B	103	80	155	180
BBIP1	55	48	69	96
BBS1	58	42	106	156
BBS10	191	175	337	413
BBS12	26	21	47	58
BBS2	204	152	370	544
BBS4	111	86	220	296
BBS7	249	166	475	629
BBS9	34	26	84	91
BBX	308	231	574	837
BC017347	21	18	19	36
BC024682	0	1	0	1
BC032716	42	35	83	99
BC041025	0	0	0	0
BC043620	13	9	28	43
BC071797	1	0	2	1
BC107108	50	37	109	131
BCAM	42	20	95	152
BCAP29	207	125	384	580
BCAP31	1249	745	2307	3814
BCAR1	170	93	270	446
BCAR3	25	21	43	60
BCAS2	649	457	1267	1635
BCAS3	227	164	333	468
BCAS4	60	41	94	117
BCAT1	516	380	1123	1317
BCAT2	258	174	479	693
BCCIP	853	632	1705	2393
BCDIN3D	45	47	108	146
BCHE	72	52	155	170
BCKDHA	225	142	391	575
BCKDHB	146	94	321	429
BCKDK	233	137	582	732
BCL10	165	147	258	398
BCL11A	70	75	170	269
BCL2L1	25	17	44	71
BCL2L11	57	34	34	54
BCL2L12	192	113	287	466
BCL2L13	126	88	263	362
BCL2L2-PABPN1	506	382	879	1411
BCL6	49	22	46	88
BCL6B	1	0	2	1
BCL7A	112	72	222	382
BCL7B	74	56	134	155
BCL7C	69	56	153	225
BCL9	91	61	151	177
BCLAF1	2341	2003	3602	5139
BCOR	1246	815	2208	2994
BCORL1	283	178	405	665
BCR	142	86	374	517
BCS1L	341	215	536	759
BDH1	0	0	0	0
BDH2	172	110	325	366
BDP1	261	227	398	544
BECN1	95	60	252	329
BEND3	93	61	116	194
BEND4	63	46	97	141
BEND7	34	9	66	81
