	ribo_isrib_a	ribo_isrib_b	ribo_untr_a	ribo_untr_b
SNRNP35	53	62	63	160
SNRNP40	924	1205	1731	2416
SNRNP48	91	114	199	224
SNRNP70	1657	2102	2635	4868
SNRPA	737	992	1295	1900
SNRPA1	1024	1330	1849	2555
SNRPB	3533	4497	5987	9038
SNRPB2	556	715	996	1346
SNRPC	1031	1454	1795	2606
SNRPD1	1042	1391	2027	2086
SNRPD2	1129	1586	2133	2913
SNRPD3	1344	1976	2511	3561
SNRPE	815	985	1154	1968
SNRPF	1240	1655	2160	3005
SNRPG	583	707	825	1511
SNTA1	16	20	38	47
SNTB1	32	48	52	94
SNTB2	148	180	293	345
SNUPN	152	270	337	518
SNW1	584	796	1084	1493
SNX1	387	508	740	1030
SNX10	86	130	200	222
SNX11	63	80	101	155
SNX12	203	287	343	499
SNX13	64	91	154	150
SNX14	410	542	821	949
SNX16	17	16	21	29
SNX17	484	606	872	1381
SNX18	103	102	155	240
SNX2	1064	1346	2073	2511
SNX21	29	31	38	64
SNX24	40	44	74	84
SNX25	55	62	104	108
SNX27	380	453	680	887
SNX29	14	29	29	38
SNX3	661	860	1181	1642
SNX30	49	87	117	159
SNX33	18	37	49	57
SNX4	258	335	477	661
SNX5	284	339	564	673
SNX6	536	616	964	1244
SNX7	111	124	192	250
SNX8	64	85	117	141
SNX9	269	411	576	724
SOAT1	351	477	624	891
SOBP	28	35	51	81
SOCS2	4	8	19	11
SOCS4	54	73	118	146
SOCS5	43	67	84	83
SOCS6	53	63	69	121
SOCS7	26	33	36	71
SOD1	2594	3481	4472	7168
SOD2	536	709	983	1322
SOGA1	83	86	116	198
SOGA2	24	47	55	79
SOGA3	25	24	40	44
SOLH	109	128	149	223
SON	3636	4592	6193	8759
SORBS1	35	31	57	92
SORBS3	172	192	262	360
SORCS1	0	0	0	0
SORD	379	632	745	1092
SORL1	80	106	136	170
SORT1	409	658	760	1038
SOS1	150	183	299	369
SOS2	62	74	114	140
SOWAHC	28	50	73	102
SOX12	55	129	175	243
SOX13	41	60	82	109
SOX4	395	507	774	1228
SOX5	42	48	79	102
SOX6	16	13	22	36
SP1	647	936	1249	1602
SP2	127	190	199	303
SP3	402	511	719	885
SP4	100	102	191	230
SP9	58	107	100	169
SPA17	53	78	121	133
SPAG1	84	160	198	270
SPAG16	151	214	281	400
SPAG5	592	862	1074	1493
SPAG7	176	280	304	477
SPAG9	909	1174	1705	2251
SPAST	123	143	230	281
SPATA13	73	116	105	181
SPATA17	7	6	5	27
SPATA18	20	28	30	49
SPATA2	43	50	75	112
SPATA20	38	62	90	115
SPATA24	21	30	45	88
SPATA2L	51	77	72	140
SPATA5	189	219	285	489
SPATA5L1	168	240	344	481
SPATA6	36	52	65	97
SPATA7	30	40	52	51
SPATC1L	2	0	1	2
SPATS2	145	172	299	354
SPATS2L	209	236	340	455
SPC24	233	329	483	635
SPC25	342	391	619	872
SPCS1	338	441	561	778
SPCS2	453	631	729	1214
SPCS3	393	558	726	985
SPDL1	559	680	1015	1337
SPECC1	141	137	215	264
SPECC1L	378	467	545	818
SPEF2	27	19	34	56
SPEG	20	20	48	43
SPEN	1294	1639	2109	2891
SPG11	340	378	565	696
SPG20	1166	1607	1940	2776
SPG21	179	251	370	452
SPG7	83	144	198	267
SPHK1	12	19	30	33
SPHK2	37	51	66	104
SPICE1	101	137	187	210
SPIN1	138	161	221	314
SPIN2A	30	40	62	69
SPIN2B	32	42	65	77
SPIN3	6	9	13	27
SPIN4	88	130	177	281
SPINT2	626	851	1214	1772
SPIRE1	105	100	167	248
SPIRE2	15	23	44	50
SPNS1	158	172	254	366
SPON1	142	216	267	418
SPOP	169	194	351	514
SPOPL	64	66	106	119
SPPL2A	283	338	462	685
SPPL2B	48	72	79	134
SPPL3	157	251	267	434
SPR	72	133	153	269
SPRED1	25	53	72	95
SPRED2	42	66	59	88
SPRTN	255	303	405	628
SPRY1	28	58	66	82
SPRY2	88	145	150	236
SPRYD3	87	110	137	250
SPRYD4	134	165	196	323
SPRYD7	209	254	372	477
SPSB1	26	28	42	72
SPSB3	48	73	75	157
SPTAN1	1261	1739	2127	3354
SPTB	41	57	74	108
SPTBN1	628	876	836	1521
SPTBN2	228	280	345	587
SPTLC1	413	522	667	966
SPTLC2	259	354	449	666
SPTSSA	88	113	150	229
SPTY2D1	174	208	244	350
SQLE	771	913	1432	1933
SQSTM1	861	1170	1180	2414
SRA1	141	176	239	300
SRBD1	216	283	392	521
SRC	152	205	285	406
SRCAP	407	594	829	1181
SRD5A1	20	40	37	59
SRD5A3	96	138	165	264
SREBF1	155	234	330	459
SREBF2	414	562	713	1067
SREK1	235	309	463	663
SREK1IP1	62	96	121	157
SRF	139	196	234	357
SRFBP1	261	366	450	647
SRGAP1	51	94	119	172
SRGAP2	269	381	521	754
SRGAP2B	81	106	133	229
SRGAP2D	174	259	340	485
SRGAP3	14	19	24	32
SRI	573	810	1137	1222
SRM	821	1060	1516	2292
SRP14	1008	1310	1891	2386
SRP19	321	399	546	732
SRP54	755	975	1368	1744
SRP68	632	810	1130	1571
SRP72	806	1003	1322	1820
SRP9	1124	1326	1904	2790
SRPK1	1248	1545	2288	2793
SRPK2	477	647	812	1188
SRPR	618	799	1073	1566
SRPRB	559	737	991	1419
SRR	62	96	120	169
SRRD	91	110	207	232
SRRM1	1557	1985	2770	3602
SRRM2	4692	6122	7715	11090
SRRT	937	1286	1414	2502
SRSF1	1615	2024	2855	4290
SRSF10	695	825	1190	1760
SRSF11	774	933	1311	1918
SRSF12	57	66	134	127
SRSF2	1519	2175	2379	4367
SRSF3	2103	2745	3464	5610
SRSF4	643	867	1072	1728
SRSF5	1103	1369	1645	2204
SRSF6	1494	1977	2071	3362
SRSF7	1830	2262	3040	4498
SRSF8	174	229	259	458
SRSF9	1373	1878	2550	3854
SRXN1	93	103	119	199
SS18	343	424	518	697
SS18L1	22	37	43	80
SS18L2	54	71	98	101
SSB	2392	2926	4345	6018
SSBP1	1776	2258	3350	4096
SSBP2	73	96	119	158
SSBP3	243	291	362	510
SSBP4	64	100	147	215
SSFA2	126	193	253	305
SSH1	21	34	44	66
SSH2	62	77	141	186
SSH3	25	21	32	46
SSNA1	78	120	180	236
SSR1	846	1000	1420	1985
SSR2	662	890	1016	1604
SSR3	528	673	850	1207
SSR4	1293	1835	2421	3437
SSRP1	2335	3158	4101	6222
SSSCA1	228	302	395	540
SSU72	408	570	853	1064
SSX2IP	409	516	788	920
ST13	2295	2954	3957	5726
ST3GAL1	8	11	19	29
ST3GAL2	6	27	24	27
ST3GAL3	4	4	10	8
ST3GAL4	22	37	53	65
ST3GAL5	20	29	39	47
ST3GAL6	25	23	32	49
ST5	19	34	46	50
ST6GAL1	20	15	31	44
ST6GALNAC3	17	31	35	47
ST6GALNAC4	32	30	43	61
ST6GALNAC6	3	14	13	25
ST7	128	173	253	299
ST7L	144	143	202	294
STAG1	171	218	275	347
STAG2	2213	2598	3783	4745
STAG3	25	18	33	67
STAM	317	381	516	741
STAM2	167	177	282	395
STAMBP	174	244	363	420
STAMBPL1	50	71	114	146
STARD10	12	13	19	26
STARD13	39	81	93	106
STARD3	65	85	123	196
STARD3NL	81	81	128	193
STARD4	111	138	221	269
STARD5	5	7	6	10
STARD7	370	475	626	970
STARD9	8	15	55	22
STAT1	510	645	924	1221
STAT2	128	169	235	275
STAT3	521	642	854	1227
STAT5A	51	63	82	111
STAT5B	187	239	368	434
STAT6	7	3	13	24
STAU1	1296	1771	2429	3152
STAU2	159	251	346	450
STBD1	26	27	42	71
STC2	152	239	367	508
STEAP1	77	88	110	168
STEAP1B	33	44	50	78
STEAP2	107	116	194	247
STEAP3	173	224	331	465
STIL	307	393	589	771
STIM1	170	218	264	395
STIM2	116	139	209	262
STIP1	2315	3139	3983	6084
STK10	74	111	164	240
STK11	23	46	71	109
STK11IP	190	245	282	468
STK16	34	52	56	75
STK17A	195	245	364	506
STK17B	145	195	274	300
STK19	78	125	140	215
STK24	319	441	635	849
STK25	238	326	531	638
STK3	137	195	286	351
STK32C	16	22	26	45
STK33	86	96	111	140
STK35	130	176	223	312
STK36	92	122	155	242
STK38	171	219	316	413
STK38L	187	233	380	489
STK39	220	247	344	521
STK4	313	432	647	853
STK40	46	59	94	152
STMN1	1740	2215	3272	4512
STMN3	156	221	270	472
STOM	174	230	315	437
STOML1	26	40	58	102
STOML2	1002	1397	1765	2703
STON1-GTF2A1L	45	48	97	81
STON2	46	75	107	162
STOX1	37	55	82	93
STOX2	49	65	89	109
STPG1	50	81	93	116
STRA13	54	75	125	180
STRADA	113	148	217	305
STRADB	79	107	149	186
STRAP	2130	2605	3665	5429
STRBP	282	338	490	654
STRIP1	272	364	532	712
STRIP2	52	85	102	168
STRN	230	251	412	571
STRN3	296	369	526	730
STRN4	262	355	523	737
STT3A	1117	1523	1960	3006
STT3B	695	927	1225	1705
STUB1	625	926	1187	1781
STX10	74	105	145	225
STX12	285	362	465	693
STX16	108	158	222	290
STX17	97	120	135	211
STX18	158	175	288	358
STX1A	8	8	13	18
STX2	53	72	82	105
STX3	52	77	114	154
STX4	68	83	117	164
STX5	135	156	231	369
STX6	74	98	155	222
STX7	358	465	788	876
STX8	60	74	118	145
STXBP1	146	198	279	348
STXBP2	242	334	459	602
STXBP3	457	565	778	1051
STXBP4	149	201	226	295
STXBP5	113	124	180	258
STXBP5L	20	23	32	50
STYX	61	72	104	128
STYXL1	84	127	221	266
SUB1	1809	2256	3050	4214
SUCLA2	645	850	1192	1543
SUCLG1	576	728	1076	1403
SUCLG2	187	222	379	468
SUCO	83	109	180	190
SUDS3	193	233	367	490
SUFU	171	224	366	447
SUGP1	157	224	291	440
SUGP2	324	441	547	814
SUGT1	495	593	827	1221
SULF1	7	4	15	20
SULF2	314	467	525	885
SULT1A1	312	435	619	819
SULT1A2	114	148	204	282
SULT1A3	114	163	220	334
SULT1A4	114	163	220	334
SULT4A1	12	14	35	46
SUMF1	34	44	75	105
SUMF2	177	250	319	422
SUMO1	385	482	775	828
SUMO2	2140	2775	3577	5317
SUMO3	106	194	186	315
SUN1	463	634	890	1178
SUN2	276	446	584	855
SUOX	54	74	96	164
SUPT16H	2341	3146	3977	5711
SUPT20H	693	835	1233	1614
SUPT3H	80	104	120	179
SUPT4H1	247	366	366	734
SUPT5H	1413	2014	2508	3720
SUPT6H	754	953	1301	1949
SUPT7L	162	175	275	382
SUPV3L1	463	550	837	1003
SURF1	84	103	196	233
SURF2	134	205	231	393
SURF4	872	1107	1492	2291
SURF6	281	337	479	763
SUSD1	48	77	86	141
SUSD5	99	159	130	238
SUV39H1	185	273	305	487
SUV39H2	175	202	313	417
SUV420H1	155	190	267	376
SUV420H2	31	44	50	79
SUZ12	432	515	746	1016
SV2A	273	354	470	728
SVEP1	70	101	117	164
SVIL	159	216	242	442
SVIP	32	48	59	59
SWAP70	169	232	330	453
SWI5	46	67	86	161
SWSAP1	41	45	63	109
SWT1	36	41	45	60
SYAP1	1014	1310	1882	2506
SYBU	54	91	93	156
SYCP2	3	0	2	3
SYCP2L	41	47	73	115
SYDE1	107	147	183	267
SYDE2	98	115	193	230
SYF2	389	581	610	1051
SYK	96	101	150	220
SYMPK	303	424	617	835
SYN2	52	68	85	127
SYNCRIP	2757	3506	4840	6894
SYNE1	250	340	491	617
SYNE2	419	541	645	1008
SYNE3	22	36	40	82
SYNGAP1	10	9	20	23
SYNGR2	245	376	484	738
SYNJ1	133	171	272	388
SYNJ2	104	119	197	266
SYNJ2BP-COX16	122	154	236	306
SYNM	5	11	25	22
SYNRG	262	324	491	642
SYP	27	28	30	68
SYPL1	864	1040	1338	1945
SYS1	61	80	91	175
SYT1	36	59	87	97
SYTL4	15	20	38	53
SYTL5	21	29	52	53
SYVN1	186	292	286	548
SZRD1	144	189	199	367
SZT2	141	160	220	286
TAB1	145	227	302	385
TAB2	207	296	424	529
TAB3	39	53	75	109
TACC1	296	345	520	716
TACC2	71	83	152	185
TACC3	968	1375	1808	2790
TACO1	402	479	728	842
TADA1	169	242	329	437
TADA2A	90	113	149	200
TADA2B	48	69	104	167
TADA3	191	255	296	526
TAF1	268	368	519	736
TAF10	163	257	275	496
TAF11	166	246	312	396
TAF12	57	63	109	150
TAF13	112	134	211	285
TAF15	1443	1800	2412	3382
TAF1A	54	71	107	149
TAF1B	302	374	537	740
TAF1C	55	64	85	163
TAF1D	68	100	116	165
TAF1L	69	88	156	189
TAF2	281	322	564	715
TAF3	99	172	200	304
TAF4	133	150	219	296
TAF4B	41	60	96	114
TAF5	197	201	323	502
TAF5L	86	107	170	271
TAF6	214	330	464	653
TAF6L	123	154	184	322
TAF7	637	860	1180	1531
TAF8	115	142	236	351
TAF9	538	651	918	1140
TAF9B	435	544	743	994
TAGLN2	1963	2618	3778	5268
TALDO1	1170	1506	2021	2870
TAMM41	144	218	277	363
TANC1	279	373	454	643
TANC2	149	158	254	325
TANGO2	33	36	53	69
TANGO6	115	174	223	321
TANK	57	48	96	106
TAOK1	247	321	466	629
TAOK2	156	195	238	418
TAOK3	77	85	171	224
TAP1	160	247	262	471
TAP2	349	472	598	934
TAPBP	108	132	205	325
TAPT1	81	141	172	232
TARBP1	303	365	508	729
TARBP2	82	110	183	225
TARDBP	1152	1559	2041	3302
TARS	2714	3498	4980	6910
TARS2	503	659	970	1329
TARSL2	164	194	263	340
TAS2R13	0	0	0	0
TAS2R14	0	0	0	1
TAS2R19	0	0	0	0
TAS2R20	0	0	0	0
TAS2R3	0	0	0	0
TAS2R30	0	0	0	0
TAS2R31	0	0	1	0
TAS2R4	0	0	0	0
TAS2R43	0	0	1	0
TAS2R46	0	0	1	0
TAS2R50	0	0	0	0
TASP1	31	41	39	59
TATDN1	214	247	384	456
TATDN2	122	178	243	332
TATDN3	82	125	155	187
TAX1BP1	689	845	1393	1583
TAX1BP3	73	96	133	196
TAZ	38	56	59	116
TBC1D1	159	200	312	358
TBC1D10A	42	65	73	130
TBC1D10B	233	359	478	664
TBC1D12	52	60	85	137
TBC1D13	144	224	270	414
TBC1D14	85	105	163	208
TBC1D15	700	854	1149	1610
TBC1D16	28	40	48	72
TBC1D17	50	72	100	146
TBC1D19	57	70	95	121
TBC1D20	79	126	150	218
TBC1D22A	106	136	182	259
TBC1D22B	60	64	105	136
TBC1D23	267	319	499	632
TBC1D24	80	100	123	195
TBC1D25	43	67	87	133
TBC1D2B	63	101	124	189
TBC1D3	2	0	4	2
TBC1D30	77	102	170	210
TBC1D3B	1	0	2	1
TBC1D3C	1	0	2	1
TBC1D4	325	376	616	786
TBC1D5	134	180	250	303
TBC1D7	137	192	256	368
TBC1D8	20	22	45	56
TBC1D8B	29	59	87	100
TBC1D9	88	106	144	183
TBC1D9B	250	361	497	721
TBCA	1400	1848	2536	3610
TBCB	1101	1555	2004	2982
TBCC	116	162	228	364
TBCCD1	56	54	110	131
TBCD	423	571	774	1074
TBCE	334	436	612	719
TBCEL	71	115	162	178
TBCK	52	67	69	132
TBK1	316	387	642	826
TBKBP1	46	46	91	123
TBL1X	48	79	121	143
TBL1XR1	361	443	655	872
TBL2	142	201	260	398
TBL3	374	528	737	1139
TBP	162	187	272	329
TBPL1	96	117	189	255
TBRG1	25	39	39	74
TBRG4	402	530	747	1105
TBX1	90	134	156	216
TBX18	201	257	414	547
TBX2	56	74	129	156
TBX20	49	93	107	164
TBX3	157	241	248	429
TC2N	110	164	228	281
TCAIM	46	67	93	115
TCEA1	540	632	981	1282
TCEA2	42	70	101	110
TCEAL1	88	106	124	206
TCEAL4	247	305	377	665
TCEAL8	112	156	213	334
TCEANC	14	4	21	17
TCEANC2	56	63	118	127
TCEB1	526	700	865	1254
TCEB2	1070	1547	2106	2885
TCEB3	518	768	956	1313
TCERG1	957	1214	1681	2211
TCF12	216	294	481	554
TCF19	55	95	131	179
TCF20	319	425	635	779
TCF25	233	340	455	717
TCF3	161	225	300	436
TCF4	249	321	411	611
TCF7L2	229	297	373	518
TCFL5	17	14	20	37
TCHP	72	99	125	176
TCIRG1	18	23	25	36
TCOF1	1657	2224	2999	4579
TCP1	4179	5404	7548	10380
TCP11L1	80	88	140	133
TCP11L2	91	126	202	235
TCTEX1D2	38	57	89	98
TCTN1	66	90	107	194
TCTN2	79	71	146	182
TCTN3	248	289	393	537
TDG	786	1038	1319	1865
TDP1	190	243	340	428
TDP2	263	332	503	668
TDRD3	131	155	240	281
TDRD6	0	0	0	0
TDRD7	178	255	305	438
TDRKH	158	197	255	350
TEAD1	167	199	270	403
TEAD2	24	27	43	65
TEAD4	114	159	250	311
TEC	26	22	63	48
TECPR1	87	85	124	196
TECPR2	125	155	229	323
TECR	999	1482	1791	2844
TECTA	2	3	6	5
TEF	14	25	33	30
TEFM	98	143	169	261
TELO2	333	504	582	1003
TENM1	0	1	1	1
TENM3	272	388	443	687
TEP1	29	61	100	119
TERF1	287	376	503	689
TERF2	208	244	371	490
TERF2IP	344	503	650	979
TERT	3	3	4	4
TES	525	807	935	1374
TESC	73	96	112	147
TESK1	14	13	17	31
TESK2	12	28	37	49
TET1	121	165	240	307
TET2	68	73	129	163
TET3	39	67	66	146
TEX10	598	785	1113	1504
TEX14	1	2	4	7
TEX15	88	91	165	196
TEX2	91	137	179	252
TEX261	204	279	317	478
TEX264	136	224	290	445
TEX30	75	132	155	214
TEX9	40	69	92	121
TFAM	824	1041	1452	1910
TFAP2A	198	277	326	599
TFAP2C	32	47	100	109
TFAP4	114	147	187	294
TFB1M	69	83	137	172
TFB2M	141	159	208	326
TFCP2	274	347	454	712
TFCP2L1	49	69	102	126
TFDP1	464	618	872	1152
TFDP2	147	210	326	355
TFE3	106	149	180	264
TFG	830	975	1344	1853
TFIP11	342	452	555	874
TFPT	70	80	107	192
TFRC	829	1033	1289	1955
TGDS	78	93	157	183
TGFB1	106	163	234	322
TGFBR1	131	149	231	296
TGFBR2	46	68	84	150
TGFBR3	110	146	169	249
TGFBRAP1	129	164	205	323
TGIF1	37	70	98	131
TGIF2	86	99	129	204
TGOLN2	268	338	430	624
TGS1	246	291	381	535
THADA	458	552	756	1025
THAP1	77	109	142	180
THAP10	40	57	98	157
THAP11	142	165	248	362
THAP3	70	100	161	204
THAP4	227	337	434	644
THAP5	191	209	365	439
THAP6	42	53	90	96
THAP7	69	111	162	217
THAP9	33	36	81	107
THBS3	4	10	11	20
THBS4	50	69	126	154
THEM4	89	98	157	227
THEMIS2	10	13	22	29
THG1L	107	154	136	263
THNSL1	160	222	263	394
THOC1	253	329	382	664
THOC2	1114	1379	1736	2589
THOC3	771	1042	1441	2108
THOC5	391	506	730	960
THOC6	151	194	228	389
THOC7	237	315	496	580
THOP1	377	549	675	1029
THRA	26	33	57	67
THRAP3	1422	1925	2352	3413
THRB	46	50	64	113
THSD1	21	25	28	24
THSD4	18	27	24	47
THTPA	27	47	65	93
THUMPD1	132	168	217	277
THUMPD2	129	165	270	284
THUMPD3	361	497	728	859
THYN1	116	158	280	327
TIA1	198	256	391	556
TIAL1	509	668	962	1320
TIAM1	162	200	260	372
TIAM2	53	59	78	87
TICRR	235	339	482	639
TIFA	50	49	90	90
TIGD1	80	81	196	217
TIGD2	41	54	81	124
TIGD5	69	95	127	187
TIGD6	36	52	81	112
TIGD7	3	3	4	9
TIMELESS	591	826	1128	1634
TIMM10	202	262	280	509
TIMM10B	57	68	86	144
TIMM13	561	835	967	1520
TIMM17A	335	493	676	859
TIMM17B	288	330	528	758
TIMM21	150	225	267	433
TIMM22	166	230	311	513
TIMM23	1439	1981	2448	3614
TIMM44	388	558	746	1091
TIMM50	1252	1667	2310	3520
TIMM8A	136	177	233	346
TIMM8B	359	521	687	1007
TIMM9	62	59	107	134
TIMMDC1	308	361	567	711
TIMP1	623	945	1137	1641
TIMP2	92	117	152	233
TIMP3	114	159	229	309
TINF2	37	57	112	115
TIPARP	253	340	374	497
TIPIN	558	640	1056	1177
TIPRL	630	796	1079	1447
TJAP1	125	188	238	335
TJP1	916	1159	1556	2142
TJP2	397	526	668	1022
TK1	377	544	675	1032
TK2	18	21	24	42
TKT	3031	4169	5513	7816
TLCD1	31	40	63	87
TLDC1	80	89	155	206
TLE1	238	340	493	682
TLE3	502	666	793	1257
TLE4	191	337	454	644
TLK1	115	128	194	239
TLK2	347	398	589	822
TLL1	0	2	3	1
TLN1	1751	2345	3073	4612
TLN2	53	56	95	109
TLR9	40	49	68	115
TM2D1	118	145	188	278
TM2D2	87	134	138	261
TM2D3	171	215	292	440
TM7SF2	48	64	72	126
TM7SF3	199	265	382	505
TM9SF1	309	455	498	782
TM9SF2	1183	1567	1937	2952
TM9SF3	956	1213	1691	2425
TM9SF4	301	381	446	678
TMA16	168	201	332	434
TMA7	427	600	661	1114
TMBIM4	165	234	298	499
TMBIM6	3641	4740	6202	9448
TMC6	11	19	40	34
TMC7	32	24	34	39
TMCC1	24	17	38	47
TMCC2	8	2	2	5
TMCO1	757	944	1351	1698
TMCO3	61	92	161	234
TMCO4	41	62	64	100
TMCO6	32	35	70	91
TMED1	86	145	117	217
TMED10	462	644	897	1337
TMED2	1150	1539	1779	2921
TMED3	159	196	286	419
TMED4	413	636	835	1138
TMED5	232	293	428	555
TMED7-TICAM2	425	604	807	1126
TMED8	87	102	148	197
TMED9	733	963	1181	1877
TMEM101	188	223	352	456
TMEM102	16	22	32	57
TMEM104	93	134	150	266
TMEM106B	225	261	376	427
TMEM106C	186	261	347	481
TMEM109	310	413	503	935
TMEM11	83	139	176	236
TMEM110-MUSTN1	21	47	34	71
TMEM115	140	189	226	394
TMEM116	12	8	17	22
TMEM117	62	30	66	100
TMEM120A	55	86	108	140
TMEM120B	133	145	196	238
TMEM123	460	691	859	1036
TMEM126A	112	165	207	275
TMEM126B	168	243	327	468
TMEM127	40	80	75	155
TMEM128	37	58	65	79
TMEM129	63	60	87	150
TMEM131	238	269	394	511
TMEM132A	77	86	113	191
TMEM134	9	11	14	41
TMEM135	139	181	243	309
TMEM136	27	44	67	68
TMEM138	35	56	83	119
TMEM141	99	123	200	242
TMEM143	13	16	17	32
TMEM144	29	29	60	59
TMEM147	1066	1472	1916	2704
TMEM14A	64	91	96	198
TMEM14B	203	264	362	545
TMEM14C	324	411	486	910
TMEM160	81	122	162	245
TMEM161A	231	325	414	768
TMEM161B	135	248	301	401
TMEM164	86	108	184	258
TMEM165	239	300	454	675
TMEM167A	160	203	255	377
TMEM167B	27	56	68	92
TMEM168	97	164	164	248
TMEM170A	27	43	44	84
TMEM170B	15	30	18	31
TMEM175	40	45	71	108
TMEM177	64	105	161	202
TMEM179B	163	268	305	462
TMEM18	91	82	110	210
TMEM180	11	31	41	58
TMEM181	133	207	252	422
TMEM183A	75	98	185	195
TMEM184B	103	128	173	245
TMEM184C	85	101	167	209
TMEM185A	135	117	177	284
TMEM185B	216	286	294	568
TMEM186	23	38	64	80
TMEM189-UBE2V1	710	997	1241	1850
TMEM19	170	207	234	402
TMEM192	92	104	176	226
TMEM194A	379	479	675	1062
TMEM194B	33	41	38	66
TMEM199	97	131	169	295
TMEM2	98	107	127	199
TMEM201	247	407	490	791
TMEM203	32	60	96	148
TMEM205	364	477	654	884
TMEM206	63	92	124	185
TMEM208	99	176	187	339
TMEM209	609	832	1188	1340
TMEM214	266	341	496	711
TMEM216	23	34	43	62
TMEM218	4	16	18	36
TMEM219	46	64	94	172
TMEM222	163	255	296	415
TMEM223	53	75	102	127
TMEM230	310	440	583	762
TMEM231	24	24	46	50
TMEM234	16	31	25	53
TMEM237	145	187	228	331
TMEM241	17	26	38	65
TMEM242	126	155	240	295
TMEM243	33	53	75	60
TMEM245	182	243	293	473
TMEM246	61	88	131	145
TMEM248	167	214	308	389
TMEM25	26	37	61	81
TMEM251	46	68	83	116
TMEM256	187	210	388	551
TMEM258	187	282	357	533
TMEM259	256	308	491	680
TMEM260	39	61	64	107
TMEM30A	564	715	1010	1323
TMEM33	713	875	1214	1595
TMEM38A	24	32	37	58
TMEM38B	293	365	475	699
TMEM39A	93	106	137	255
TMEM39B	85	119	143	222
TMEM41A	39	75	78	150
TMEM41B	200	207	295	471
TMEM42	4	6	13	17
TMEM43	320	409	517	796
TMEM45A	38	44	65	92
TMEM47	1	0	0	0
TMEM5	49	87	99	148
TMEM50A	598	757	946	1480
TMEM54	31	61	81	96
TMEM55B	95	116	171	206
TMEM56	78	77	110	178
TMEM57	176	238	320	421
TMEM59	820	1099	1444	2077
TMEM60	27	22	56	70
TMEM62	41	45	96	110
TMEM63A	65	69	128	147
TMEM63B	95	138	209	268
TMEM64	40	53	76	125
TMEM65	106	155	247	311
TMEM66	484	658	860	1317
TMEM67	80	84	137	177
TMEM68	33	41	70	100
TMEM69	348	477	729	930
TMEM70	388	558	707	953
TMEM74	5	9	17	17
TMEM74B	7	10	14	14
TMEM80	21	18	32	46
TMEM81	0	0	0	0
TMEM87A	174	218	283	431
TMEM87B	68	80	96	151
TMEM8A	51	65	102	166
TMEM9	244	320	421	620
TMEM97	220	282	328	461
TMEM98	78	120	176	204
TMEM99	20	31	32	50
TMEM9B	56	97	109	122
TMF1	301	397	600	812
TMLHE	179	256	379	473
TMOD2	48	49	84	120
TMOD3	516	590	911	1123
TMPO	1834	2281	3097	4296
TMPPE	23	38	48	87
TMSB10	497	672	1062	1290
TMSB15A	8	16	24	28
TMSB15B	13	13	30	29
TMSB4X	30	39	60	96
TMTC1	43	66	115	129
TMTC2	49	62	74	122
TMTC3	514	607	962	1292
TMTC4	36	56	67	102
TMUB1	84	122	213	221
TMUB2	57	93	138	171
TMX1	402	569	726	1050
TMX2	390	551	686	1086
TMX3	221	264	331	514
TMX4	90	159	162	272
TNFAIP1	55	68	115	159
TNFAIP3	17	34	36	51
TNFAIP8	51	62	87	118
TNFRSF10B	266	394	433	718
TNFRSF10D	103	145	150	235
TNFRSF11A	40	60	100	142
TNFRSF19	21	39	65	96
TNFRSF1A	112	173	252	352
TNFRSF21	62	97	109	184
TNIK	200	324	359	540
TNIP1	138	202	273	441
TNIP2	44	71	114	150
TNK2	20	38	60	55
TNKS	290	346	499	694
TNKS1BP1	113	158	200	315
TNKS2	531	748	1139	1406
TNNI3	5	8	13	14
TNNT1	21	35	36	47
TNPO1	1458	1920	2695	3363
TNPO2	607	838	1095	1733
TNPO3	717	889	1255	1711
TNRC18	226	300	336	570
TNRC6A	218	283	432	523
TNRC6B	251	368	476	695
TNRC6C	78	99	138	216
TNS3	34	37	45	70
TOB1	315	377	471	759
TOB2	113	142	179	359
TOE1	214	273	342	485
TOLLIP	88	127	167	283
TOM1	108	146	221	292
TOM1L1	267	359	475	668
TOM1L2	90	138	178	234
TOMM20	882	1203	1561	2341
TOMM22	440	584	766	1202
TOMM34	480	567	900	1189
TOMM40	876	1189	1320	2142
TOMM40L	56	78	102	176
TOMM5	149	153	295	386
TOMM6	577	816	1101	1420
TOMM7	244	336	372	650
TOMM70A	762	1010	1415	1745
TONSL	179	228	237	453
TOP1	2244	2787	3715	5333
TOP1MT	124	129	191	294
TOP2A	3437	4167	5257	8347
TOP2B	1251	1505	2274	3021
TOP3A	167	239	287	431
TOP3B	111	177	219	369
TOPBP1	556	729	1180	1413
TOPORS	227	289	352	494
TOR1A	240	294	420	631
TOR1AIP1	228	310	491	611
TOR1AIP2	247	347	495	601
TOR1B	89	113	163	235
TOR2A	16	52	58	95
TOR3A	115	144	201	280
TOX4	356	521	639	936
TP53	464	571	839	1218
TP53BP1	703	868	1236	1756
TP53BP2	405	518	741	1019
TP53I11	32	46	63	86
TP53I13	76	77	90	190
TP53I3	59	78	132	141
TP53INP1	46	57	84	143
TP53RK	123	160	207	314
TP73	95	114	172	247
TPBG	118	192	257	416
TPCN1	69	99	126	164
TPCN2	31	56	56	99
TPD52	285	366	495	682
TPD52L1	108	158	265	308
TPD52L2	376	494	621	930
