	ribo_isrib_a	ribo_isrib_b	ribo_untr_a	ribo_untr_b
GXYLT1	186	252	329	505
GXYLT2	20	17	15	33
GYG1	383	499	667	855
GYG2	0	0	1	0
GYLTL1B	14	22	22	24
GYPC	0	0	0	0
GYS1	394	490	713	1044
GZF1	52	91	115	162
H1F0	156	206	308	373
H1FX	850	1131	1392	2276
H2AFJ	131	142	216	346
H2AFV	626	793	1173	1614
H2AFX	1964	2667	3532	5153
H2AFY	1897	2593	3338	4967
H2AFY2	272	373	520	702
H2AFZ	2522	3255	4895	5982
H3F3A	4204	5454	8301	10387
H3F3B	1026	1365	1795	2802
H3F3C	486	603	882	1338
H6PD	61	66	100	153
HABP4	52	80	124	165
HACE1	84	114	140	165
HACL1	432	539	805	1042
HADH	333	465	609	888
HADHA	1050	1267	1802	2495
HADHB	807	1029	1512	2056
HAGH	234	328	397	634
HAPLN3	23	35	49	67
HARBI1	19	16	21	51
HARS	774	1124	1353	2232
HARS2	194	263	355	494
HAT1	1335	1571	2395	3177
HAUS1	418	554	765	998
HAUS2	136	168	255	279
HAUS3	221	237	399	431
HAUS4	109	152	167	271
HAUS5	455	642	871	1316
HAUS6	381	494	720	883
HAUS8	124	161	201	342
HAX1	299	387	595	1024
HBP1	107	147	253	308
HBS1L	558	703	1075	1412
HCCS	84	116	154	201
HCFC1	1346	1852	2237	3458
HCFC2	51	77	118	167
HCN2	30	32	57	76
HCN3	10	13	13	16
HDAC1	1839	2379	3227	4540
HDAC10	12	14	31	55
HDAC11	18	40	51	65
HDAC2	2387	3019	4201	5884
HDAC3	357	512	651	891
HDAC4	55	84	102	155
HDAC5	51	48	112	120
HDAC6	132	164	230	324
HDAC7	74	105	167	254
HDAC8	85	107	193	213
HDDC2	585	792	1179	1436
HDDC3	17	31	49	61
HDGF	907	1184	1636	2493
HDGFRP2	543	808	1009	1636
HDGFRP3	70	89	146	181
HDHD1	2	3	3	7
HDHD2	146	189	255	313
HDHD3	29	40	42	72
HDLBP	2501	3535	4838	6453
HDX	0	1	0	0
HEATR1	1338	1657	2419	3144
HEATR2	752	944	1259	2050
HEATR3	232	288	398	572
