	isrib_a_hek	isrib_b_hek	untr_a_hek	untr_b_hek
STX10	353	261	394	358
STX12	471	350	510	476
STX16	341	367	492	417
STX17	186	174	240	236
STX18	386	331	465	507
STX1A	41	39	46	47
STX2	186	186	260	237
STX3	125	97	147	138
STX4	268	277	344	323
STX5	353	225	284	249
STX6	284	206	278	245
STX7	218	193	226	222
STX8	183	143	206	194
STXBP1	110	150	156	127
STXBP2	212	220	230	269
STXBP3	1044	740	1061	1108
STXBP4	436	398	541	492
STXBP5	837	579	858	809
STXBP5L	95	57	88	109
STYX	157	121	143	154
STYXL1	264	198	228	236
SUB1	1915	1330	2396	2400
SUCLA2	1138	774	1188	1160
SUCLG1	1260	811	1144	1138
SUCLG2	703	525	710	682
SUCO	1204	963	1168	1032
SUDS3	510	385	562	535
SUFU	69	99	102	89
SUGP1	458	376	485	441
SUGP2	1568	1521	1876	1707
SUGT1	1032	780	1166	1100
SULF1	124	85	110	84
SULF2	371	368	345	311
SULT1A1	135	86	135	99
SULT1A2	50	36	70	42
SULT1A3	222	213	219	177
SULT1A4	222	213	219	177
SULT4A1	35	42	43	55
SUMF1	188	158	251	242
SUMF2	574	475	676	641
SUMO1	776	498	749	748
SUMO2	1579	902	1449	1489
SUMO3	429	300	398	374
SUN1	890	701	925	775
SUN2	454	333	472	394
SUOX	182	162	212	200
SUPT16H	9739	7537	10232	10158
SUPT20H	668	553	766	701
SUPT3H	109	136	164	153
SUPT4H1	342	233	368	351
SUPT5H	1348	1069	1288	1162
SUPT6H	1999	1962	2330	2100
SUPT7L	643	423	547	540
SUPV3L1	1271	902	1379	1327
SURF1	143	114	167	157
SURF2	276	198	321	326
SURF4	764	511	663	587
SURF6	467	369	460	558
SUSD1	170	134	187	134
SUSD5	356	285	393	299
SUV39H1	272	221	280	263
SUV39H2	613	505	711	661
SUV420H1	495	464	531	557
SUV420H2	79	53	97	71
SUZ12	1115	1050	1412	1226
SV2A	107	107	163	130
SVEP1	52	36	56	54
SVIL	196	173	210	203
SVIP	219	117	194	169
SWAP70	319	291	395	390
SWI5	113	85	119	88
SWSAP1	42	30	32	39
SWT1	144	139	189	154
SYAP1	1794	1281	1784	1772
SYBU	246	186	248	222
SYCP2	71	74	99	99
SYCP2L	196	165	221	217
SYDE1	168	114	185	176
SYDE2	544	487	619	607
SYF2	472	299	518	547
SYK	252	229	281	292
SYMPK	1142	1276	1532	1343
SYN2	60	79	79	59
SYNCRIP	5217	4488	5935	5765
SYNE1	640	549	757	649
SYNE2	4589	3943	5204	4905
SYNE3	35	27	44	45
SYNGAP1	43	51	81	47
SYNGR2	260	181	230	164
SYNJ1	344	349	449	407
SYNJ2	275	218	339	287
SYNJ2BP-COX16	506	415	740	746
SYNM	155	122	172	167
SYNRG	403	420	448	408
SYP	101	65	81	72
SYPL1	361	320	447	344
SYS1	57	43	41	45
SYT1	89	77	86	75
SYTL4	116	97	120	112
SYTL5	59	38	63	55
SYVN1	132	136	149	142
SZRD1	238	209	244	267
SZT2	518	612	725	554
TAB1	310	297	383	329
TAB2	493	546	517	454
TAB3	180	191	184	178
TACC1	422	391	480	401
TACC2	47	64	74	77
TACC3	1603	1762	2057	1861
TACO1	470	342	503	466
TADA1	428	280	447	401
TADA2A	272	188	245	184
TADA2B	197	173	244	232
TADA3	494	455	605	548
TAF1	1366	1390	1869	1723
TAF10	289	202	367	376
TAF11	480	323	524	492
TAF12	235	179	259	216
TAF13	182	91	182	213
TAF15	799	811	962	895
TAF1A	315	244	367	360
TAF1B	815	621	879	864
TAF1C	251	248	316	239
TAF1D	785	645	969	920
TAF1L	204	210	265	247
TAF2	2032	1531	2184	1886
TAF3	261	255	305	273
TAF4	173	273	347	283
TAF4B	517	436	561	431
TAF5	639	492	683	671
TAF5L	994	740	990	747
TAF6	275	295	400	336
TAF6L	482	354	433	404
TAF7	1144	838	1071	1015
TAF8	203	151	178	141
TAF9	1531	1001	1419	1330
TAF9B	486	323	506	448
TAGLN2	1040	724	1158	1149
TALDO1	1894	1351	1957	1844
TAMM41	188	199	286	236
TANC1	960	825	1090	900
TANC2	390	437	538	399
TANGO2	74	64	93	74
TANGO6	716	574	834	705
TANK	362	248	291	244
TAOK1	1348	1094	1486	1236
TAOK2	1315	1164	1493	1341
TAOK3	291	229	297	299
TAP1	164	123	160	137
TAP2	284	216	288	302
TAPBP	53	48	63	58
TAPT1	236	196	256	260
TARBP1	2842	2490	3519	3305
TARBP2	427	258	368	300
TARDBP	1663	1391	1825	1855
TARS	6680	4973	7085	6921
TARS2	1192	857	1181	1025
TARSL2	889	625	884	878
TAS2R13	49	38	38	45
TAS2R14	89	77	88	62
TAS2R19	114	100	128	115
TAS2R20	103	65	82	72
TAS2R3	42	29	36	30
TAS2R30	153	126	213	203
TAS2R31	111	105	140	120
TAS2R4	27	38	43	27
TAS2R43	50	36	69	42
TAS2R46	101	73	106	106
TAS2R50	54	57	63	67
TASP1	303	242	399	382
TATDN1	468	297	489	477
TATDN2	1279	1240	1482	1292
TATDN3	280	202	334	276
TAX1BP1	2021	1492	2112	2061
TAX1BP3	147	123	115	115
TAZ	171	119	172	169
TBC1D1	367	268	373	333
TBC1D10A	66	51	75	74
TBC1D10B	912	1002	1196	1242
TBC1D12	250	174	232	238
TBC1D13	219	192	250	191
TBC1D14	907	602	977	847
TBC1D15	843	774	948	906
TBC1D16	391	362	407	400
TBC1D17	85	69	96	84
TBC1D19	123	104	125	137
TBC1D20	240	231	271	220
TBC1D22A	198	154	235	240
TBC1D22B	151	113	192	143
TBC1D23	902	632	979	904
TBC1D24	159	169	197	179
TBC1D25	117	121	160	134
TBC1D2B	524	455	653	636
TBC1D3	261	220	207	191
TBC1D30	122	107	147	131
TBC1D3B	102	97	81	78
TBC1D3C	102	97	76	81
TBC1D4	1488	1183	1655	1529
TBC1D5	266	243	310	218
TBC1D7	420	342	467	454
TBC1D8	163	148	167	152
TBC1D8B	88	106	118	105
TBC1D9	466	426	507	486
TBC1D9B	2262	1887	2511	2228
TBCA	1423	1012	1623	1642
TBCB	609	402	570	515
TBCC	229	150	236	247
TBCCD1	241	179	231	186
TBCD	1011	990	1222	1116
TBCE	1021	803	1159	1009
TBCEL	305	226	298	263
TBCK	403	330	445	379
TBK1	951	654	954	956
TBKBP1	79	51	101	78
TBL1X	392	441	514	424
TBL1XR1	945	645	920	815
TBL2	482	389	499	432
TBL3	700	674	828	705
TBP	233	178	197	183
TBPL1	237	186	261	212
TBRG1	285	234	324	293
TBRG4	1624	1127	1517	1300
TBX1	111	130	175	163
TBX18	202	140	181	149
TBX2	96	74	110	96
TBX20	114	81	114	97
TBX3	365	301	349	329
TC2N	252	166	270	242
TCAIM	495	371	479	463
TCEA1	1550	1167	1668	1632
TCEA2	61	53	91	83
TCEAL1	174	112	205	136
TCEAL4	1022	568	771	708
TCEAL8	620	419	775	792
TCEANC	49	51	56	45
TCEANC2	134	94	157	151
TCEB1	844	627	838	766
TCEB2	995	620	1102	919
TCEB3	2011	1654	2150	2041
TCERG1	3000	2266	3048	2841
TCF12	489	394	485	351
TCF19	359	237	322	307
TCF20	1694	1515	1782	1508
TCF25	1326	1098	1329	1207
TCF3	509	423	533	447
TCF4	275	246	283	248
TCF7L2	71	94	110	98
TCFL5	412	335	460	427
TCHP	208	134	188	223
TCIRG1	55	51	86	58
TCOF1	4950	4874	5672	5191
TCP1	14862	10097	16137	16164
TCP11L1	238	265	344	339
TCP11L2	75	57	83	77
TCTEX1D2	49	27	47	38
TCTN1	309	211	294	258
TCTN2	276	217	306	236
TCTN3	715	524	799	664
TDG	1103	913	1135	1006
TDP1	726	582	780	694
TDP2	612	417	705	635
TDRD3	492	318	435	455
TDRD6	62	47	82	75
TDRD7	413	321	438	358
TDRKH	261	204	254	252
TEAD1	299	259	292	245
TEAD2	177	145	194	162
TEAD4	297	257	290	273
TEC	38	33	56	47
TECPR1	199	205	281	269
TECPR2	336	386	448	370
TECR	742	486	470	430
TECTA	33	38	44	43
TEF	25	38	31	29
TEFM	176	131	171	145
TELO2	812	634	895	819
TENM1	185	168	229	164
TENM3	849	838	1007	911
TEP1	291	287	374	333
TERF1	585	573	692	678
TERF2	269	246	371	277
TERF2IP	689	516	779	814
TERT	52	55	81	53
TES	457	306	509	513
TESC	23	22	29	31
TESK1	133	102	133	116
TESK2	71	50	73	65
TET1	1098	1124	1495	1288
TET2	673	676	718	605
TET3	222	272	351	263
TEX10	2166	1564	2231	1840
TEX14	43	52	35	34
TEX15	801	610	851	712
TEX2	738	534	751	719
TEX261	375	268	317	240
TEX264	523	347	466	398
TEX30	189	107	167	159
TEX9	169	116	147	145
TFAM	1801	1240	1993	1942
TFAP2A	88	107	117	84
TFAP2C	34	30	38	28
TFAP4	246	179	212	204
TFB1M	461	374	561	493
TFB2M	327	257	408	378
TFCP2	452	475	609	436
TFCP2L1	53	30	39	39
TFDP1	1488	1289	1486	1386
TFDP2	641	538	774	655
TFE3	157	155	188	145
TFG	1311	911	1249	1023
TFIP11	1263	933	1236	1108
TFPT	99	73	110	112
TFRC	3592	2599	3670	3412
TGDS	351	237	373	325
TGFB1	25	46	59	40
TGFBR1	505	427	579	543
TGFBR2	66	71	117	75
TGFBR3	385	314	416	387
TGFBRAP1	598	487	624	518
TGIF1	96	69	90	69
TGIF2	173	131	170	160
TGOLN2	455	494	548	512
TGS1	1515	1244	1766	1564
THADA	2065	1770	2431	2290
THAP1	108	82	119	124
THAP10	37	31	47	39
THAP11	234	129	265	244
THAP3	110	85	134	148
THAP4	819	628	827	728
THAP5	512	406	554	526
THAP6	84	77	115	123
THAP7	487	313	445	358
THAP9	215	177	227	232
THBS3	80	74	72	56
THBS4	26	27	38	37
THEM4	166	149	197	189
THEMIS2	60	55	52	66
THG1L	298	218	322	309
THNSL1	379	323	414	392
THOC1	837	607	935	865
THOC2	7028	5426	7024	6695
THOC3	2577	1798	2676	2474
THOC5	1653	1439	1727	1648
THOC6	479	414	513	480
THOC7	923	612	1142	1099
THOP1	1619	1222	1647	1616
THRA	82	97	122	122
THRAP3	4864	4065	4595	4080
THRB	68	61	82	62
THSD1	80	60	81	59
THSD4	32	35	35	39
THTPA	84	66	91	68
THUMPD1	574	438	544	469
THUMPD2	551	463	681	613
THUMPD3	1336	958	1393	1401
THYN1	399	275	402	339
TIA1	826	583	798	710
TIAL1	967	1174	1380	1337
TIAM1	1319	1084	1394	1151
TIAM2	87	90	107	85
TICRR	1821	1975	2397	2136
TIFA	39	29	58	58
TIGD1	331	263	379	358
TIGD2	149	143	206	223
TIGD5	131	107	186	149
TIGD6	94	82	90	82
TIGD7	58	53	85	76
TIMELESS	1794	1649	1863	1826
TIMM10	211	175	273	241
TIMM10B	58	65	63	72
TIMM13	517	312	606	630
TIMM17A	1291	809	1141	1105
TIMM17B	443	299	470	414
TIMM21	294	179	228	227
TIMM22	300	264	441	471
TIMM23	1726	1263	1897	1732
TIMM44	1174	897	1255	1128
TIMM50	1477	1041	1497	1585
TIMM8A	172	156	205	217
TIMM8B	284	181	336	336
TIMM9	92	79	93	64
TIMMDC1	917	741	1211	1179
TIMP1	355	265	318	307
TIMP2	43	55	68	48
TIMP3	85	55	66	55
TINF2	290	206	275	227
TIPARP	605	473	473	405
TIPIN	1266	923	1404	1354
TIPRL	1187	789	1258	1223
TJAP1	240	220	251	244
TJP1	1416	1327	1637	1590
TJP2	703	578	724	692
TK1	688	516	665	613
TK2	63	44	70	59
TKT	5409	4076	4749	4027
TLCD1	67	41	63	64
TLDC1	178	136	161	134
TLE1	655	538	625	558
TLE3	605	616	695	486
TLE4	557	546	652	509
TLK1	627	687	840	707
TLK2	1321	1058	1525	1424
TLL1	41	30	57	35
TLN1	3781	4281	5217	4509
TLN2	404	391	531	468
TLR9	107	67	80	72
TM2D1	338	248	405	380
TM2D2	249	164	232	205
TM2D3	406	313	497	406
TM7SF2	153	108	145	111
TM7SF3	772	569	770	692
TM9SF1	709	538	760	729
TM9SF2	2562	1772	2676	2361
TM9SF3	2632	2000	2750	2965
TM9SF4	634	635	818	695
TMA16	618	440	614	583
TMA7	1682	1072	1559	1731
TMBIM4	293	171	292	256
TMBIM6	2778	1747	2805	2461
TMC6	73	53	75	58
TMC7	49	47	59	48
TMCC1	119	150	170	141
TMCC2	55	53	59	40
TMCO1	1241	892	1305	1351
TMCO3	381	234	394	312
TMCO4	54	58	74	59
TMCO6	134	109	154	139
TMED1	228	190	224	198
TMED10	1253	937	1340	1389
TMED2	1764	1278	1713	1558
TMED3	594	372	510	474
TMED4	523	366	574	497
TMED5	812	655	869	903
TMED7-TICAM2	389	262	305	351
TMED8	255	233	339	297
TMED9	942	828	1124	1144
TMEM101	134	80	143	132
TMEM102	36	28	34	43
TMEM104	96	83	115	80
TMEM106B	552	365	542	477
TMEM106C	1483	898	1363	1183
TMEM109	493	390	466	408
TMEM11	248	180	215	218
TMEM110-MUSTN1	278	216	313	303
TMEM115	447	372	523	467
TMEM116	56	35	46	45
TMEM117	130	76	135	94
TMEM120A	66	73	55	50
TMEM120B	196	123	189	163
TMEM123	869	582	594	442
TMEM126A	241	144	271	170
TMEM126B	524	369	491	449
TMEM127	43	36	52	44
TMEM128	102	84	96	116
TMEM129	188	111	176	150
TMEM131	1030	1004	1224	1038
TMEM132A	319	275	338	307
TMEM134	31	29	38	32
TMEM135	366	231	318	254
TMEM136	64	43	56	54
TMEM138	146	106	128	88
TMEM141	173	118	175	148
TMEM143	24	45	43	47
TMEM144	72	61	78	78
TMEM147	805	529	736	682
TMEM14A	208	124	226	189
TMEM14B	353	223	325	268
TMEM14C	260	156	255	243
TMEM160	78	47	89	82
TMEM161A	558	401	594	536
TMEM161B	348	297	341	312
TMEM164	167	113	150	127
TMEM165	814	511	789	731
TMEM167A	233	133	252	225
TMEM167B	48	34	63	59
TMEM168	423	321	465	433
TMEM170A	77	72	80	76
TMEM170B	50	39	82	88
TMEM175	90	81	98	67
TMEM177	299	239	319	256
TMEM179B	287	197	270	251
TMEM18	323	181	362	299
TMEM180	98	97	97	92
TMEM181	515	359	515	456
TMEM183A	1698	1165	1851	1604
TMEM184B	354	333	375	270
TMEM184C	383	289	406	316
TMEM185A	184	137	224	197
TMEM185B	168	129	160	127
TMEM186	85	64	103	100
TMEM189-UBE2V1	461	412	582	514
TMEM19	307	216	296	260
TMEM192	340	223	299	282
TMEM194A	570	500	739	707
TMEM194B	85	64	104	87
TMEM199	115	94	159	148
TMEM2	594	469	542	455
TMEM201	154	163	190	161
TMEM203	85	76	129	112
TMEM205	225	155	225	167
TMEM206	330	267	386	301
TMEM208	296	208	271	273
TMEM209	629	488	663	511
TMEM214	328	307	393	364
TMEM216	54	35	49	47
TMEM218	56	22	41	33
TMEM219	265	196	291	263
TMEM222	167	134	145	144
TMEM223	115	78	134	79
TMEM230	313	150	248	204
TMEM231	54	31	64	43
TMEM234	46	29	28	34
TMEM237	763	546	770	628
TMEM241	93	78	108	68
TMEM242	155	94	163	184
TMEM243	143	88	150	121
TMEM245	832	632	874	771
TMEM246	180	137	220	163
TMEM248	410	311	393	315
TMEM25	79	56	68	60
TMEM251	95	49	109	86
TMEM256	194	126	213	132
TMEM258	481	253	360	253
TMEM259	887	696	766	661
TMEM260	178	114	167	151
TMEM30A	587	405	659	626
TMEM33	954	668	1019	922
TMEM38A	30	23	28	24
TMEM38B	629	451	619	573
TMEM39A	410	302	292	226
TMEM39B	248	211	248	234
TMEM41A	120	68	119	104
TMEM41B	331	215	303	280
TMEM42	54	26	53	39
TMEM43	618	488	659	573
TMEM45A	70	58	79	63
TMEM47	44	46	56	41
TMEM5	487	311	542	418
TMEM50A	549	289	472	471
TMEM54	71	38	48	32
TMEM55B	192	146	185	174
TMEM56	130	77	122	103
TMEM57	510	402	525	430
TMEM59	1054	797	1197	1024
TMEM60	80	69	101	98
TMEM62	198	118	161	158
TMEM63A	191	174	220	181
TMEM63B	263	217	272	207
TMEM64	136	85	154	130
TMEM65	172	131	212	155
TMEM66	921	687	876	842
TMEM67	424	302	431	388
TMEM68	95	85	129	117
TMEM69	297	196	282	235
TMEM70	516	321	509	465
TMEM74	38	22	23	20
TMEM74B	30	14	23	39
TMEM80	52	38	38	46
TMEM81	48	58	57	66
TMEM87A	650	456	689	704
TMEM87B	95	51	92	97
TMEM8A	333	251	288	292
TMEM9	364	276	349	312
TMEM97	305	193	263	189
TMEM98	236	157	205	209
TMEM99	135	84	141	114
TMEM9B	123	81	121	84
TMF1	1707	1284	1840	1684
TMLHE	414	332	432	342
TMOD2	116	100	115	95
TMOD3	368	299	399	380
TMPO	2230	1603	2499	2313
TMPPE	84	84	122	81
TMSB10	152	109	176	104
TMSB15A	27	11	36	35
TMSB15B	40	17	43	38
TMSB4X	47	32	62	67
TMTC1	244	162	222	169
TMTC2	143	147	158	122
TMTC3	1574	1095	1654	1431
TMTC4	343	245	312	296
TMUB1	249	156	222	210
TMUB2	149	86	151	107
TMX1	1493	950	1572	1504
TMX2	826	544	736	714
TMX3	455	363	473	505
TMX4	469	353	450	504
TNFAIP1	135	106	114	127
TNFAIP3	64	58	74	53
TNFAIP8	56	33	44	40
TNFRSF10B	496	425	526	507
TNFRSF10D	124	104	144	135
TNFRSF11A	68	66	85	74
TNFRSF19	28	32	30	31
TNFRSF1A	137	153	185	163
TNFRSF21	162	159	192	189
TNIK	670	567	670	592
TNIP1	517	429	576	552
TNIP2	210	144	233	237
TNK2	143	130	215	150
TNKS	743	669	867	769
TNKS1BP1	647	646	864	824
TNKS2	1590	1322	1833	1625
TNNI3	52	37	53	53
TNNT1	97	63	102	107
TNPO1	5840	4202	5838	5136
TNPO2	1371	1145	1452	1212
TNPO3	2088	1576	2260	2122
TNRC18	861	1009	1362	1204
TNRC6A	1887	1696	2041	1741
TNRC6B	1378	1283	1482	1242
TNRC6C	385	478	460	397
TNS3	92	71	85	73
TOB1	197	194	217	199
TOB2	100	115	136	137
TOE1	503	325	553	511
TOLLIP	87	74	121	105
TOM1	254	167	218	206
TOM1L1	786	500	753	654
TOM1L2	255	273	352	309
TOMM20	3045	2160	2766	2582
TOMM22	1393	962	1555	1465
TOMM34	728	540	788	785
TOMM40	2035	1528	2000	1779
TOMM40L	216	160	204	213
TOMM5	115	79	212	256
TOMM6	542	285	616	580
TOMM7	664	415	761	576
TOMM70A	2354	1679	2616	2361
TONSL	803	729	985	805
TOP1	2327	2767	3427	3222
TOP1MT	481	323	454	415
TOP2A	9414	7001	10367	9739
TOP2B	8393	6750	9763	9621
TOP3A	1341	1301	1637	1375
TOP3B	821	729	920	850
TOPBP1	3439	2682	3731	3399
TOPORS	1421	1027	1299	1189
TOR1A	449	333	518	410
TOR1AIP1	747	622	761	683
TOR1AIP2	1366	1227	1583	1309
TOR1B	185	137	188	164
TOR2A	62	65	87	57
TOR3A	511	451	620	587
TOX4	881	687	732	602
TP53	644	643	688	580
TP53BP1	2273	1875	2571	2340
TP53BP2	1846	1511	2084	1886
TP53I11	34	36	36	39
TP53I13	109	78	151	110
TP53I3	68	41	66	65
TP53INP1	40	29	30	21
TP53RK	291	210	300	298
TP73	75	63	65	50
TPBG	91	63	94	67
TPCN1	142	141	155	132
TPCN2	152	130	159	177
TPD52	241	173	300	217
TPD52L1	116	96	110	107
TPD52L2	328	270	402	370
TPGS1	46	23	58	54
TPGS2	542	420	596	504
TPI1	9687	7289	11151	10779
TPM1	384	254	440	461
TPM2	56	56	54	76
TPM3	1494	998	1755	1658
TPM4	585	489	671	783
TPMT	431	306	456	467
TPP1	207	305	309	284
TPP2	1954	1436	2070	1874
TPR	16957	12848	17569	16808
TPRA1	222	157	199	155
TPRG1L	86	83	66	67
TPRKB	544	339	470	462
TPRN	248	209	236	223
TPST1	243	164	214	194
TPST2	145	125	155	125
TPT1	11023	7413	11052	10398
TPX2	3191	3080	3944	3593
TRA2A	1123	872	1139	1018
TRA2B	2601	1735	2260	2064
TRABD	438	336	514	462
TRADD	41	33	33	41
TRAF2	316	263	391	432
TRAF3	521	405	539	523
TRAF3IP1	453	347	408	387
TRAF3IP2	57	66	78	63
TRAF4	302	224	308	255
TRAF5	152	136	200	210
TRAF6	281	285	332	298
TRAF7	716	594	681	549
TRAFD1	817	573	751	653
TRAIP	418	336	422	435
TRAK1	434	394	550	499
TRAK2	510	406	489	428
TRAM1	2080	1259	1760	1447
TRAM1L1	52	33	34	34
TRAM2	105	73	124	93
TRAP1	3782	2870	4108	3932
TRAPPC1	152	174	185	143
TRAPPC10	1073	996	1285	1246
TRAPPC11	685	608	832	779
TRAPPC12	516	389	554	524
TRAPPC13	601	397	589	588
TRAPPC2	125	92	134	119
TRAPPC2L	477	314	471	487
TRAPPC3	441	354	469	472
TRAPPC4	474	317	476	422
TRAPPC5	289	181	297	234
TRAPPC6A	35	25	42	46
TRAPPC6B	130	74	106	111
TRAPPC8	1360	1077	1431	1354
TRAPPC9	221	252	307	223
TRDMT1	149	94	138	144
TREX1	38	21	39	27
TRIAP1	26	18	34	39
TRIB1	153	162	153	110
TRIB3	96	79	132	130
TRIM11	383	289	447	415
TRIM13	434	305	411	409
TRIM14	57	46	78	92
TRIM16	235	218	291	248
TRIM16L	254	213	259	217
TRIM2	301	211	322	290
TRIM21	90	60	85	80
TRIM23	499	358	531	536
TRIM24	947	825	1048	828
TRIM25	325	305	394	324
TRIM26	328	301	334	356
TRIM27	1659	1307	1719	1518
TRIM28	8801	7878	9365	8149
TRIM3	105	100	102	104
TRIM32	202	180	294	258
TRIM33	1824	1493	1888	1716
TRIM35	145	95	191	171
TRIM36	100	77	90	86
TRIM37	1603	1243	1741	1635
TRIM38	77	53	111	93
TRIM39-RPP21	327	266	408	304
TRIM4	328	287	405	351
TRIM41	520	348	440	520
TRIM44	272	169	273	286
TRIM45	91	80	129	120
TRIM47	26	16	34	36
TRIM5	39	34	40	52
TRIM52	167	137	187	192
TRIM59	442	312	445	437
TRIM62	27	49	51	25
TRIM65	344	293	413	325
TRIM66	94	128	153	121
TRIM68	110	101	125	98
TRIM71	71	70	92	95
TRIM8	156	193	239	236
TRIM9	172	148	194	200
TRIO	2238	2039	2625	2228
TRIOBP	269	236	350	308
TRIP10	279	210	293	291
TRIP11	1708	1343	1648	1627
TRIP12	6241	5252	7085	5959
TRIP13	961	674	882	802
TRIP4	180	227	261	229
TRIP6	640	505	671	670
TRIT1	400	300	410	381
TRMT1	1206	923	1237	1141
TRMT10A	311	207	289	248
TRMT10B	66	43	80	82
TRMT10C	2226	1547	2228	2177
TRMT11	1092	877	1370	1369
TRMT112	1254	849	1238	1096
TRMT12	326	232	410	347
TRMT13	414	294	465	513
TRMT1L	800	664	887	876
TRMT2A	1129	889	1173	1156
TRMT2B	394	348	478	438
TRMT44	308	274	380	345
TRMT5	585	426	603	540
TRMT6	798	595	876	800
TRMT61A	292	224	278	251
TRMT61B	376	260	384	352
TRMU	760	543	732	760
TRNAU1AP	500	325	584	531
TRNT1	353	293	441	487
TRO	532	417	509	447
TROAP	567	525	592	480
TROVE2	1480	1024	1592	1530
TRPC1	433	342	491	509
TRPC3	53	32	58	53
TRPC4AP	1633	1360	1725	1580
TRPM4	54	51	63	75
TRPM7	1883	1453	2122	1910
TRPS1	552	486	615	552
TRPT1	127	71	108	115
TRPV1	157	171	189	158
TRRAP	3677	4463	5328	4410
TRUB1	642	460	671	570
TRUB2	592	425	631	562
TSC1	613	526	631	580
TSC2	1370	1345	1566	1348
TSC22D1	453	396	519	440
TSC22D2	297	280	338	277
TSC22D3	382	211	371	395
TSC22D4	87	78	105	102
TSEN15	177	118	191	182
TSEN2	453	357	478	451
TSEN34	476	335	473	403
TSEN54	367	286	387	365
TSFM	904	602	953	857
TSG101	524	395	482	412
TSGA10	78	69	90	91
TSHZ1	407	344	381	331
TSHZ2	38	38	49	39
TSHZ3	73	60	101	75
TSKU	39	27	40	30
TSN	924	630	953	879
TSNARE1	64	52	63	58
TSNAX	1500	1131	1570	1509
TSNAXIP1	28	30	28	33
TSPAN12	130	56	122	104
TSPAN13	185	124	146	154
TSPAN14	49	54	52	52
TSPAN15	112	85	119	99
TSPAN17	212	162	179	162
TSPAN3	2217	1382	2228	1823
TSPAN31	77	48	90	78
TSPAN33	87	64	100	77
TSPAN4	96	42	108	84
TSPAN5	79	52	74	59
TSPAN6	762	475	772	743
TSPAN7	34	39	53	44
TSPAN9	40	33	45	40
TSPO	244	192	268	193
TSPYL1	2273	1538	2151	2049
TSPYL2	473	363	419	363
TSPYL4	69	59	104	88
TSR1	3919	2653	3892	3663
TSR2	338	229	338	355
TSR3	422	290	522	506
TSSC1	330	228	366	323
TSSC4	258	195	274	242
TST	329	219	329	259
TSTA3	390	246	368	307
TSTD2	208	188	334	271
TTBK2	395	318	371	363
TTC1	764	487	659	706
TTC12	401	321	430	370
TTC13	978	771	1139	1062
TTC14	697	574	741	742
TTC17	1164	922	1162	981
TTC18	58	60	78	77
TTC19	516	400	567	541
TTC21B	1019	824	1113	988
TTC23	254	188	262	251
TTC26	455	314	447	363
TTC27	1198	947	1178	1156
TTC28	983	1032	1280	1034
TTC3	5113	4410	5970	5376
TTC30A	159	90	183	149
TTC30B	159	92	164	157
TTC31	144	133	171	141
TTC32	118	61	129	99
TTC33	162	136	224	250
TTC37	4725	3222	4907	4329
TTC38	458	366	537	490
TTC39A	99	88	71	94
TTC39B	69	46	94	87
TTC39C	118	106	151	129
TTC4	1182	737	1209	1120
TTC5	449	318	491	489
TTC7A	135	125	168	159
TTC7B	403	346	536	432
TTC8	340	199	327	291
TTC9C	177	126	194	171
TTF1	718	563	766	736
TTF2	2890	2339	3072	2911
TTI1	1141	1044	1299	1092
TTI2	216	144	225	206
TTK	2234	1455	2252	2016
TTL	337	287	346	274
TTLL1	41	33	45	50
TTLL11	78	82	98	87
TTLL12	1480	1139	1525	1401
TTLL3	261	302	311	253
TTLL4	935	907	1077	908
TTLL5	728	657	887	759
TTLL7	198	156	215	192
TTPAL	159	150	185	150
TTYH2	31	40	37	25
TTYH3	110	164	218	183
TUB	436	406	500	459
TUBA1A	19402	11399	14435	12557
TUBA1B	42241	25205	33690	29728
TUBA1C	27004	15423	21885	19319
TUBA8	48	48	44	40
TUBB	19738	14260	16093	12980
TUBB2A	1344	941	1062	899
TUBB2B	1407	1015	1141	990
TUBB3	619	446	400	319
TUBB4A	496	460	433	311
TUBB4B	5439	4135	4900	4304
TUBB4Q	302	233	264	218
TUBB6	571	439	598	521
TUBB8	177	134	147	117
TUBD1	219	162	216	172
TUBE1	484	329	414	367
TUBG1	1388	1043	1220	1087
TUBG2	533	458	498	423
TUBGCP2	1812	1406	1805	1628
TUBGCP3	637	627	709	667
TUBGCP4	606	562	747	662
TUBGCP5	896	711	1022	895
TUBGCP6	1485	1380	1656	1349
TUFM	4235	3024	4350	3968
TUFT1	162	127	118	126
TULP3	223	167	250	222
TULP4	273	406	431	368
TUSC1	32	16	45	61
TUSC2	130	78	158	143
TUSC3	688	506	691	658
TUT1	273	205	277	269
TVP23B	766	541	861	874
TVP23C	431	320	526	548
TWF1	949	633	830	820
TWISTNB	680	435	692	657
TWSG1	192	152	202	196
TXLNA	2465	2129	2388	2269
TXLNG	1170	950	1204	1244
TXN	5895	3848	7171	6777
TXN2	377	250	300	288
TXNDC11	418	331	412	337
TXNDC12	306	199	321	343
TXNDC15	288	183	309	294
TXNDC16	551	455	626	555
TXNDC17	732	428	830	779
TXNDC5	2647	1970	2933	2670
TXNDC9	485	397	557	492
TXNIP	103	78	130	105
TXNL1	543	395	537	498
TXNL4A	662	456	696	632
TXNL4B	87	69	126	87
TXNRD1	2793	1880	3010	2961
TXNRD2	322	258	363	363
TXNRD3	350	279	410	396
TYK2	942	780	952	785
TYMS	775	837	1150	924
TYRO3	378	312	405	349
TYSND1	205	163	220	201
TYW1	733	638	828	783
