	isrib_a_hek	isrib_b_hek	untr_a_hek	untr_b_hek
EFHD2	148	128	170	165
EFNA5	60	74	80	66
EFNB1	135	95	132	92
EFNB2	137	134	112	93
EFR3A	729	538	760	747
EFR3B	88	70	100	83
EFTUD1	1264	950	1378	1205
EFTUD2	4879	3934	5343	5003
EGFL7	89	45	84	68
EGFR	106	89	110	106
EGLN1	550	446	676	620
EGLN2	352	265	380	352
EGLN3	25	23	24	27
EHBP1	879	866	1164	1077
EHBP1L1	35	27	45	35
EHD1	211	192	238	214
EHD3	118	109	124	116
EHD4	420	335	357	393
EHHADH	131	102	150	142
EHMT1	1135	994	1198	1076
EHMT2	1029	890	1162	990
EI24	1805	1186	1793	1641
EID1	750	501	833	858
EID2	110	79	122	130
EID3	38	24	79	76
EIF1	666	746	1006	856
EIF1AD	180	144	222	218
EIF1AX	2132	1485	1996	2073
EIF1B	245	298	359	319
EIF2A	2408	1608	2340	2034
EIF2AK1	1657	1592	1923	1691
EIF2AK2	859	658	984	880
EIF2AK3	407	286	416	346
EIF2AK4	1409	1177	1636	1444
EIF2B1	1025	727	1088	966
EIF2B2	704	467	686	622
EIF2B3	1139	863	1268	1270
EIF2B4	585	442	599	624
EIF2B5	814	666	803	785
EIF2D	1225	923	1198	1144
EIF2S1	1440	1032	1516	1445
EIF2S2	4204	3015	4608	4457
EIF2S3	6122	4325	6229	5712
EIF3A	12319	9311	12583	12488
EIF3B	7172	5396	7731	7571
EIF3C	18475	15490	20005	19439
EIF3D	6918	5164	6946	6439
EIF3E	10005	6357	9289	8348
EIF3F	2565	1899	2717	2528
EIF3G	2358	1698	2088	1947
EIF3H	2314	1502	2178	2012
EIF3I	6808	4821	6119	5492
EIF3J	719	531	729	722
EIF3K	2462	1850	2777	2729
EIF3L	7104	4623	6344	5243
EIF3M	5753	4117	6462	6299
EIF4A2	2143	1485	2125	2081
EIF4A3	2704	2025	2587	2421
EIF4B	11509	8564	12275	12121
EIF4E	1729	1087	1777	1700
EIF4E2	818	497	729	687
EIF4E3	75	51	106	84
EIF4EBP1	399	306	505	535
EIF4EBP2	132	87	114	99
EIF4ENIF1	516	485	625	626
EIF4G1	12656	12049	15038	13458
EIF4G2	15726	14115	17823	15495
EIF4G3	3133	3113	3709	3280
EIF4H	2977	2086	2682	2306
EIF5	4764	3884	5100	4806
EIF5A	5388	3914	5465	5201
EIF5A2	75	82	111	105
EIF5AL1	1653	1276	1675	1517
EIF5B	2877	2501	3224	3293
EIF6	698	579	732	634
ELAC1	91	60	76	70
ELAC2	2263	1695	2274	2069
ELAVL1	1002	917	1126	1005
ELAVL2	149	82	117	98
ELF1	244	223	324	255
ELF2	748	576	863	717
ELF4	157	155	226	198
ELK1	347	278	397	309
ELK3	57	40	39	42
ELL	147	106	141	118
ELL2	314	210	267	220
ELL3	43	45	31	27
ELMO2	340	331	380	314
ELMO3	50	41	39	27
ELMOD1	40	41	52	41
ELMOD2	446	299	438	422
ELMOD3	110	106	117	81
ELMSAN1	239	288	311	259
ELOF1	248	167	250	254
ELOVL1	305	194	232	194
ELOVL2	99	97	111	97
ELOVL4	334	201	265	278
ELOVL5	798	527	693	510
ELOVL6	131	67	137	102
ELOVL7	96	71	92	99
ELP2	1424	1050	1582	1413
ELP3	631	374	547	517
ELP4	448	307	470	341
ELP5	578	391	518	502
ELP6	669	498	631	635
EMB	612	412	559	510
EMC1	1275	1219	1584	1418
EMC10	662	465	634	587
EMC2	492	355	522	546
EMC3	850	529	732	585
EMC4	434	280	421	348
EMC6	94	62	66	53
EMC7	257	183	264	247
EMC8	328	194	338	282
EMC9	157	124	139	166
EMD	770	656	739	655
EME1	424	267	452	407
EME2	71	75	98	91
EMG1	598	404	619	557
EMILIN2	463	417	605	486
EMILIN3	168	130	176	149
EML1	422	373	433	462
EML2	105	115	135	126
EML3	116	150	155	145
EML4	1860	1366	1830	1721
EML5	750	625	938	926
EML6	158	129	217	177
EMP2	104	71	111	53
EMP3	84	49	55	37
EN2	70	72	109	81
ENAH	2531	1965	2298	2061
ENC1	65	64	89	67
ENDOD1	123	100	114	103
ENDOG	176	121	210	181
ENDOV	56	56	62	56
ENGASE	245	204	236	249
ENKD1	81	72	101	80
ENO1	37973	26606	36019	32713
ENO2	139	119	166	139
ENOPH1	612	449	730	750
ENOSF1	256	267	311	299
ENOX1	170	163	174	174
ENOX2	432	339	475	387
ENPEP	34	22	44	46
ENPP1	554	379	564	529
ENPP4	192	146	202	183
ENSA	1523	1101	1641	1650
ENTHD2	108	104	125	111
ENTPD4	389	316	431	441
ENTPD5	147	143	181	132
ENTPD6	384	323	369	373
ENTPD7	609	476	659	600
ENY2	823	592	916	946
EOGT	209	151	246	171
EP300	1511	2183	2556	1959
EP400	840	1379	1569	1149
EPAS1	41	50	68	46
EPB41	2305	2024	2670	2429
EPB41L1	166	178	206	178
EPB41L2	1862	1599	2040	1850
EPB41L3	800	529	808	706
EPB41L4A	53	48	62	58
EPB41L4B	83	68	92	98
EPB41L5	494	364	511	436
EPC1	411	416	418	374
EPC2	973	789	869	833
EPDR1	31	16	37	30
EPG5	681	571	798	733
EPHA2	128	86	136	107
EPHA3	311	216	320	292
EPHA4	403	320	491	397
EPHA5	32	29	38	36
EPHA6	375	302	437	436
EPHA7	848	669	977	904
EPHA8	58	41	48	45
EPHB1	39	58	55	27
EPHB2	188	173	165	149
EPHB4	861	740	939	848
EPHX1	242	238	297	264
EPHX2	90	69	96	79
EPHX4	47	36	49	44
EPM2A	30	24	36	30
EPN1	382	472	510	499
EPN2	325	257	300	252
EPPK1	220	303	311	295
EPRS	12563	9634	13430	12659
EPS15	1243	1043	1424	1218
EPS15L1	354	375	376	376
EPS8	339	252	337	295
EPT1	608	408	565	435
ERAL1	527	476	494	461
ERAP1	103	75	83	83
ERBB2	439	373	475	429
ERBB2IP	2177	1569	2175	1902
ERBB4	102	88	100	97
ERC1	814	862	1131	1089
ERC2	266	253	307	259
ERCC1	375	293	403	371
ERCC2	465	417	500	416
ERCC3	1377	1086	1511	1329
ERCC4	438	396	532	552
ERCC6	710	586	715	723
ERCC6L	1384	998	1359	1258
ERCC6L2	847	659	947	834
ERCC8	382	282	381	401
ERF	151	137	140	107
ERGIC1	499	314	328	275
ERGIC2	823	503	759	772
ERGIC3	2279	1562	2069	1875
ERH	1962	1229	1553	1563
ERI1	274	238	366	324
ERI2	503	344	546	446
ERI3	711	538	767	666
ERICH1	216	159	210	193
ERLEC1	565	390	575	529
ERLIN1	331	285	412	381
ERLIN2	438	344	492	433
ERMAP	28	30	37	31
ERMP1	253	182	250	208
ERN1	86	77	90	86
ERO1L	1000	863	1304	1221
ERO1LB	213	170	210	219
ERP29	1123	738	1015	937
ERP44	744	589	774	692
ERRFI1	207	135	169	153
ERV3-1	67	63	75	71
ESCO1	732	549	796	714
ESCO2	486	326	473	408
ESD	1850	1292	2066	1916
ESF1	1551	1077	1428	1515
ESPL1	1466	1560	1961	1581
ESPNL	43	27	64	53
ESRP2	170	164	198	159
ESRRA	231	162	217	211
ESYT1	1983	1708	2160	1898
ESYT2	1088	842	1074	918
ETAA1	734	466	649	634
ETF1	3429	2428	3675	3592
ETFA	2994	1933	3018	2910
ETFB	759	607	883	888
ETFDH	734	536	805	748
ETHE1	82	53	60	56
ETNK1	877	704	966	801
ETNK2	131	102	141	147
ETS2	266	246	340	254
ETV3	279	233	239	208
ETV3L	28	26	45	40
EVC	222	279	430	355
EVI5	851	750	991	880
EVI5L	129	102	133	121
EVL	260	259	334	295
EWSR1	6753	4697	6069	5937
EXD2	313	287	430	402
EXO1	2910	2242	3243	2978
EXO5	69	55	60	56
EXOC1	911	613	925	850
EXOC2	1352	1020	1433	1271
EXOC3	612	526	655	620
EXOC4	1374	1096	1433	1288
EXOC5	1287	994	1411	1441
EXOC6	905	757	1043	953
EXOC6B	737	663	853	698
EXOC7	1172	892	1051	915
EXOC8	1241	1061	1463	1308
EXOG	282	248	368	347
EXOSC1	292	188	271	255
EXOSC10	3020	2119	2916	2649
EXOSC2	1262	912	1368	1325
EXOSC3	781	523	952	836
EXOSC4	386	300	507	422
EXOSC5	369	277	423	431
EXOSC6	65	62	130	163
