	ribo_untr_a	ribo_untr_b	ribo_isrib_a	ribo_isrib_b	untr_a_hek	untr_b_hek	isrib_a_hek	isrib_b_hek
ERLEC1	390	400	151	222	669	600	631	456
ERLIN1	396	443	170	216	500	485	439	353
ERLIN2	952	1177	460	655	586	520	535	410
ERMAP	25	23	10	12	110	105	92	81
ERMARD	234	223	106	126	322	298	316	256
ERMP1	712	765	298	386	354	297	322	268
ERN1	58	102	37	44	139	124	116	118
ERO1A	1106	1079	482	580	1485	1385	1146	964
ERO1B	163	212	93	102	315	311	280	229
ERP29	974	1307	462	611	1032	992	1225	746
ERP44	1375	1679	715	877	848	778	872	651
ERRFI1	287	349	147	205	277	258	344	220
ERV3-1	2	8	2	5	94	84	76	77
ERVFRD-1	0	0	0	0	148	132	101	109
ERVK3-1	297	457	176	239	411	443	369	282
ESCO1	148	144	44	64	948	879	875	660
ESCO2	1159	1337	541	661	619	536	617	426
ESD	4196	4709	2159	2548	2621	2429	2444	1712
ESF1	808	937	400	492	1553	1663	1684	1191
ESPL1	1775	2374	962	1230	2442	1946	1824	1948
ESPNL	0	0	0	2	94	84	69	51
ESR2	0	3	0	1	34	37	27	25
ESRP2	401	461	204	257	258	209	203	225
ESRRA	107	171	54	67	227	217	233	168
ESRRB	15	27	10	12	24	30	19	28
ESRRG	0	0	0	0	38	47	35	31
ESS2	446	612	208	291	752	767	683	597
ESYT1	2358	2857	1118	1557	2465	2216	2257	1992
ESYT2	857	1096	394	566	1189	1042	1224	946
ETAA1	155	150	64	92	714	702	786	493
ETF1	2935	3276	1445	1898	3508	3467	3321	2320
ETFA	3695	3978	1700	2029	3327	3125	3266	2146
ETFB	1194	1412	510	681	999	983	901	711
ETFBKMT	18	23	9	10	23	16	16	20
ETFDH	411	574	218	276	893	789	805	590
ETFRF1	175	154	70	105	110	136	116	88
ETHE1	160	174	70	94	90	87	105	89
ETNK1	999	1362	505	653	1097	939	983	780
ETNK2	65	81	23	34	169	177	165	121
ETNPPL	35	34	14	14	28	23	21	18
ETS2	464	582	258	286	371	279	308	288
ETV1	405	417	175	224	24	22	36	25
ETV3	359	511	200	238	243	238	326	261
ETV6	81	111	30	44	39	33	33	26
EVC	57	72	21	26	508	455	268	344
EVI2B	0	0	1	1	60	57	34	35
EVI5	398	447	204	257	1178	1053	1023	900
EVI5L	131	148	54	85	181	156	159	131
EVL	131	169	35	65	397	328	299	300
EWSR1	3819	5184	2061	2873	6724	6604	7477	5292
EXD2	258	336	122	178	487	450	345	318
EXD3	33	24	10	7	35	36	25	20
EXO1	802	849	411	479	4194	3981	3733	2954
EXO5	136	181	84	114	64	71	79	64
EXOC1	719	727	283	362	1070	1039	1104	730
EXOC2	1290	1493	631	778	1656	1475	1584	1147
EXOC3	654	765	328	435	716	673	662	586
EXOC4	1503	1611	698	838	1492	1308	1440	1128
EXOC5	431	466	193	213	1348	1286	1252	996
EXOC6	1240	1251	580	802	1116	1038	1011	827
EXOC6B	531	610	250	311	1039	848	876	787
EXOC7	1140	1449	505	741	1432	1235	1538	1120
EXOC8	721	950	407	545	1549	1413	1341	1131
EXOG	165	250	81	96	511	467	375	350
EXOSC1	730	985	369	501	430	382	422	284
EXOSC10	2674	3545	1318	1816	3353	3002	3415	2443
EXOSC2	1434	1773	721	987	1673	1649	1603	1164
EXOSC3	657	875	301	406	1031	942	910	596
EXOSC4	613	838	282	398	549	455	418	326
EXOSC5	1005	1326	442	641	457	478	402	282
EXOSC6	471	653	239	372	159	196	85	77
EXOSC7	564	700	263	317	1172	1120	1026	786
EXOSC8	1762	1932	835	999	1382	1320	1158	859
EXOSC9	1061	1352	588	672	2053	2002	1987	1423
EXPH5	186	218	102	119	694	523	510	441
EXT1	277	304	122	193	839	706	925	763
EXT2	901	1088	451	597	1575	1486	1638	1141
EXTL2	273	234	103	123	293	221	255	227
EXTL3	299	363	137	183	468	430	452	361
EYA1	71	70	35	37	243	240	271	243
EYA2	204	251	91	150	67	48	82	40
EYA3	658	737	332	403	1081	792	979	816
EYA4	519	596	224	276	460	460	543	374
EYS	0	3	0	1	110	106	113	115
EZH1	173	142	59	82	399	360	353	338
EZH2	1078	1447	612	739	1832	1721	1736	1358
EZR	3428	4709	1901	2381	2228	2210	2397	1669
F11R	442	583	205	287	202	202	172	163
F12	74	94	29	40	42	40	40	26
F2R	370	441	139	203	157	146	146	113
F2RL1	412	467	169	206	209	167	180	113
F3	61	65	26	57	29	30	23	24
F8	61	56	24	27	124	110	115	110
FAAH	104	128	52	53	19	33	32	32
FAAH2	83	72	35	55	30	38	28	26
FAAP100	148	207	71	105	688	591	661	538
FAAP20	294	456	135	208	125	130	132	98
FAAP24	160	217	90	92	73	65	59	54
FABP3	9	10	4	2	34	21	23	28
FADD	382	470	144	208	262	212	251	146
FADS1	344	395	169	202	523	399	580	380
FADS2	1535	1839	692	952	443	348	496	318
FADS3	114	147	62	66	84	72	73	53
FAF1	1454	1653	742	931	2547	2309	2315	1778
FAF2	1192	1433	583	718	1052	999	1258	923
FAH	336	410	130	184	463	401	443	333
FAHD1	434	546	192	300	307	298	263	186
FAHD2A	90	92	37	51	234	197	201	175
FAHD2B	39	31	18	24	73	69	77	59
FAIM	659	935	322	452	933	864	778	501
FAM102A	17	23	7	10	67	59	55	43
FAM102B	200	200	82	108	281	259	238	179
FAM104A	231	334	114	161	144	144	132	101
FAM104B	194	218	97	140	189	159	184	101
FAM107B	317	280	157	200	129	128	127	88
FAM110B	51	56	17	30	55	45	43	46
FAM114A1	90	87	28	40	57	78	80	48
FAM114A2	428	580	236	272	511	472	522	360
FAM117A	137	198	65	115	164	107	113	121
FAM117B	383	432	180	242	276	249	246	269
FAM118A	222	255	94	144	256	227	243	167
FAM118B	249	278	125	142	508	441	437	340
FAM120A	1113	1459	569	788	2976	2732	2707	2631
FAM120AOS	100	98	32	59	144	114	137	100
FAM120B	815	991	438	571	1390	1174	1183	1073
FAM120C	276	398	141	213	233	183	205	184
FAM122A	178	218	65	114	170	159	183	117
FAM122B	336	389	143	191	562	413	377	431
FAM122C	34	27	18	19	24	15	15	19
FAM124A	51	57	21	29	20	20	13	22
FAM126A	525	621	270	307	1004	912	985	744
FAM126B	149	176	73	88	497	436	458	360
FAM129A	328	317	128	171	43	41	52	26
FAM129B	838	963	346	490	834	746	856	591
FAM131A	64	81	28	36	45	36	35	23
FAM133B	14	13	7	11	130	145	125	123
FAM135A	352	331	154	169	1348	1218	1257	937
FAM136A	580	814	286	467	445	389	410	297
FAM13A	257	294	123	164	815	805	705	613
FAM13B	85	103	64	73	1400	1253	1257	1168
FAM13C	54	69	22	30	69	53	45	31
FAM149A	49	71	24	38	75	58	57	48
FAM149B1	61	57	23	30	370	339	288	267
FAM151B	33	45	18	8	88	51	54	40
FAM155B	25	30	3	8	70	64	81	67
FAM160A1	64	87	28	43	236	183	171	172
FAM160A2	133	193	55	78	447	391	433	377
FAM160B1	364	458	213	292	494	434	435	355
FAM160B2	209	257	88	126	132	101	121	93
FAM161A	234	226	109	100	328	337	287	208
FAM161B	72	73	33	26	86	82	92	81
FAM162A	928	1010	375	528	875	893	801	558
FAM166A	0	0	0	0	56	46	93	52
FAM168A	376	423	168	245	82	59	94	78
FAM168B	770	862	390	472	365	273	446	299
FAM169A	405	541	202	242	990	898	814	629
FAM171A1	323	410	138	196	633	577	597	486
FAM171A2	152	191	61	119	112	103	97	70
FAM171B	129	128	56	74	372	335	405	285
FAM172A	252	270	104	109	295	319	297	237
FAM173A	90	130	45	64	261	229	190	124
FAM174A	101	115	54	71	89	64	70	46
FAM174B	29	32	13	21	20	10	16	15
FAM177A1	219	264	104	115	285	247	288	196
FAM184A	305	293	148	178	818	781	708	521
FAM184B	69	71	32	35	98	62	52	53
FAM185A	41	65	18	34	107	99	76	70
FAM186B	5	5	4	4	118	85	72	93
FAM189A1	13	13	5	7	29	13	23	21
FAM189B	337	400	164	213	508	423	323	389
FAM192A	305	467	147	229	505	506	586	413
FAM193A	353	437	198	224	722	636	522	574
FAM193B	165	201	79	115	610	456	416	467
FAM199X	982	1049	413	545	1297	1125	1362	1032
FAM200A	188	176	88	89	266	248	239	181
FAM200B	39	43	17	20	379	362	318	216
FAM204A	345	433	172	212	913	943	739	506
FAM206A	136	221	78	67	148	136	135	101
FAM207A	181	278	105	151	179	203	148	120
FAM20A	4	4	0	6	25	15	20	19
FAM20B	163	229	91	113	815	752	704	581
FAM20C	108	108	38	71	37	47	49	35
FAM210A	270	374	127	186	259	249	235	197
FAM210B	216	231	105	145	141	130	109	85
FAM214A	227	207	106	152	287	222	217	197
FAM214B	3	8	6	4	12	17	17	14
FAM216A	1259	1184	527	600	592	512	582	414
FAM217B	54	73	31	31	452	385	429	342
FAM219A	195	261	88	119	93	90	83	65
FAM219B	127	166	53	70	239	235	203	160
FAM221A	226	262	125	116	62	58	50	34
FAM222A	37	41	16	18	38	20	45	41
FAM222B	172	209	68	103	80	57	66	84
FAM227A	10	3	4	3	135	127	139	121
FAM227B	9	9	4	8	28	29	38	16
FAM228B	6	14	3	8	22	21	17	17
FAM229B	96	151	43	72	155	140	113	102
FAM234A	34	42	18	39	40	42	43	30
FAM234B	503	591	249	284	479	444	397	364
FAM241A	216	241	84	102	115	101	91	88
FAM241B	207	291	107	158	33	24	49	32
FAM32A	331	470	178	265	376	346	263	194
FAM3A	152	174	63	109	367	342	377	279
FAM3C	1	1	0	1	22	40	33	27
FAM45A	79	65	23	44	87	65	58	46
FAM49B	1127	1272	617	707	1195	1135	1240	808
FAM50A	1809	2254	873	1155	1393	1513	1500	1030
FAM50B	0	4	2	1	34	31	39	22
FAM53A	2	5	1	2	24	17	24	18
FAM53B	95	138	54	73	393	360	355	312
FAM53C	481	593	201	276	376	346	557	387
FAM57A	189	301	117	168	232	215	207	161
FAM71E1	43	51	11	24	47	34	39	31
FAM72A	2	10	1	5	42	41	28	34
FAM72B	13	12	2	6	29	40	28	34
FAM76A	141	171	80	86	342	336	355	262
FAM76B	112	142	66	71	295	295	330	209
FAM78A	6	5	1	3	17	12	21	20
FAM81A	23	17	7	10	88	42	64	48
FAM83B	243	294	124	137	122	83	82	78
FAM83D	1423	1796	769	964	964	836	889	731
FAM83G	237	290	93	175	336	314	258	257
FAM83H	265	441	183	252	172	169	148	137
FAM84B	21	18	1	5	255	226	246	201
FAM86C1	9	17	4	9	23	12	18	17
FAM89A	171	244	61	127	128	125	94	64
FAM89B	41	72	22	36	66	46	49	38
FAM8A1	408	516	203	288	338	367	302	246
FAM91A1	416	457	198	247	1209	1136	1172	901
FAM92A	238	272	110	185	440	425	408	274
FAM95C	0	2	0	1	57	47	34	32
FAM98A	1235	1582	653	860	1291	1217	1258	971
FAM98B	1438	1499	693	842	518	334	335	394
FAM98C	121	201	73	99	81	70	63	38
FAN1	330	378	144	202	848	768	761	592
FANCA	1039	1204	454	669	2337	1826	1778	1813
FANCB	309	378	181	169	1300	1246	1116	852
FANCC	253	283	132	169	433	370	380	340
FANCD2	1321	1498	635	725	4369	3952	3795	3203
FANCE	290	310	127	159	431	333	322	255
FANCG	277	387	139	191	733	633	650	540
FANCI	2376	2690	1132	1455	6473	5999	6034	4815
FANCL	909	1052	458	540	866	903	832	613
FANCM	356	460	155	213	1708	1671	1608	1369
FAR1	1808	2206	889	1140	2075	1943	1906	1487
FAR2	608	656	322	351	507	466	538	429
FARP1	513	598	247	351	560	431	466	480
FARP2	963	1166	446	550	959	792	921	717
FARS2	208	194	88	131	449	428	439	319
FARSA	3720	4873	1769	2398	2361	2205	2077	1632
FARSB	4650	4897	2102	2758	2136	1738	2080	1686
FAS	233	288	115	145	83	73	64	60
FASN	15996	23545	8338	11320	12103	8956	6676	10110
FASTK	176	318	99	133	865	813	866	609
FASTKD1	402	379	186	264	1137	1055	1130	872
FASTKD2	1242	1369	644	756	1681	1505	1540	1052
FASTKD3	395	407	195	196	433	423	477	321
FASTKD5	1079	1307	555	718	1106	803	949	712
FAT1	2154	2667	1058	1380	5785	5047	5028	4258
FAT2	0	2	0	5	110	83	81	103
FAT3	238	320	160	195	422	372	359	307
FAT4	399	496	212	250	662	598	601	534
FAU	4551	6148	2484	3381	3797	3386	4177	2680
FAXC	69	83	22	45	187	183	135	144
FAXDC2	17	19	6	13	70	55	53	55
FBF1	44	42	15	33	408	355	396	311
FBH1	967	1165	459	603	1823	1671	1726	1379
FBL	8629	12719	4417	6090	3417	3380	3262	2657
FBLIM1	178	229	96	132	47	53	49	37
FBLN1	623	838	286	434	243	205	176	175
FBLN2	0	0	0	1	22	16	33	18
FBLN5	160	166	74	93	43	43	39	22
FBN1	324	537	170	279	1056	904	823	731
FBN2	3546	4956	1966	2607	3816	3297	2931	2764
FBRS	561	736	277	351	374	265	248	316
FBRSL1	527	718	255	349	413	335	282	284
FBXL12	138	231	72	89	173	151	160	110
FBXL13	17	11	8	9	81	60	52	53
FBXL14	267	361	101	183	163	130	184	129
FBXL15	150	188	63	92	195	166	132	99
FBXL17	251	324	131	187	180	160	183	143
FBXL18	257	340	142	192	188	163	157	170
FBXL19	156	177	56	74	884	715	694	541
FBXL2	50	64	23	37	218	178	192	173
FBXL20	194	197	99	108	240	208	219	233
FBXL3	432	556	237	311	1246	1130	1165	849
FBXL4	266	285	118	150	629	589	592	498
FBXL5	438	438	193	247	1308	1163	1150	801
FBXL6	81	119	48	68	263	234	241	191
FBXL8	11	8	1	5	53	48	49	32
FBXO10	130	161	63	108	476	322	375	344
FBXO11	908	1022	482	573	1321	1073	842	858
FBXO16	134	172	57	76	52	60	49	51
FBXO17	411	519	156	271	67	53	50	46
FBXO21	1143	1344	565	711	1180	1048	1136	775
FBXO22	496	588	241	269	1398	1283	1128	880
FBXO25	222	269	101	149	218	191	256	170
FBXO27	46	42	16	25	14	18	20	11
FBXO28	615	689	297	419	1233	1051	1119	866
FBXO3	818	871	418	473	830	765	775	554
FBXO30	540	574	272	331	1151	961	938	789
FBXO31	151	213	76	104	236	251	187	165
FBXO32	260	269	111	142	78	69	74	57
FBXO33	318	396	156	212	416	483	502	338
FBXO34	222	280	110	136	724	606	731	478
FBXO36	10	11	13	7	11	18	21	16
FBXO38	742	782	348	398	877	758	794	642
FBXO4	123	178	59	76	178	176	176	124
FBXO41	17	22	6	15	43	40	35	24
FBXO42	412	535	180	300	628	584	637	530
FBXO44	143	220	65	120	106	85	96	65
FBXO45	148	156	69	67	154	129	145	102
FBXO46	124	157	62	95	148	140	132	155
FBXO48	4	7	2	5	25	16	20	23
FBXO5	1004	1141	529	611	1762	1661	1722	1295
FBXO7	1542	1671	710	886	1955	1560	1845	1335
FBXO8	137	176	61	88	230	218	206	157
FBXO9	483	550	192	309	1724	1492	1419	1156
FBXW11	746	903	377	483	1293	1286	1161	979
FBXW2	180	195	78	95	957	909	825	741
FBXW4	120	122	49	71	253	208	242	167
FBXW5	280	408	125	214	841	727	847	617
FBXW7	125	151	65	69	653	574	677	522
FBXW8	170	288	96	167	310	301	203	230
FBXW9	296	376	162	202	198	216	240	199
FCF1	327	411	169	190	486	461	401	305
FCGRT	315	352	128	185	73	81	74	65
FCHO1	19	35	11	16	35	39	33	21
FCHO2	450	513	226	270	446	422	421	332
FCHSD1	47	55	21	22	115	97	101	86
FCHSD2	208	265	108	133	495	432	392	363
FDFT1	3166	3711	1524	1978	1886	1758	1957	1412
FDPS	2427	2818	1170	1481	2946	2612	2809	1982
FDX1	501	625	222	282	241	280	216	144
FDX2	68	107	30	44	135	108	100	72
FDXACB1	13	31	8	6	94	79	75	65
FDXR	350	493	217	220	305	307	271	231
FECH	879	897	364	491	635	526	597	405
FEM1A	386	460	173	255	813	778	915	753
FEM1B	944	1045	432	578	2104	1826	2002	1392
FEM1C	506	476	221	292	578	489	460	436
FEN1	1725	2499	973	1285	2140	2063	2035	1552
FER	278	335	173	174	596	529	536	394
FER1L5	1	1	0	0	40	51	53	47
FERMT1	200	267	108	136	57	48	35	36
FERMT2	1477	1634	682	893	1140	1080	1200	928
FEZ1	83	91	37	37	66	60	58	44
FEZ2	475	510	175	260	472	489	378	330
FGD1	210	255	85	113	417	351	321	346
FGD4	146	161	60	78	108	109	102	91
FGD6	112	140	51	65	252	203	214	208
FGF2	93	94	29	51	81	68	54	37
FGF9	61	86	34	54	14	22	15	14
FGFR1	365	424	186	234	585	457	499	499
FGFR1OP	518	688	288	291	1149	1059	917	767
FGFR1OP2	320	384	171	231	555	523	544	360
FGFR2	212	260	112	113	604	495	530	424
FGFR3	176	181	67	102	656	579	646	588
FGFR4	70	80	30	37	223	174	196	180
FGFRL1	239	279	117	137	196	173	198	170
FGGY	20	26	11	22	117	106	88	70
FH	1906	2084	868	1124	2190	1934	2296	1539
FHAD1	25	29	18	17	49	42	43	43
FHDC1	22	22	6	9	24	29	32	21
FHIT	58	59	29	28	47	49	40	38
FHL1	3189	4215	1660	2356	930	842	829	670
FHL2	502	603	223	314	149	149	143	96
FHL3	343	430	152	224	47	39	34	37
FHOD1	516	638	254	333	637	599	492	553
FHOD3	121	160	63	91	205	208	197	163
FIBP	478	571	210	290	797	744	795	605
FICD	59	65	29	36	76	72	67	72
FIG4	812	809	319	463	601	590	608	462
FIGN	95	107	39	61	219	174	128	134
FIGNL1	658	807	371	428	1903	1684	2000	1388
FILIP1L	23	27	9	13	512	479	426	393
FIP1L1	637	653	333	393	600	534	812	475
FIS1	627	801	323	447	933	841	870	576
FITM2	218	257	88	118	108	87	85	70
FIZ1	66	92	32	54	27	28	22	25
FJX1	117	122	55	71	135	104	96	62
FKBP10	745	932	354	536	1088	997	1205	895
FKBP11	318	404	168	206	112	95	87	118
FKBP14	157	204	95	117	350	319	277	206
FKBP15	421	523	226	286	1094	908	1028	889
FKBP1A	67	140	46	80	212	157	146	106
FKBP1B	59	66	27	28	33	28	37	20
FKBP2	69	115	31	66	18	25	14	15
FKBP3	3153	3597	1451	1945	1790	1814	1674	1372
FKBP4	6789	8286	3183	4337	6825	6278	6315	4747
FKBP5	968	1165	437	604	591	606	541	492
FKBP7	107	124	48	69	174	140	149	128
FKBP8	2171	2822	989	1368	1506	1499	1300	1026
FKBP9	185	182	88	136	220	201	183	145
FKBPL	122	165	80	90	323	254	281	197
FKRP	60	131	30	70	120	103	109	103
FKTN	65	94	37	50	526	497	498	399
FLAD1	712	771	348	395	1218	1094	1181	872
FLCN	151	206	84	106	780	643	658	551
FLII	1775	2312	828	1169	5512	4953	5691	4259
FLNA	12504	17792	6885	9712	11470	9636	10328	10655
FLNB	1045	1903	694	975	5488	4913	5024	4528
FLNC	3	4	2	1	1110	911	851	917
FLOT1	927	923	395	533	559	553	428	460
FLOT2	915	1242	421	622	456	396	314	341
FLRT3	50	67	51	32	127	94	123	113
FLT1	619	736	331	461	149	127	134	84
FLT4	381	502	141	252	479	442	432	402
FLVCR1	296	368	143	168	607	520	530	466
FLVCR2	16	23	16	12	52	25	24	18
FLYWCH1	219	276	97	147	524	502	375	367
FLYWCH2	92	172	83	90	221	239	218	172
FMC1	182	213	66	99	131	159	143	101
FMN2	183	240	96	121	232	226	171	175
FMNL1	19	26	9	17	19	20	21	29
FMNL2	436	504	206	258	1055	979	912	821
FMNL3	141	198	57	81	194	181	152	150
FMO1	1	0	0	0	19	17	30	13
FMO3	0	0	0	0	30	34	18	17
FMO4	39	41	16	36	43	53	50	32
FMO5	14	9	5	2	24	24	18	13
FMR1	1444	1734	721	925	2093	2062	1864	1563
FN1	2142	2906	1137	1494	635	546	507	522
FN3KRP	339	437	167	213	330	325	338	238
FNBP1	833	893	371	478	452	383	370	345
FNBP1L	448	547	214	268	466	447	488	329
FNBP4	557	698	301	360	2169	1940	1920	1550
FNDC1	22	28	6	14	53	30	28	51
FNDC3A	1224	1459	605	715	2370	2043	2234	1690
FNDC3B	656	731	321	384	536	485	489	416
FNDC4	4	3	4	1	32	40	41	22
FNDC8	0	0	0	0	32	37	32	31
FNIP1	452	556	236	299	1240	1090	1096	932
FNIP2	238	277	117	137	816	660	672	518
FNTA	692	750	341	409	663	674	643	445
FNTB	25	52	21	31	27	14	22	15
FOCAD	918	977	401	524	3173	2765	2976	2284
FOPNL	493	523	260	282	453	452	343	268
FOSL2	56	91	29	41	10	17	10	18
FOXA1	282	390	149	171	64	42	43	34
FOXB1	49	81	30	53	26	24	24	19
FOXC1	1688	2559	981	1443	672	635	679	528
FOXD1	93	130	53	62	123	121	120	80
FOXD3	87	117	22	60	41	42	40	23
FOXF2	225	352	105	155	86	76	78	60
FOXG1	139	220	71	79	106	76	120	76
FOXI3	60	94	37	33	17	20	16	16
FOXJ2	103	137	43	69	89	59	69	70
FOXJ3	880	1006	472	550	477	391	464	398
FOXK1	543	707	275	361	296	217	282	317
FOXK2	495	657	203	314	1092	912	1029	867
FOXM1	623	739	307	430	1481	1160	1287	1275
FOXN2	219	233	83	121	306	260	229	197
FOXN3	72	99	44	41	218	214	220	200
FOXN4	93	91	32	60	24	10	13	18
FOXO1	534	662	249	330	294	219	206	210
FOXO3	171	204	68	99	174	165	158	131
FOXO4	70	85	35	41	82	81	102	73
FOXP1	9	8	4	3	33	37	28	41
FOXP2	204	170	73	86	241	180	257	196
FOXP4	362	517	211	285	158	119	83	122
FOXRED1	516	649	196	305	553	491	521	380
FOXRED2	982	1166	443	615	1698	1413	1131	1604
FP565260.1	0	0	0	0	108	85	143	74
FPGS	492	660	226	388	549	498	531	377
FPGT	196	239	95	135	402	363	483	298
FRA10AC1	596	691	323	360	481	488	428	332
FRAS1	618	897	339	424	1264	1042	885	1014
FRAT2	96	153	46	83	55	65	34	28
FREM2	863	1089	462	602	1081	900	972	795
FRG1	145	267	98	119	276	329	289	199
FRK	17	11	6	3	33	28	27	16
FRMD3	7	8	6	6	27	29	28	18
FRMD4A	209	210	91	100	149	149	110	143
FRMD4B	139	152	54	84	85	63	76	45
FRMD5	89	96	30	43	129	130	107	101
FRMD6	315	347	153	202	306	254	352	251
FRMD8	107	161	62	82	179	170	142	88
FRMPD1	13	16	1	7	15	22	18	21
FRMPD3	11	12	5	3	30	37	29	18
FRRS1	195	203	90	112	389	310	364	260
FRRS1L	1	0	0	0	32	19	21	19
FRS2	206	249	118	140	445	365	416	344
FRS3	5	12	1	5	28	35	33	21
FRY	69	65	33	38	167	157	162	137
FRYL	562	751	319	395	1548	1420	1409	1169
FSBP	18	18	11	16	183	143	133	115
FSCN1	1308	1497	583	817	186	157	144	152
FSD1	283	348	160	187	287	274	254	236
FSD1L	41	38	27	25	213	173	149	138
FSD2	0	0	0	0	15	25	21	18
FSIP1	9	22	5	7	26	21	19	18
FSIP2	3	1	1	1	758	754	732	607
FSTL1	2215	3144	1163	1617	572	509	540	423
FTH1	156	208	65	98	819	804	686	709
FTL	385	485	131	263	2135	1602	2286	1776
FTO	787	910	378	503	1077	1007	879	798
FTSJ1	399	518	172	228	499	454	516	383
FTSJ3	2294	3069	1138	1612	3091	3025	3088	2254
FUBP1	3700	4966	2134	2696	5355	4639	5946	3909
FUBP3	1782	2400	942	1310	996	920	1266	885
FUCA1	302	392	137	193	339	371	376	257
FUCA2	1536	1725	731	881	1540	1412	1527	1027
FUK	100	138	37	66	204	174	160	137
FUNDC1	339	421	191	239	217	248	225	158
FUNDC2	163	228	74	111	441	425	458	301
FUOM	45	58	12	38	139	144	130	88
FURIN	280	323	109	170	429	381	364	331
FUS	12312	16523	6948	8858	2923	2316	2014	2512
FUT10	78	103	42	39	261	205	236	162
FUT11	197	269	94	138	152	176	137	114
FUT4	20	32	4	19	45	23	33	21
FUT8	157	163	77	89	598	507	515	415
FUZ	252	315	101	120	391	343	378	288
FXN	67	100	34	43	182	175	156	122
FXR1	2074	2247	953	1211	2224	2249	2197	1666
FXR2	1066	1438	569	759	1113	1096	1140	828
FXYD5	2234	2654	1084	1521	87	62	124	103
FYCO1	379	424	177	201	958	795	614	571
FYN	537	665	264	371	1141	1119	1150	896
FYTTD1	730	796	376	434	548	470	534	370
FZD1	172	176	83	105	84	72	82	64
FZD2	212	213	74	119	63	48	57	51
FZD3	342	443	172	224	446	406	365	316
FZD4	65	84	39	25	111	78	95	55
FZD5	215	270	100	138	77	67	86	66
FZD6	373	458	190	208	820	707	774	659
FZD7	253	281	133	168	121	110	106	88
FZD8	438	609	206	271	89	107	88	82
FZD9	37	61	17	17	80	66	88	40
FZR1	524	658	249	334	418	365	393	330
G2E3	553	632	264	341	1449	1299	1261	970
G3BP1	5456	8324	3235	4200	6907	6450	6703	4922
G3BP2	1553	1977	845	1045	3412	3516	3152	2475
G6PC3	1109	1510	495	664	264	228	232	252
G6PD	1903	2294	831	1132	594	519	563	521
GAA	329	403	148	199	748	629	692	663
GAB1	221	287	100	159	225	191	250	170
GAB2	86	86	32	50	53	30	54	28
GABARAP	1677	1818	727	954	475	422	471	311
GABARAPL1	221	298	109	135	89	103	75	59
GABARAPL2	1170	1365	568	722	612	595	600	438
GABBR1	47	38	15	16	213	161	116	182
GABBR2	13	17	8	12	39	39	43	35
GABPA	295	365	124	188	440	412	450	310
GABPB1	375	456	201	291	563	460	497	368
GABPB2	141	152	68	94	250	226	241	182
GABRB3	229	327	110	169	236	202	220	179
GAD1	99	99	41	52	201	143	168	105
GADD45A	239	314	134	171	65	83	62	58
GADD45B	46	83	25	52	55	47	81	55
GADD45GIP1	2258	3084	1028	1514	883	965	885	640
GAK	799	980	390	542	1144	1004	1181	972
GAL	8	3	0	2	256	210	289	206
GALC	75	121	53	65	68	45	53	40
GALE	538	657	273	338	252	228	244	190
GALK1	580	719	263	342	305	298	316	228
GALK2	307	336	144	163	348	309	301	202
GALM	348	436	166	255	298	249	265	167
GALNS	136	167	47	68	153	157	154	112
GALNT1	453	470	166	294	1130	1030	1040	701
GALNT10	95	124	48	65	120	129	131	133
GALNT11	163	177	78	110	736	699	710	556
GALNT12	56	76	14	21	90	85	97	57
GALNT13	124	118	57	76	915	872	734	627
GALNT16	86	88	41	56	90	78	63	78
GALNT18	135	161	53	76	281	226	302	202
GALNT2	607	877	341	462	1197	1107	1069	875
GALNT3	336	299	127	174	71	46	34	41
GALNT5	28	25	9	19	16	16	12	11
GALNT6	138	172	56	99	84	69	60	46
GALNT7	818	990	397	583	740	656	649	495
GALT	82	98	35	54	220	198	237	167
GAMT	309	500	160	201	179	197	208	143
GAN	218	280	125	166	631	615	488	361
GANAB	7325	9630	3556	4878	6693	5916	5412	5552
GANC	131	138	51	67	242	181	167	169
GAPDH	16738	20470	8015	11410	25435	21677	27075	18933
GAPDHS	27	17	11	14	233	201	224	171
GAPVD1	2311	2542	1084	1365	4049	3627	3621	2965
GAR1	778	963	419	475	301	317	290	226
GAREM1	37	45	20	20	140	123	104	99
GAREM2	82	70	35	35	80	69	72	62
GARNL3	13	11	15	6	322	296	293	261
GARS	3264	3589	1456	1864	5200	5058	4589	3597
GART	7023	8299	3335	4249	6541	6250	6156	4680
GAS1	184	261	98	129	103	90	60	48
GAS2L1	24	23	9	8	27	13	15	17
GAS2L3	354	362	164	222	333	289	323	232
GAS6	66	71	28	43	87	80	90	53
GAS7	18	20	7	14	21	13	18	17
GAS8	87	119	49	69	311	316	250	191
GASK1A	18	41	12	27	106	103	95	92
GATA2	399	472	221	267	121	95	109	91
GATA4	245	354	116	167	66	62	47	56
GATA6	644	969	375	539	187	126	133	133
GATAD1	234	245	99	127	261	232	271	189
GATAD2A	809	1092	386	488	1194	1135	1233	1035
GATAD2B	1649	1947	791	1031	524	451	316	459
GATB	405	434	165	239	665	575	654	468
GATC	132	144	39	77	60	50	40	12
GATD1	528	705	218	341	556	484	466	366
GBA	416	543	199	265	382	270	371	270
GBA2	179	262	84	129	1421	1299	1218	1025
GBE1	408	567	213	301	1020	848	894	659
GBF1	2407	3172	1233	1555	2715	2205	2137	2413
GBX2	74	112	42	41	34	39	29	19
