	untr_a_hek	untr_b_hek	tm_a_hek	tm_b_hek
ANKRD11	2813	2422	1286	1725
ANKRD12	759	771	456	660
ANKRD13A	707	671	537	668
ANKRD13B	155	127	82	97
ANKRD13C	1390	1267	996	1249
ANKRD13D	217	184	128	176
ANKRD16	114	113	104	110
ANKRD17	6703	5807	4147	5204
ANKRD18A	638	555	203	275
ANKRD18B	832	778	318	433
ANKRD20A4	18	17	19	11
ANKRD23	70	62	31	42
ANKRD24	24	21	10	13
ANKRD26	1572	1420	908	1309
ANKRD27	977	977	710	899
ANKRD28	1665	1435	1035	1387
ANKRD31	66	58	32	60
ANKRD34B	20	18	11	20
ANKRD36	1649	1587	838	1211
ANKRD36B	512	535	287	415
ANKRD36C	1373	1312	737	952
ANKRD37	30	16	18	16
ANKRD39	108	109	90	105
ANKRD40	812	741	577	713
ANKRD42	89	83	61	88
ANKRD44	131	120	113	131
ANKRD46	339	293	305	370
ANKRD49	233	221	187	206
ANKRD50	1230	1094	695	999
ANKRD52	1868	1476	702	856
ANKRD54	208	180	144	161
ANKRD6	216	172	144	215
ANKRD61	167	133	66	74
ANKRD7	31	32	27	36
ANKRD9	45	49	19	17
ANKS1A	618	483	330	461
ANKS1B	44	34	24	30
ANKS3	278	271	185	206
ANKS6	635	564	402	488
ANKZF1	534	451	327	425
ANLN	3865	3425	3078	3836
ANO10	724	649	441	604
ANO4	36	35	25	34
ANO5	599	559	474	554
ANO6	709	642	518	717
ANO8	122	111	75	111
ANP32A	2481	2518	1966	2632
ANP32B	1659	1675	750	857
ANP32E	1672	1958	1283	1625
ANTXR1	436	365	242	307
ANTXR2	103	106	74	78
ANXA1	65	70	66	84
ANXA11	844	739	641	814
ANXA2	553	544	466	579
ANXA3	19	17	15	17
ANXA4	171	147	116	161
ANXA5	3112	2983	2585	3050
ANXA6	2071	1802	1677	1952
ANXA7	1779	1463	1404	1655
ANXA9	26	29	11	19
AOC2	120	90	69	89
AP002495.2	54	62	54	54
AP002748.4	58	48	44	56
AP002956.1	175	142	129	138
AP002990.1	19	19	20	11
AP1AR	584	603	467	530
AP1B1	2344	2072	1563	2111
AP1G1	2292	1990	1302	1647
AP1G2	606	533	429	490
AP1M1	770	588	614	795
AP1S1	364	357	234	302
AP1S2	182	181	121	137
AP1S3	105	95	72	78
AP2A1	1135	888	634	935
AP2A2	1060	865	688	867
AP2B1	2172	1854	1191	1458
AP2M1	3327	3182	2743	3508
AP2S1	1192	1149	923	1180
AP3B1	2170	2154	1489	1907
AP3B2	55	53	34	26
AP3D1	2698	2362	1649	2327
AP3M1	974	873	675	924
AP3M2	595	546	405	507
AP3S1	617	586	461	552
AP3S2	94	72	47	51
AP4B1	649	609	455	522
AP4E1	691	620	463	589
AP4M1	133	124	104	127
AP4S1	59	70	50	67
AP5B1	353	314	231	268
AP5M1	713	638	591	726
AP5S1	145	97	82	116
AP5Z1	311	255	211	282
APAF1	839	821	516	699
APBA2	503	434	349	429
APBA3	162	154	126	121
APBB1	842	740	600	772
APBB2	188	169	117	154
APBB3	118	103	82	101
APC	3064	2576	1920	2579
APC2	88	76	61	62
APCDD1	23	15	17	14
APEH	2133	1891	1723	1961
APEX1	2005	2060	1413	2354
APEX2	571	502	453	538
APH1A	1105	889	1085	1266
APH1B	31	28	32	37
API5	2658	2651	1921	2346
APIP	564	557	386	492
APLF	92	84	66	92
APLP1	68	60	39	55
APLP2	5747	5530	4145	5527
APMAP	1141	992	859	1086
APOBEC3C	45	37	31	56
APOC1	73	84	60	74
APOL2	203	168	114	145
APOLD1	18	30	15	23
APOM	29	30	27	40
APOO	272	198	179	237
APOOL	295	272	162	232
APOPT1	80	64	65	88
APP	4637	4827	2996	3927
APPBP2	963	856	691	832
APPL1	2012	1709	1539	1937
APPL2	550	487	337	437
APRT	2419	2070	1858	2272
APTX	776	783	539	708
AQP11	42	38	27	24
AQR	2110	1871	1673	2054
ARAF	598	521	434	598
ARAP1	844	743	458	560
ARAP2	419	417	258	359
ARAP3	47	41	18	34
ARCN1	3159	3021	2107	2656
AREL1	722	647	598	751
ARF1	2885	2627	2535	3832
ARF3	145	133	75	91
ARF4	1121	976	955	1135
ARF5	916	877	658	846
ARF6	423	379	299	441
ARFGAP1	829	700	557	726
ARFGAP2	1025	969	734	919
ARFGAP3	468	422	371	491
ARFGEF1	1974	1749	1392	1697
ARFGEF2	2474	1995	1653	2068
ARFGEF3	460	400	263	345
ARFIP1	480	440	390	442
ARFIP2	1139	1048	890	1115
ARFRP1	214	213	130	169
ARG1	36	31	10	22
ARG2	461	407	392	484
ARGLU1	829	946	698	862
ARHGAP1	279	212	140	199
ARHGAP10	578	534	392	489
ARHGAP11A	2070	1874	1304	1668
ARHGAP12	594	504	411	528
ARHGAP17	802	602	301	417
ARHGAP18	311	291	203	252
ARHGAP19-SLIT1	26	31	16	18
ARHGAP20	77	72	61	64
ARHGAP21	1504	1269	1139	1428
ARHGAP22	244	221	137	194
ARHGAP24	56	59	45	43
ARHGAP26	243	205	117	145
ARHGAP27	47	55	27	58
ARHGAP28	64	50	47	58
ARHGAP29	494	394	333	465
ARHGAP30	17	18	10	11
ARHGAP31	128	110	74	98
ARHGAP32	500	389	280	375
ARHGAP33	59	55	20	34
ARHGAP35	2174	1868	1186	1622
ARHGAP39	198	165	120	125
ARHGAP4	20	17	15	19
ARHGAP42	167	118	85	137
ARHGAP44	171	155	115	147
ARHGAP45	73	50	51	63
ARHGAP5	4094	3653	2727	3464
ARHGDIA	1160	1083	477	706
ARHGDIG	86	92	55	64
ARHGEF1	447	383	316	420
ARHGEF10	539	483	306	416
ARHGEF10L	91	63	66	62
ARHGEF11	1155	966	686	876
ARHGEF12	4432	3725	3071	3870
ARHGEF16	61	41	43	56
ARHGEF17	117	104	62	80
ARHGEF18	16	18	11	16
ARHGEF19	22	29	14	24
ARHGEF2	500	471	294	418
ARHGEF25	338	311	238	312
ARHGEF26	732	659	409	642
ARHGEF28	60	41	62	71
ARHGEF3	206	153	115	178
ARHGEF39	254	218	151	194
ARHGEF4	303	249	197	270
ARHGEF40	132	137	95	107
ARHGEF6	207	200	165	213
ARHGEF7	587	549	346	447
ARHGEF9	311	252	202	265
ARID1A	1418	1096	476	662
ARID1B	1589	1367	808	1185
ARID2	1828	1581	1192	1602
ARID3A	93	80	52	63
ARID3B	136	97	66	101
ARID4A	577	551	340	449
ARID4B	2616	2439	1829	2313
ARID5A	72	85	59	78
ARID5B	348	258	209	279
ARIH1	1554	1478	834	1140
ARIH2	2425	2218	1886	2292
ARIH2OS	29	33	32	59
ARL1	643	593	523	723
ARL10	172	180	62	98
ARL13B	541	492	355	495
ARL14EP	458	407	343	411
ARL15	187	157	114	145
ARL16	287	240	205	310
ARL2	163	146	174	220
ARL2BP	531	455	454	553
ARL3	225	199	165	237
ARL4A	109	80	81	78
ARL4C	85	83	50	79
ARL4D	67	50	26	39
ARL5A	548	484	366	448
ARL5B	405	361	254	346
ARL6	234	236	196	246
ARL6IP1	432	379	376	447
ARL6IP4	1813	1765	1247	1493
ARL6IP5	954	924	642	882
ARL6IP6	355	251	238	319
ARL8A	199	207	123	197
ARL8B	558	469	408	448
ARMC1	609	615	514	630
ARMC10	311	260	191	233
ARMC2	64	57	46	69
ARMC4	236	223	145	181
ARMC5	219	244	170	183
ARMC6	1199	986	934	992
ARMC7	46	35	35	39
ARMC8	981	954	743	1000
ARMC9	542	506	349	423
ARMCX2	37	24	23	46
ARMCX3	370	381	244	366
ARMCX4	138	99	34	54
ARMCX5	645	570	496	588
ARMCX6	61	75	43	40
ARMH3	563	507	333	472
ARMH4	132	92	104	94
ARMT1	1310	1149	886	1248
ARNT	712	665	570	633
ARNT2	347	286	194	259
ARNTL	116	108	82	98
ARNTL2	847	721	620	723
ARPC1A	188	164	169	238
ARPC1B	62	56	43	67
ARPC2	2151	1846	1743	2146
ARPC3	1354	1320	915	1267
ARPC4-TTLL3	79	73	48	68
ARPC5	706	780	516	735
ARPC5L	233	254	137	192
ARPP19	532	496	358	430
ARRB1	137	116	95	106
ARRB2	430	368	299	448
ARRDC1	275	213	269	271
ARRDC2	43	35	50	26
ARRDC3	145	126	105	117
ARRDC4	215	214	141	176
ARSA	101	82	77	87
ARSB	242	217	174	236
ARSG	91	51	53	60
ARSK	205	166	126	170
ART5	36	36	21	41
ARV1	688	612	494	594
ARVCF	186	155	110	143
AS3MT	259	272	179	239
ASAH1	455	466	298	434
ASAP1	752	633	367	438
ASAP2	392	333	216	294
ASAP3	205	185	143	157
ASB1	192	222	145	159
ASB13	237	201	152	190
ASB14	81	70	37	43
ASB16	36	30	28	45
ASB6	509	426	383	470
ASB7	267	250	197	247
ASB8	290	274	179	229
ASCC1	494	442	339	420
ASCC2	1010	909	767	890
ASCC3	5958	5395	4405	5323
ASDURF	240	221	131	173
ASF1A	639	618	485	678
ASF1B	650	537	523	648
ASH1L	5130	4547	2686	3568
ASH2L	527	501	373	408
ASIC1	155	135	65	86
ASIC3	22	30	18	19
ASL	181	132	119	153
ASMTL	256	240	169	223
ASNA1	870	786	791	956
ASNS	2747	2556	2244	2648
ASNSD1	2237	2137	1783	2009
ASPH	1790	1647	1194	1515
ASPHD2	72	51	44	55
ASPM	13234	12162	8634	12589
ASPN	115	83	28	63
ASPRV1	21	24	12	18
ASPSCR1	397	353	290	344
ASRGL1	373	346	262	310
ASS1	397	358	330	396
ASTE1	396	293	276	341
ASTN2	54	57	41	42
ASXL1	2627	2220	1471	1973
ASXL2	1093	924	572	734
ASXL3	85	83	45	61
ATAD1	973	898	665	828
ATAD2	3570	3488	2628	3275
ATAD2B	1290	1088	864	1059
ATAD3A	882	792	649	822
ATAD3B	885	885	643	794
ATAD5	2481	2358	1309	1823
ATAT1	96	86	70	74
ATE1	848	762	516	696
ATF1	379	380	360	409
ATF2	816	766	614	763
ATF3	55	62	69	81
ATF4	7363	7197	6527	7640
ATF5	48	37	29	41
ATF6	1247	1144	1015	1240
ATF6B	425	345	336	399
ATF7IP	1358	1270	709	950
ATF7IP2	121	104	81	90
ATG10	79	59	42	74
ATG101	303	337	225	272
ATG12	132	103	109	151
ATG13	587	498	427	540
ATG14	305	325	239	306
ATG16L1	945	819	653	844
ATG16L2	117	93	83	90
ATG2A	759	699	401	572
ATG2B	1924	1685	1220	1619
ATG3	1432	1367	1209	1471
ATG4A	356	295	232	389
ATG4B	717	648	532	715
ATG4C	761	780	593	828
ATG4D	358	306	302	306
ATG5	659	593	470	599
ATG7	1001	924	701	842
ATG9A	570	458	444	558
ATIC	2187	2045	910	1414
ATL1	102	94	54	94
ATL2	1828	1816	1238	1646
ATL3	545	452	384	456
ATM	4687	4275	2982	3798
ATMIN	1114	955	867	1048
ATN1	406	315	120	121
ATOX1	158	162	156	186
ATP10D	254	247	212	257
ATP11A	490	449	224	290
ATP11B	1114	1078	835	1074
ATP11C	2264	2062	1652	2102
ATP13A1	1044	893	603	830
ATP13A2	855	741	563	749
ATP13A3	2598	2432	1870	2432
ATP1A1	11332	10489	7365	11120
ATP1B1	360	354	216	335
ATP1B3	1402	1298	1050	1322
ATP23	106	92	93	98
ATP2A1	92	59	40	57
ATP2A2	5663	5181	2621	3390
ATP2A3	18	33	12	15
ATP2B1	2538	2455	1847	2320
ATP2B4	1023	924	491	657
ATP2C1	1942	1898	1219	1544
ATP5F1A	11573	10642	9442	11363
ATP5F1B	16143	14250	13851	16618
ATP5F1C	3057	2790	2523	3131
ATP5F1D	237	191	149	198
ATP5F1E	884	702	655	952
ATP5IF1	1583	1595	1047	1381
ATP5MC1	995	780	831	1050
ATP5MC2	1452	1130	1211	1429
ATP5MC3	3762	3310	3188	3953
ATP5MD	568	629	517	677
ATP5ME	1878	2052	1236	1588
ATP5MF	840	624	886	1133
ATP5MF-PTCD1	24	20	13	11
ATP5MG	790	771	677	839
ATP5MPL	770	771	486	735
ATP5PB	3597	3212	2750	3495
ATP5PD	1831	1810	1284	1639
ATP5PF	902	691	773	1050
ATP5PO	1888	1681	1774	2360
ATP6AP1	1135	1030	954	1222
ATP6AP2	966	781	916	1155
ATP6V0A1	1455	1245	793	1033
ATP6V0A2	1140	1014	874	988
ATP6V0B	1101	795	1032	1231
ATP6V0C	163	137	85	103
ATP6V0D1	974	867	829	1009
ATP6V0E1	324	267	239	279
ATP6V0E2	295	281	210	265
ATP6V1A	3468	3198	2808	3468
ATP6V1B1	31	31	30	29
ATP6V1B2	1018	947	752	926
