	ribo_untr_a	ribo_untr_b	ribo_tm_a	ribo_tm_b	untr_a_hek	untr_b_hek	tm_a_hek	tm_b_hek
CCDC173	9	12	9	8	34	46	22	34
CCDC174	164	263	137	57	462	392	281	348
CCDC18	360	420	213	173	1940	1891	1132	1686
CCDC180	15	20	14	8	344	269	167	228
CCDC181	134	128	43	35	413	391	294	376
CCDC183	6	13	7	5	50	48	43	53
CCDC186	432	436	148	112	586	603	442	522
CCDC189	119	146	62	39	195	180	170	194
CCDC191	18	23	14	8	96	85	57	69
CCDC196	0	0	0	0	26	25	16	12
CCDC22	510	676	304	178	418	359	242	360
CCDC24	32	46	26	11	25	27	19	18
CCDC25	498	584	267	184	256	257	213	262
CCDC28A	368	393	204	124	297	315	227	269
CCDC28B	288	307	153	99	222	197	172	191
CCDC3	151	188	102	46	43	27	34	24
CCDC30	1	3	1	2	28	11	15	17
CCDC32	247	285	135	95	115	112	73	108
CCDC34	370	424	214	137	601	538	396	454
CCDC38	0	2	0	0	22	15	23	19
CCDC39	22	10	9	4	87	78	62	80
CCDC40	26	34	10	10	117	107	77	82
CCDC43	475	649	339	170	835	789	575	681
CCDC47	2543	3389	1461	830	2797	2790	1844	2197
CCDC50	749	926	377	224	423	402	261	362
CCDC51	476	638	314	198	647	655	500	557
CCDC57	59	54	27	22	615	569	324	449
CCDC58	275	359	193	116	461	521	366	493
CCDC59	768	783	410	311	825	766	724	851
CCDC6	901	1098	329	209	622	540	294	406
CCDC61	46	66	21	12	36	45	43	39
CCDC62	3	4	3	3	40	34	23	25
CCDC65	18	20	20	13	73	52	33	48
CCDC66	177	182	112	89	1836	1626	1205	1540
CCDC69	29	23	15	9	43	52	31	41
CCDC7	18	18	12	8	57	47	49	54
CCDC71	300	344	203	121	562	522	396	438
CCDC71L	83	133	46	37	86	80	48	62
CCDC73	2	1	1	2	12	31	31	31
CCDC74A	20	18	17	4	66	69	58	67
CCDC74B	20	19	8	2	34	27	28	45
CCDC77	371	412	212	132	523	509	337	430
CCDC78	1	2	2	0	75	91	69	92
CCDC8	283	362	136	93	380	398	261	326
CCDC80	56	36	18	12	49	33	39	36
CCDC82	396	495	243	155	424	426	242	314
CCDC84	35	32	29	15	240	232	151	193
CCDC85B	176	292	116	89	245	273	117	158
CCDC85C	409	581	233	121	232	247	126	141
CCDC86	1039	1212	712	377	1079	1025	632	842
CCDC88A	823	796	316	268	3376	3098	1822	2598
CCDC88B	5	8	9	2	29	13	16	14
CCDC88C	366	420	173	106	372	351	179	280
CCDC89	27	34	11	5	25	35	25	26
CCDC9	125	159	73	43	131	138	65	106
CCDC90B	165	193	115	68	411	400	373	474
CCDC91	480	516	225	159	510	478	341	408
CCDC92	110	101	41	26	145	109	57	71
CCDC93	345	453	186	141	944	898	575	761
CCDC97	411	623	256	175	190	151	85	107
CCDC9B	32	40	22	12	17	16	11	15
CCHCR1	423	469	271	171	597	598	430	560
CCM2	151	145	84	64	292	240	203	242
CCN1	467	535	197	104	58	47	54	55
CCNA2	3440	3738	1871	1252	3351	3193	2596	3170
CCNB1	5979	7189	3456	2242	6339	6088	5242	6115
CCNB1IP1	65	61	66	39	771	577	687	782
CCNB2	2668	2602	1342	922	1383	1207	1132	1498
CCNB3	28	27	12	6	66	39	39	48
CCNC	1233	1290	700	453	1505	1438	1217	1458
CCND1	1179	1410	524	326	155	189	107	171
CCND2	401	509	180	110	104	121	84	100
CCND3	608	806	306	180	222	219	218	259
CCNDBP1	698	867	381	213	492	465	367	447
CCNE1	712	938	266	221	495	423	386	449
CCNE2	509	539	245	173	710	607	551	701
CCNF	752	1007	413	251	1262	1166	850	1086
CCNG1	2840	3203	887	668	4006	3643	2951	3594
CCNG2	152	154	40	26	333	325	194	241
CCNH	1313	1326	581	450	1231	1153	787	1101
CCNI	1146	1131	332	218	2979	2580	1571	1926
CCNJ	182	209	75	31	434	358	301	429
CCNK	908	1157	434	265	499	385	215	269
CCNL1	220	264	160	110	1297	1112	1120	1347
CCNL2	306	400	175	91	1654	1579	1075	1452
CCNQ	119	159	62	33	539	464	439	525
CCNT1	1176	1479	750	449	999	901	909	1128
CCNT2	303	293	201	171	987	852	734	991
CCNY	220	232	101	53	380	389	332	425
CCNYL1	171	196	109	73	137	148	71	73
CCP110	446	497	233	162	1611	1487	891	1216
CCPG1	941	1097	557	313	675	593	537	616
CCS	224	291	102	61	207	205	177	227
CCSAP	366	485	207	151	368	344	234	286
CCSER1	35	47	26	15	309	284	242	305
CCSER2	259	298	118	70	871	793	521	751
CCT2	16447	20613	8257	5471	13922	13064	11061	13507
CCT3	18465	21799	9452	6198	19648	18088	16384	20269
CCT4	14853	17465	7746	5080	15584	14519	12058	14896
CCT5	13122	16173	7087	4364	11822	10998	10247	12484
CCT6A	6509	7365	3033	2008	9599	8872	7415	9320
CCT6B	44	36	25	13	23	21	15	18
CCT7	14345	18789	7310	4668	14533	14406	11443	13988
CCT8	11586	13223	5977	3796	10383	10025	7568	9462
CCZ1	37	37	15	4	72	57	90	108
CCZ1B	23	19	13	3	59	44	59	65
CD101	2	3	3	1	111	105	65	69
CD109	568	550	240	158	543	445	250	342
CD151	2767	3429	1269	693	589	422	536	631
CD160	0	0	0	0	14	10	10	16
CD164	2301	2623	1343	776	866	788	687	882
CD19	0	0	1	0	33	33	22	23
CD276	648	830	325	180	287	256	174	216
CD2AP	1621	1890	735	458	1395	1361	961	1301
CD2BP2	723	1121	557	314	1528	1648	1170	1410
CD320	1454	2062	848	436	920	794	640	728
CD3EAP	383	476	212	132	852	822	576	761
CD40	0	0	0	0	26	20	16	22
CD46	709	948	420	238	1454	1321	1005	1300
CD47	768	893	375	218	873	804	661	858
CD55	487	546	215	133	820	706	535	705
CD58	190	245	91	62	118	74	84	138
CD63	3297	4587	1901	1076	1438	1465	1183	1369
CD68	176	154	79	28	19	18	17	27
CD70	29	42	25	16	17	15	13	25
CD81	3287	4286	1634	978	1215	1082	818	1021
CD83	59	60	34	10	50	47	43	44
CD9	1915	2557	1026	593	215	227	235	249
CD99	701	894	344	218	651	636	429	565
CD99L2	342	443	193	102	345	312	236	319
CDADC1	58	79	46	29	192	198	155	187
CDAN1	209	294	130	78	337	292	224	279
CDC123	3714	3878	1559	1168	2984	2537	2620	3167
CDC14A	225	243	116	102	128	79	61	124
CDC14B	84	100	41	25	428	364	251	375
CDC16	1424	1548	636	417	1090	1044	649	826
CDC20	3406	4713	1895	1215	3115	2803	2235	2785
CDC23	2117	2618	1384	861	1727	1616	1280	1518
CDC25A	1321	1668	629	435	2078	1973	1678	2071
CDC25B	1811	2377	843	498	464	387	212	272
CDC25C	643	764	404	242	557	441	368	468
CDC27	1521	1781	856	591	2007	1740	1765	2182
CDC34	515	654	219	137	561	523	439	624
CDC37	3960	5559	2480	1308	3202	3271	2585	3394
CDC37L1	144	152	66	41	162	162	125	123
CDC40	975	1136	509	342	1173	1071	763	988
CDC42	727	1022	371	194	1514	1486	1204	1313
CDC42BPA	618	587	303	263	4485	4260	2816	3649
CDC42BPB	807	868	306	207	2064	1847	1014	1357
CDC42BPG	29	28	18	3	35	26	16	17
CDC42EP1	391	536	151	115	352	279	220	296
CDC42EP2	31	60	28	10	93	74	58	88
CDC42EP3	89	102	47	22	73	46	55	64
CDC42EP4	289	403	181	118	120	115	97	112
CDC42SE1	221	347	162	121	349	289	266	314
CDC42SE2	147	211	88	45	93	78	60	87
CDC45	1333	1624	765	433	2145	2002	1610	2061
CDC5L	3209	3819	2080	1375	4350	4188	3443	4320
CDC6	1503	1881	860	595	2353	2110	1933	2337
CDC7	1896	2125	1006	642	2470	2241	1869	2351
CDC73	895	1028	505	332	1359	1343	793	1117
CDCA2	1256	1633	813	551	1638	1634	1177	1521
CDCA3	1316	1581	812	511	683	590	443	638
CDCA4	721	875	430	228	508	505	368	497
CDCA5	641	949	385	272	549	570	391	510
CDCA7	987	1322	465	335	1557	1586	1047	1392
CDCA7L	878	861	404	266	1038	1049	696	889
CDCA8	903	1214	621	375	600	539	502	587
CDH1	98	76	34	16	30	28	35	38
CDH2	1861	2419	913	505	833	724	652	768
CDH23	34	51	15	7	70	71	56	57
CDH24	33	41	21	9	60	49	43	66
CDH26	4	2	0	1	40	33	25	34
CDHR1	106	85	52	29	61	50	22	56
CDHR3	5	4	1	1	28	32	23	24
CDHR5	9	0	10	3	118	89	36	42
CDIP1	448	616	240	148	150	149	87	149
CDIPT	560	732	318	174	365	307	367	431
CDK1	5797	6541	2963	2231	2678	2267	2266	2727
CDK10	56	73	53	30	430	376	299	371
CDK11A	65	69	32	28	155	142	95	175
CDK11B	293	353	154	101	391	342	267	386
CDK12	1351	1760	851	564	3179	2631	2030	2417
CDK13	560	712	271	164	2222	1961	1436	1793
CDK14	163	178	65	49	278	260	172	224
CDK16	267	279	196	82	3165	2480	2509	3258
CDK17	626	674	272	210	465	450	372	426
CDK18	89	60	39	22	63	44	34	41
CDK19	102	164	62	64	132	120	87	115
CDK2	1489	1774	824	625	953	954	890	1123
CDK20	114	172	82	45	99	88	70	83
CDK2AP1	652	882	345	249	355	349	209	288
CDK2AP2	224	322	171	90	85	86	61	70
CDK3	6	2	0	3	47	43	41	55
CDK4	2423	2920	1125	613	3009	2792	2493	3016
CDK5	500	677	310	171	428	430	340	410
CDK5R1	42	43	15	16	36	26	36	44
CDK5RAP1	785	866	474	299	1008	920	695	884
CDK5RAP2	1009	1216	560	377	3026	2778	1816	2395
CDK5RAP3	431	604	282	154	1172	1158	790	1137
CDK6	736	875	355	243	239	249	170	271
CDK7	353	371	140	114	376	353	296	357
CDK8	374	427	182	142	422	371	309	392
CDK9	627	815	406	221	406	359	260	321
CDKAL1	641	729	312	202	1125	1098	779	963
CDKL1	73	73	30	20	109	89	71	85
CDKL2	106	133	55	42	60	59	40	48
CDKL3	60	76	63	42	46	46	30	52
CDKL5	57	56	35	19	127	125	85	132
CDKN1A	518	763	403	218	67	78	52	76
CDKN1B	415	604	253	165	265	259	191	313
CDKN2A	2062	3342	1507	853	524	561	293	361
CDKN2AIP	346	460	243	155	416	322	345	483
CDKN2AIPNL	556	945	372	232	177	147	86	146
CDKN2C	265	362	243	148	414	404	303	365
CDKN2D	93	135	54	23	20	14	22	14
CDKN3	653	684	332	193	536	469	431	570
CDON	210	215	97	54	729	599	436	609
CDPF1	47	58	47	21	40	43	17	39
CDR1	12	10	18	13	341	227	85	105
CDR2L	88	112	38	16	151	170	84	105
CDRT4	2	1	1	3	54	56	48	65
CDS1	267	299	110	61	268	218	170	227
CDS2	600	692	278	178	612	507	512	611
CDT1	2021	2651	1009	626	920	788	584	723
CDV3	1090	1367	498	391	1299	1295	1022	1338
CDX2	323	493	225	163	160	125	120	130
CDYL	449	530	194	127	911	848	794	959
CEACAM1	0	2	2	0	51	35	10	17
CEBPA	647	691	378	164	43	44	18	28
CEBPB	201	236	86	62	54	46	34	41
CEBPG	1201	1124	590	422	412	364	310	352
CEBPZ	1699	1890	960	612	4743	4437	3477	4215
CEBPZOS	338	446	260	193	195	225	145	207
CECR2	411	418	177	113	591	566	327	475
CELF1	2031	2332	1066	665	1666	1480	1037	1506
CELF2	715	867	346	225	128	122	77	110
CELSR1	315	355	183	88	759	613	352	439
CELSR2	487	553	278	155	676	496	258	357
CELSR3	36	18	19	10	894	702	468	603
CEMIP	12	24	11	2	95	72	48	65
CEMIP2	214	259	122	70	642	540	515	618
CEMP1	1	0	0	0	51	53	19	26
CENPA	162	174	91	76	114	137	105	146
CENPB	444	542	289	203	1135	1181	838	1000
CENPBD1	47	38	25	11	33	25	28	24
CENPC	293	283	182	113	1135	951	841	972
CENPE	2412	3064	1459	1096	6115	6034	2976	5607
CENPF	5081	6007	3120	2248	19793	19238	12579	18049
CENPH	1022	1177	545	351	826	844	599	713
CENPI	436	519	253	184	1427	1316	979	1213
CENPJ	765	836	438	335	1324	1248	942	1215
CENPK	521	537	263	184	605	577	422	534
CENPL	147	160	94	49	344	303	307	352
CENPM	819	1060	553	296	438	429	305	341
CENPN	387	397	257	146	1030	978	721	961
CENPO	258	298	171	110	485	430	306	384
CENPP	137	168	64	55	294	281	201	250
CENPQ	476	466	256	182	351	365	263	324
CENPT	408	609	315	151	647	594	564	698
CENPU	1560	1525	665	485	1659	1696	1382	1694
CENPV	695	852	369	241	928	895	724	902
CENPW	1325	1606	732	520	770	787	493	667
CENPX	533	748	416	280	229	225	133	211
CEP104	476	589	275	166	865	854	566	716
CEP112	206	188	69	74	535	508	251	369
CEP120	383	463	189	142	757	690	561	622
CEP126	21	24	14	15	93	85	59	57
CEP128	161	149	61	47	1048	1060	686	907
CEP131	246	289	169	85	596	536	323	423
CEP135	566	613	235	179	1455	1413	931	1183
CEP152	360	380	190	134	1668	1575	999	1357
CEP162	184	255	112	92	711	660	404	539
CEP164	197	233	100	62	1023	982	628	823
CEP170	341	392	193	129	1505	1425	932	1355
CEP170B	565	702	282	130	699	605	430	503
CEP19	38	51	17	16	40	52	27	39
CEP192	1061	1198	597	401	2678	2395	1763	2221
CEP250	366	447	223	143	2001	1862	1091	1447
CEP290	814	735	389	296	2723	2789	1449	2496
CEP295	545	540	336	260	3413	3009	2590	3355
CEP350	650	760	385	257	5869	5293	3886	4866
CEP41	424	451	245	184	209	161	142	165
CEP44	271	267	155	110	473	489	305	416
CEP55	1413	1353	598	463	1217	1087	911	1153
CEP57	537	614	263	189	1290	1171	936	1185
CEP57L1	213	208	80	70	299	241	211	266
CEP63	148	145	80	53	303	258	208	296
CEP68	230	310	131	96	457	363	257	381
CEP70	180	142	71	43	534	505	364	504
CEP72	244	319	156	95	507	431	275	321
CEP76	492	593	268	195	388	379	255	324
CEP78	672	795	370	237	1833	1709	1233	1580
CEP83	295	299	88	88	1156	1082	621	844
CEP85	562	805	370	242	1266	1116	902	1102
CEP85L	264	261	115	91	648	598	448	593
CEP89	726	861	478	304	218	182	148	185
CEP95	226	284	127	82	1525	1362	856	1131
CEP97	556	644	250	194	1099	993	794	957
CEPT1	939	1104	451	284	706	564	644	760
CERCAM	331	358	142	94	558	525	367	448
CERK	351	479	151	106	786	693	688	830
CERKL	19	25	9	3	19	17	13	14
CERS1	304	423	137	80	99	99	96	106
CERS2	2066	2887	925	592	1541	1248	1265	1608
CERS4	237	325	124	67	84	81	73	67
CERS5	558	689	346	194	431	319	222	282
CERS6	642	810	310	215	594	537	403	485
CES2	39	74	36	25	455	415	316	423
CES3	70	106	44	27	162	159	120	153
CETN2	729	1032	454	305	725	712	457	661
CETN3	725	902	408	260	447	422	279	367
CFAP126	0	1	1	1	131	110	77	76
CFAP157	2	0	1	0	43	35	29	27
CFAP20	918	943	506	349	577	453	486	597
CFAP221	6	3	0	0	20	14	17	18
CFAP298	173	235	80	62	228	206	162	185
CFAP36	484	530	228	161	844	722	668	805
CFAP410	64	102	50	30	136	116	103	94
CFAP43	17	31	15	6	55	38	28	47
CFAP44	11	8	4	5	938	896	544	700
CFAP54	44	37	19	8	37	34	20	37
CFAP69	52	62	22	20	184	169	120	154
CFAP70	41	27	20	16	102	121	71	99
CFAP97	710	700	321	244	740	629	580	814
CFD	49	68	44	25	49	46	17	35
CFDP1	590	773	290	200	1091	1111	910	1178
CFL1	5586	8181	3665	2061	5361	5393	3912	4981
CFL2	1414	1594	804	459	619	622	397	536
CFLAR	128	173	90	50	279	240	139	230
CGGBP1	547	632	251	124	739	656	580	765
CGN	162	181	109	62	386	317	238	309
CGNL1	140	132	88	55	68	44	36	60
CGREF1	62	83	38	22	34	41	19	24
CGRRF1	116	135	55	46	193	184	177	204
CHAC2	431	544	209	159	410	410	272	359
CHAF1A	1223	1603	657	469	2574	2558	1667	2137
CHAF1B	1332	1509	621	452	1279	1123	869	1174
CHAMP1	1027	1241	610	382	423	394	184	249
CHCHD1	1054	1358	728	385	381	352	238	297
CHCHD10	1094	1257	570	285	116	105	68	91
CHCHD2	1709	2290	841	497	1723	1473	1451	1737
CHCHD3	765	937	398	244	878	856	583	808
CHCHD4	322	411	219	128	321	279	230	329
CHCHD5	216	250	119	54	95	70	63	73
CHCHD6	228	307	94	67	287	265	199	263
CHCHD7	309	310	156	104	510	531	343	489
CHD1	2177	2468	1014	764	5611	5461	4007	5240
CHD1L	967	1142	486	305	3595	3293	2430	2898
CHD2	316	443	166	112	2452	2290	1553	1953
CHD3	696	812	422	257	2589	2434	1657	2247
CHD4	1176	1307	602	413	1827	1789	1260	1625
CHD5	33	39	23	18	27	33	13	15
CHD6	561	786	373	201	2608	2415	1679	2328
CHD7	865	1000	493	292	3451	2999	1819	2525
CHD8	1969	2410	1253	853	5993	5254	3759	4791
CHD9	483	513	310	203	2769	2406	1819	2317
CHDH	176	239	111	67	289	268	241	289
CHEK1	886	1034	541	350	1344	1202	976	1216
CHEK2	948	900	459	273	787	743	629	836
CHERP	2267	3312	1543	957	636	436	204	322
CHFR	212	256	150	75	266	211	121	165
CHGA	16	24	14	8	12	16	11	15
CHIC1	39	74	22	20	83	75	44	64
CHIC2	147	169	62	42	166	174	126	174
CHID1	788	938	362	191	763	721	544	750
CHKA	357	395	178	109	395	380	295	381
CHKB	43	59	40	22	312	293	216	237
CHM	359	479	240	139	530	501	413	503
CHML	434	443	225	134	1435	1360	1082	1384
CHMP1A	745	996	442	282	483	476	347	400
CHMP1B	482	630	282	204	266	290	190	244
CHMP2A	1003	1300	570	329	528	528	337	524
CHMP2B	1029	1069	515	354	948	955	788	967
CHMP4A	13	26	13	10	75	64	27	46
CHMP4B	633	701	301	184	541	522	258	372
CHMP4C	193	184	103	73	41	39	35	40
CHMP5	1194	1288	644	405	999	1088	697	892
CHMP6	139	154	72	56	123	112	96	124
CHMP7	506	556	252	152	506	448	316	405
CHN1	222	253	70	52	412	416	339	406
CHORDC1	307	510	182	128	1107	1093	717	1044
CHP1	377	467	195	106	202	187	168	197
CHPF	465	709	315	163	298	277	168	225
CHPF2	232	370	168	105	457	362	309	400
CHPT1	761	803	281	191	1006	855	757	822
CHRAC1	282	322	142	98	108	114	69	117
CHRDL1	0	1	1	0	27	20	16	25
CHRNA10	1	1	0	1	15	14	10	16
CHRNA3	8	11	5	3	91	75	54	54
CHRNA5	357	400	219	108	920	815	683	839
CHRNA7	38	25	15	15	27	25	19	21
CHRNB1	38	48	20	8	25	32	16	18
CHRNG	0	0	0	0	74	69	34	38
CHST10	216	268	142	81	369	340	318	392
CHST11	341	441	155	99	73	73	63	87
CHST12	182	241	94	54	182	173	94	142
CHST14	366	567	202	122	98	75	54	55
CHST15	108	103	51	30	142	122	95	146
CHST2	2	2	3	4	62	57	45	37
CHST3	90	106	60	27	48	46	29	44
CHST7	101	109	44	23	71	48	36	38
CHSY1	130	143	64	42	1023	1004	740	890
CHSY3	115	144	67	37	170	126	124	129
CHTF18	318	439	223	134	1085	963	777	1034
CHTF8	183	238	147	87	190	142	124	206
CHTOP	1329	1869	937	649	1199	1234	872	1181
CHUK	682	896	331	210	2142	1957	1469	1847
CHURC1	128	154	116	62	66	44	16	22
CIAO1	1208	1387	505	308	1226	1201	920	1111
CIAO2A	366	368	328	159	577	629	431	489
CIAO2B	767	858	430	219	554	488	426	604
CIAO3	275	364	160	115	257	234	217	268
CIAPIN1	648	825	339	201	866	939	674	793
CIB1	568	667	331	218	486	384	347	446
CIB2	32	32	11	13	79	61	76	81
CIC	389	546	244	148	687	576	292	397
CIDEB	1	1	2	0	264	262	212	236
CILP2	157	244	80	71	72	63	35	56
CINP	582	718	412	264	545	516	333	520
CIP2A	1471	1528	733	502	3619	3355	2580	3313
CIPC	156	176	70	44	232	215	173	254
CIR1	335	409	228	160	408	413	315	415
CIRBP	544	850	368	264	1293	1233	999	1433
CISD1	401	576	263	142	414	397	315	377
CISD2	681	789	372	238	416	378	269	328
CISD3	178	213	92	45	57	37	45	83
CIT	1164	1366	584	393	1651	1489	844	1079
CITED1	10	25	5	3	144	135	91	106
CITED2	528	750	354	211	146	142	116	147
CIZ1	1068	1393	569	363	1375	1134	858	1125
CKAP2	4971	5751	3009	2047	4114	3840	2714	3649
CKAP2L	524	638	294	227	919	793	602	799
CKAP4	1681	2361	908	487	948	824	667	869
CKAP5	7665	8699	3765	2658	11544	10768	8158	10165
CKB	26464	33969	13953	8263	5868	5039	5065	7225
CKLF	69	109	40	18	171	139	142	184
CKMT1A	21	38	22	10	54	55	31	35
CKMT1B	16	42	15	6	66	65	52	64
CKMT2	13	18	8	4	98	80	25	45
CKS1B	7	5	8	4	25	20	24	28
CKS2	1184	1273	670	518	1126	885	937	1182
CLASP1	767	883	478	295	1677	1485	1038	1281
CLASP2	1015	1162	527	342	3603	3187	2563	3334
CLASRP	322	456	164	101	520	458	347	474
CLBA1	54	65	45	17	77	68	65	74
CLCC1	845	1027	433	259	1484	1436	957	1265
CLCN2	51	59	29	10	105	110	68	91
CLCN3	470	533	234	169	1249	1176	936	1350
CLCN5	135	178	70	37	355	300	268	307
CLCN6	78	90	54	25	297	267	139	207
CLCN7	410	528	223	122	637	465	437	504
CLDN12	261	304	138	90	206	159	161	208
CLDN15	13	5	4	2	71	68	37	56
CLDN20	0	0	0	0	80	84	24	32
CLDND1	461	467	234	156	771	668	580	859
CLEC11A	113	144	51	26	29	19	11	11
CLEC16A	131	205	60	43	531	491	290	406
CLEC2D	5	1	2	0	62	34	29	38
CLGN	455	486	186	107	604	640	525	565
CLHC1	24	20	12	5	113	103	69	93
CLIC1	2070	2485	1157	738	1858	1739	1467	1811
CLIC4	1106	1352	644	393	505	480	355	397
CLINT1	2861	3398	1516	1075	2072	1860	1769	2227
CLIP1	787	903	452	302	1543	1401	950	1163
CLIP2	30	29	12	7	74	54	31	42
CLIP3	29	28	24	19	64	47	28	23
CLIP4	139	159	61	49	428	383	275	334
CLK1	363	466	292	186	1417	1456	1017	1302
CLK2	225	286	148	110	1115	1006	683	960
CLK3	608	742	328	214	644	581	462	593
CLK4	214	240	134	82	586	570	363	484
CLMN	194	186	82	49	172	170	107	140
CLN5	113	130	52	31	277	274	174	240
CLN6	516	703	227	127	436	341	418	542
CLN8	34	49	17	18	35	30	31	30
CLNS1A	2394	2893	1195	724	2472	2456	1639	2056
CLOCK	166	156	89	44	507	435	404	453
CLP1	304	417	227	134	437	400	369	451
CLPB	1027	1224	647	368	1827	1651	1342	1538
CLPP	1341	1628	699	449	610	582	548	679
CLPTM1	1500	1981	678	364	1082	913	751	1044
CLPTM1L	1131	1492	578	315	2118	2044	1702	2150
CLPX	1287	1304	639	402	1021	966	726	900
CLSPN	2261	2849	1403	955	3735	3519	2401	3115
CLSTN1	2119	2725	1143	621	1676	1504	835	1094
CLSTN3	405	435	197	116	206	155	131	147
CLTA	1993	2450	978	598	1781	1641	1290	1557
CLTB	784	1134	428	294	609	636	473	633
CLTC	22344	26725	11350	7845	18646	16814	12349	15504
CLTCL1	285	328	154	85	910	782	534	732
CLU	2124	2444	960	553	145	126	114	136
CLUAP1	270	316	142	99	325	354	246	338
CLUH	2909	3899	1709	1034	2178	1890	1273	1871
CLUL1	8	12	1	3	15	11	12	14
CLVS2	10	7	4	0	22	19	12	11
CLYBL	46	54	18	16	91	81	48	80
CMAS	1273	1379	684	438	1183	1224	763	967
CMBL	1629	1790	684	493	183	167	84	100
CMC1	245	331	128	92	223	215	164	264
CMC2	238	315	155	83	242	310	200	258
CMC4	100	147	74	42	220	252	153	241
CMIP	411	454	206	109	202	184	79	111
CMPK1	1210	1539	679	447	801	727	518	673
CMSS1	630	641	314	231	1582	1394	1175	1370
CMTM1	0	2	1	1	21	18	17	19
CMTM3	132	173	55	31	62	53	49	61
CMTM4	137	133	52	23	184	187	101	149
CMTM6	776	863	372	242	577	538	407	524
CMTM7	167	263	132	67	217	187	173	178
CMTM8	186	258	91	63	88	83	63	75
CMTR1	1489	1761	875	593	2143	2028	1558	2014
CMTR2	276	298	111	82	374	306	273	341
CMYA5	5	4	0	3	67	61	31	58
CNBP	5708	7954	3989	2182	3355	2979	2542	3254
CNDP2	1055	1388	543	352	605	564	402	590
CNEP1R1	38	49	22	7	51	30	24	38
CNIH1	1106	1521	636	442	464	416	384	481
CNIH4	1221	1344	654	481	1064	942	876	1116
CNKSR3	282	378	109	70	320	275	217	280
CNN2	775	964	346	176	200	165	163	215
CNN3	4155	4498	1829	1253	2108	1813	1609	1944
CNNM1	262	370	192	105	100	75	46	47
CNNM2	161	214	82	54	219	248	162	197
CNNM3	307	361	170	87	350	336	231	308
CNNM4	201	242	96	68	248	188	152	218
CNOT1	4789	5389	2252	1516	14401	12273	9315	11485
CNOT10	1220	1380	607	367	2269	2107	1707	2163
CNOT11	990	1110	466	286	774	797	659	728
CNOT2	950	1102	660	426	1273	1075	1048	1275
CNOT3	1111	1439	566	359	672	524	291	423
CNOT4	382	493	223	144	369	302	224	283
CNOT6	505	533	279	193	1573	1363	739	1035
CNOT6L	178	173	82	60	294	265	149	241
CNOT7	248	227	115	72	1270	1259	952	1158
CNOT8	612	774	308	222	528	555	399	467
CNOT9	1387	1406	644	378	834	738	616	790
CNP	1299	1755	709	440	761	724	518	772
CNPPD1	394	679	287	174	171	147	139	185
CNPY3	350	392	129	100	363	317	213	293
CNPY4	67	96	55	34	120	117	91	98
CNRIP1	51	78	35	20	69	37	35	43
CNST	110	113	43	27	384	315	244	367
CNTF	4	2	5	0	63	58	37	51
CNTLN	318	368	137	92	610	567	365	558
CNTN1	301	267	99	63	261	211	183	238
CNTN2	0	2	0	0	20	18	11	12
CNTNAP1	62	60	24	11	70	65	45	53
CNTNAP2	187	204	115	57	38	48	23	46
CNTNAP3	6	16	1	2	54	34	31	28
CNTNAP3B	2	1	0	0	31	17	21	26
CNTRL	252	242	160	86	1119	1043	634	900
CNTROB	79	106	42	31	741	662	494	655
COA1	382	527	320	183	636	544	540	651
COA3	395	699	320	156	328	325	204	295
COA4	746	909	512	290	471	486	362	478
COA5	142	154	77	40	89	94	68	80
COA6	994	1203	677	408	732	663	429	565
COA7	455	639	351	163	690	679	474	588
COASY	614	692	384	226	760	646	426	606
COBL	204	247	93	58	261	226	121	184
COBLL1	331	354	181	112	323	325	224	283
COCH	3710	4154	1586	928	1374	1183	979	1288
COG1	575	704	310	196	751	682	450	510
COG2	933	1070	515	319	1972	1913	1513	1889
COG3	391	470	246	159	669	610	530	629
COG4	744	873	434	236	1124	1048	886	1048
COG5	1158	1123	601	383	986	878	653	897
COG6	943	963	382	261	647	586	420	573
COG7	424	482	256	157	371	329	247	323
COG8	371	443	205	124	309	267	255	326
COIL	594	794	414	272	1145	1037	947	1133
COL10A1	2	0	1	0	178	167	110	149
COL11A2	8	8	7	1	55	45	31	33
COL12A1	23	31	15	12	77	67	44	42
COL13A1	23	23	10	6	67	60	33	45
COL14A1	815	923	395	252	240	214	150	209
COL18A1	301	454	130	72	887	833	473	571
COL19A1	31	39	13	8	75	63	37	51
COL1A1	111	130	48	23	71	79	22	43
COL24A1	19	17	10	4	45	46	35	35
COL25A1	199	255	136	71	224	232	120	170
COL26A1	47	63	19	10	16	17	14	10
COL27A1	26	28	22	5	380	298	187	238
COL2A1	86	94	36	23	669	595	307	448
COL4A1	1059	1480	594	290	815	743	528	675
COL4A2	791	1181	403	205	1088	1042	694	835
COL4A3	32	48	17	5	56	54	43	43
COL4A3BP	380	529	216	132	672	648	389	458
COL4A4	200	246	100	57	59	45	40	49
COL4A5	272	367	150	83	1080	1012	638	808
COL4A6	136	187	68	57	356	341	275	326
COL5A1	109	131	37	29	205	203	83	130
COL5A2	365	417	228	97	63	66	45	80
COL6A1	1130	1501	599	312	609	512	271	426
COL6A2	337	428	153	83	279	274	196	282
COL6A5	0	1	2	2	12	22	17	19
COL6A6	2	2	0	1	47	23	17	27
COL7A1	6	10	4	3	256	258	140	175
COLEC12	291	341	143	85	157	160	118	153
COLGALT1	1124	1427	530	288	953	927	652	941
