	untr_a_hek	untr_b_hek	isrib_a_hek	isrib_b_hek
ITPRIPL1	416	392	298	252
ITPRIPL2	162	146	111	85
ITSN1	1218	1112	1199	964
ITSN2	991	949	939	738
IVD	653	526	519	498
IVNS1ABP	2904	2802	2453	1827
IWS1	2318	2305	2119	1657
JADE1	986	900	849	649
JADE2	93	95	79	66
JADE3	492	503	414	409
JAG1	67	73	71	75
JAG2	307	268	221	235
JAGN1	367	343	471	291
JAK1	2924	2794	2599	2201
JAK2	207	206	191	169
JAK3	22	12	20	20
JAKMIP1	61	77	67	54
JAM3	568	583	495	399
JARID2	919	823	832	729
JAZF1	51	31	49	33
JCAD	302	293	197	213
JDP2	22	28	12	11
JHY	56	44	29	38
JKAMP	462	418	481	303
JMJD1C	1877	1691	1771	1477
JMJD4	1342	1175	1142	886
JMJD6	567	541	506	364
JMJD8	364	308	376	262
JMY	675	573	534	474
JOSD1	366	316	370	276
JOSD2	88	58	56	47
JPH1	348	261	282	246
JPH3	142	109	85	96
JPT1	2143	2017	2116	1464
JPT2	1313	1291	1271	935
JRK	291	310	269	226
JRKL	139	138	90	86
JTB	1422	1368	1210	889
JUN	619	580	620	557
JUNB	40	29	44	28
JUND	126	125	154	132
JUP	246	188	185	241
KALRN	116	107	86	94
KANK1	314	253	320	221
KANK2	173	179	174	114
KANK3	36	32	45	31
KANSL1	1633	1296	1168	1244
KANSL1L	495	513	439	383
KANSL2	992	993	847	725
KANSL3	1248	1024	1086	956
KARS	4668	4312	4696	3442
KAT14	816	831	732	538
KAT2A	945	816	881	853
KAT2B	309	268	268	218
KAT5	933	870	1076	729
KAT6A	3125	2515	2573	2443
KAT6B	1090	896	1013	933
KAT7	1249	1069	1118	915
KAT8	587	581	538	370
KATNA1	1029	915	905	706
KATNAL1	427	445	346	285
KATNAL2	55	43	48	41
KATNB1	872	696	885	687
KATNBL1	253	227	217	150
KAZN	60	73	48	59
KBTBD2	744	651	585	502
KBTBD3	42	43	60	43
KBTBD4	481	426	480	363
KBTBD6	738	644	663	469
KBTBD7	233	194	208	158
KBTBD8	441	435	482	321
KCMF1	574	593	598	459
KCNAB1	29	15	19	27
KCNAB2	39	23	31	28
KCNAB3	24	20	20	22
KCNB2	175	166	144	128
KCNC3	33	22	23	34
KCNC4	102	94	61	77
KCNG1	137	107	129	88
KCNG3	120	123	120	66
KCNIP2	30	17	14	26
KCNIP4	24	19	21	20
KCNJ11	37	35	37	21
KCNJ12	31	20	30	16
KCNJ13	149	122	91	125
KCNJ14	40	26	24	36
KCNJ8	262	219	207	157
KCNK1	47	39	39	41
KCNK5	68	58	64	66
KCNMB4	74	65	49	51
KCNN1	19	16	16	20
KCNN2	19	16	22	14
KCNQ1	31	28	34	25
KCNQ2	235	231	230	184
KCNQ4	28	12	25	16
KCNQ5	273	247	236	213
KCNRG	218	172	153	163
KCNT2	226	169	142	132
KCNV2	48	55	37	32
KCTD1	132	114	96	80
KCTD10	332	297	281	232
KCTD12	187	159	145	123
KCTD13	142	118	103	115
KCTD15	264	235	238	169
KCTD17	171	179	199	132
KCTD18	192	159	145	106
KCTD19	29	32	36	33
KCTD2	150	146	125	113
KCTD20	1039	947	923	755
KCTD21	60	31	48	35
KCTD3	3086	2877	2696	2037
KCTD4	38	23	24	26
KCTD5	382	318	351	259
KCTD6	171	142	182	117
KCTD7	64	51	54	54
KCTD9	169	167	134	137
KDELC1	352	316	352	243
KDELC2	984	897	950	722
KDELR1	795	558	835	646
KDELR2	1500	1291	1571	1116
KDELR3	150	142	135	101
KDM1A	5267	4940	4651	3502
KDM1B	977	885	777	801
KDM2A	1544	1409	1211	1262
KDM2B	662	571	563	488
KDM3A	1551	1333	1327	1246
KDM3B	3528	3151	3044	2698
KDM4A	1837	1657	1468	1328
KDM4B	488	453	485	442
KDM4C	538	486	584	429
KDM4D	89	85	83	52
KDM5A	3640	3409	3112	2540
KDM5B	2401	2165	1933	1609
KDM5C	4807	4298	4067	3790
KDM6A	1942	1602	1939	1576
KDM6B	112	85	55	87
KDM7A	265	286	279	232
KDM8	116	105	112	99
KDSR	308	266	253	179
KEAP1	978	991	944	687
KHDC4	1314	1109	1266	1060
KHDRBS1	3404	3062	2594	2553
KHDRBS3	230	262	214	195
KHK	255	232	227	155
KHNYN	332	344	320	246
KHSRP	5333	4307	4180	5149
KIAA0040	40	23	42	33
KIAA0100	5859	5188	5387	4519
KIAA0232	1239	1166	1080	860
KIAA0319	23	19	21	18
KIAA0319L	1097	966	931	874
KIAA0355	346	298	357	274
KIAA0408	339	298	295	249
KIAA0513	76	79	57	58
KIAA0556	467	421	397	372
KIAA0586	1530	1314	1409	1110
KIAA0753	674	599	518	495
KIAA0825	41	44	44	41
KIAA0895	494	452	454	299
KIAA0895L	73	61	76	75
KIAA0930	507	448	483	372
KIAA1109	3297	2904	2962	2258
KIAA1143	141	127	146	105
KIAA1147	366	331	326	216
KIAA1191	880	823	947	675
KIAA1211	235	222	204	187
KIAA1211L	13	16	14	12
KIAA1217	72	36	40	45
KIAA1257	127	86	83	97
KIAA1324L	466	403	426	307
KIAA1328	139	126	123	113
KIAA1522	175	137	106	130
KIAA1549	509	339	306	407
KIAA1549L	115	111	92	139
KIAA1586	973	959	1002	723
KIAA1614	43	38	35	53
KIAA1671	1429	1196	923	1068
KIAA1841	285	249	196	190
KIAA1958	483	374	340	413
KIAA2013	278	253	338	263
KIAA2026	657	584	572	472
KIDINS220	2855	2654	2996	2268
KIF11	4958	4602	4384	3559
KIF13A	1073	965	969	802
KIF13B	341	305	244	247
KIF14	2973	2795	2488	2032
KIF15	1932	1748	1649	1328
KIF16B	739	692	640	493
KIF17	121	136	98	81
KIF18A	1214	1113	1160	855
KIF18B	730	598	693	616
KIF1A	812	693	723	683
KIF1B	2582	2335	2052	1969
KIF1BP	1012	930	798	756
KIF1C	2671	2474	2418	1994
KIF20A	2267	1973	2463	1627
KIF20B	3414	3435	3055	2459
KIF21A	1677	1456	1600	1183
KIF21B	59	52	44	57
KIF22	2454	2233	2459	1932
KIF23	3615	3443	3349	2508
KIF24	650	505	539	505
KIF26A	506	444	405	370
KIF26B	80	69	48	82
KIF27	214	161	179	142
KIF2A	1702	1617	1269	1191
KIF2C	1825	1613	1787	1304
KIF3A	1081	1107	962	788
KIF3B	877	840	799	615
KIF3C	127	94	94	110
KIF4A	2621	2381	2297	1870
KIF5A	169	162	151	179
KIF5B	4657	4495	4411	3468
KIF5C	484	447	420	344
KIF6	41	34	44	33
KIF7	1087	1036	847	839
KIF9	110	113	102	77
KIFAP3	853	876	785	587
KIFC1	1198	1150	1193	979
KIFC2	157	168	146	113
KIFC3	103	87	107	72
KIN	400	399	373	273
KIRREL1	281	256	231	224
KIT	230	210	142	151
KITLG	131	115	153	97
KIZ	513	489	490	376
KLB	41	29	32	16
KLC1	271	286	203	191
KLC2	648	544	507	563
KLC3	179	167	169	138
KLC4	337	301	293	228
KLF10	274	211	365	258
KLF11	168	169	184	130
KLF12	158	162	170	165
KLF13	45	36	28	15
KLF15	122	93	97	88
KLF16	43	38	46	24
KLF3	140	138	139	113
KLF4	21	16	26	19
KLF5	62	53	93	54
KLF6	134	117	112	100
KLF7	37	21	29	23
KLF9	93	86	74	57
KLHDC10	437	434	473	337
KLHDC2	1045	995	1021	708
KLHDC3	1572	1461	1659	1103
KLHDC4	740	683	568	517
KLHDC8B	81	71	73	60
KLHL11	1140	1098	1047	803
KLHL12	927	833	817	555
KLHL13	603	533	566	418
KLHL15	1074	1005	1203	930
KLHL17	267	224	238	207
KLHL18	567	535	523	432
KLHL2	248	207	227	153
KLHL20	460	408	447	349
KLHL21	338	280	326	268
KLHL22	496	429	426	345
KLHL23	1303	1214	1092	900
KLHL24	356	320	292	233
KLHL25	157	128	143	106
KLHL26	88	71	85	66
KLHL28	266	273	287	197
KLHL29	144	128	112	124
KLHL32	35	32	26	27
KLHL36	179	151	151	116
KLHL41	26	35	29	17
