	ribo_untr_a	ribo_untr_b	ribo_tmisrib_a	ribo_tmisrib_b
ANGPTL1	4	0	6	4
ANGPTL3	0	0	0	0
ANGPTL4	0	0	0	0
ANGPTL7	0	1	0	0
ANK1	84	140	86	92
ANK2	563	572	561	503
ANK3	385	398	387	378
ANKAR	6	0	0	2
ANKEF1	128	117	99	71
ANKFY1	1483	1715	1285	1213
ANKH	206	239	182	199
ANKHD1	52	66	59	67
ANKIB1	243	243	209	195
ANKLE1	4	0	2	1
ANKLE2	1316	1529	1001	1008
ANKMY1	22	21	20	28
ANKMY2	439	404	367	380
ANKRA2	88	87	75	70
ANKRD10	200	218	126	134
ANKRD11	581	720	600	492
ANKRD12	184	199	150	189
ANKRD13A	502	548	417	441
ANKRD13B	236	285	190	174
ANKRD13C	291	344	198	216
ANKRD13D	52	58	44	29
ANKRD16	85	125	75	98
ANKRD17	2894	3329	2442	2719
ANKRD18A	38	48	44	33
ANKRD18B	23	28	15	21
ANKRD20A4	0	1	0	1
ANKRD23	2	7	5	9
ANKRD24	4	2	6	7
ANKRD26	609	646	528	515
ANKRD27	671	750	494	417
ANKRD28	961	1034	801	811
ANKRD31	24	19	16	13
ANKRD34B	22	18	13	19
ANKRD36	16	9	18	16
ANKRD36B	16	14	11	5
ANKRD36C	15	20	30	9
ANKRD37	10	14	16	20
ANKRD39	152	217	135	140
ANKRD40	347	446	325	288
ANKRD42	90	103	61	92
ANKRD44	91	100	80	64
ANKRD46	421	519	317	323
ANKRD49	50	78	37	51
ANKRD50	421	483	343	366
ANKRD52	1594	1998	1323	1312
ANKRD54	260	361	219	202
ANKRD6	88	71	89	55
ANKRD61	1	0	2	0
ANKRD7	14	13	10	12
ANKRD9	22	29	16	20
ANKS1A	553	722	502	474
ANKS1B	45	32	31	31
ANKS3	102	156	73	91
ANKS6	166	222	178	153
ANKZF1	322	401	258	246
ANLN	2527	2958	2040	2295
ANO10	327	380	286	263
ANO4	24	24	12	18
ANO5	429	464	355	350
ANO6	661	720	508	570
ANO8	79	91	75	78
ANP32A	1522	1942	1163	1228
ANP32B	1471	1985	1249	1257
ANP32E	2665	3375	2114	2247
ANTXR1	349	470	307	327
ANTXR2	200	239	156	154
ANXA1	923	1194	730	748
ANXA11	2122	2397	1647	1613
ANXA2	1311	1661	1002	1064
ANXA3	277	275	166	166
ANXA4	310	397	247	236
ANXA5	3669	4475	3210	2986
ANXA6	3000	3243	2335	2479
ANXA7	2764	3073	2134	2238
ANXA9	17	12	6	6
AOC2	3	4	8	6
AP001781.2	6	8	5	12
AP002495.2	31	43	18	29
