	ribo_untr_a	ribo_untr_b	ribo_tm_a	ribo_tm_b
ALKBH3	248	229	110	50
ALKBH4	208	382	163	95
ALKBH5	510	735	283	160
ALKBH6	493	569	371	203
ALKBH7	247	323	100	71
ALKBH8	161	174	90	57
ALMS1	862	849	471	320
ALOX12	6	10	11	4
ALPK1	70	72	38	31
ALPL	16	13	7	7
ALS2	376	407	241	125
ALX1	216	220	162	93
ALX3	2	0	0	0
ALX4	68	80	44	23
ALYREF	4989	5975	2564	1580
AMACR	220	240	117	83
AMBRA1	560	735	350	232
AMD1	600	703	358	246
AMDHD2	123	143	72	42
AMER1	90	151	56	30
AMFR	1049	1202	476	273
AMH	39	58	25	10
AMIGO1	27	26	13	11
AMIGO3	2	1	2	0
AMMECR1	200	321	123	93
AMMECR1L	158	198	82	56
AMN1	155	112	64	46
AMOT	183	173	101	77
AMOTL1	888	1164	467	297
AMOTL2	212	369	140	95
AMPD2	561	676	298	192
AMPH	130	172	72	37
AMZ2	477	503	184	134
ANAPC1	343	345	188	140
ANAPC10	136	115	61	40
ANAPC11	728	927	366	232
ANAPC13	263	366	165	118
ANAPC15	156	208	99	45
ANAPC16	461	637	318	195
ANAPC2	525	839	374	210
ANAPC4	746	779	302	238
ANAPC5	3174	3216	1695	1048
ANAPC7	2398	3195	1453	972
ANGEL1	287	379	201	124
ANGEL2	361	431	256	158
ANGPT2	3	2	1	3
ANGPTL1	4	0	2	0
ANGPTL3	0	0	0	0
ANGPTL4	0	0	0	0
ANGPTL7	0	1	0	0
ANK1	84	140	37	35
ANK2	563	572	256	184
ANK3	385	398	283	157
ANKAR	6	0	1	0
ANKEF1	128	117	67	42
ANKFY1	1483	1715	794	550
ANKH	206	239	100	62
ANKHD1	52	66	44	24
ANKIB1	243	243	91	88
ANKLE1	4	0	1	2
ANKLE2	1316	1529	611	355
ANKMY1	22	21	18	9
ANKMY2	439	404	209	145
ANKRA2	88	87	48	34
ANKRD10	200	218	88	63
ANKRD11	581	720	319	210
ANKRD12	184	199	106	68
ANKRD13A	502	548	213	139
ANKRD13B	236	285	90	54
ANKRD13C	291	344	178	132
ANKRD13D	52	58	22	10
ANKRD16	85	125	52	33
ANKRD17	2894	3329	1881	1215
ANKRD18A	38	48	27	28
ANKRD18B	23	28	17	17
ANKRD20A4	0	1	0	1
ANKRD23	2	7	9	2
ANKRD24	4	2	4	5
ANKRD26	609	646	275	191
ANKRD27	671	750	295	166
ANKRD28	961	1034	483	322
ANKRD31	24	19	16	11
ANKRD34B	22	18	8	12
ANKRD36	16	9	12	12
ANKRD36B	16	14	8	3
ANKRD36C	15	20	17	12
ANKRD37	10	14	9	9
ANKRD39	152	217	106	42
ANKRD40	347	446	185	123
ANKRD42	90	103	46	18
ANKRD44	91	100	39	25
ANKRD46	421	519	205	163
ANKRD49	50	78	40	25
ANKRD50	421	483	242	158
ANKRD52	1594	1998	896	523
ANKRD54	260	361	191	89
ANKRD6	88	71	50	30
ANKRD61	1	0	0	0
ANKRD7	14	13	13	5
ANKRD9	22	29	13	6
ANKS1A	553	722	353	234
ANKS1B	45	32	13	6
ANKS3	102	156	63	36
ANKS6	166	222	103	55
ANKZF1	322	401	187	148
ANLN	2527	2958	1574	1087
ANO10	327	380	151	92
ANO4	24	24	4	5
ANO5	429	464	248	168
ANO6	661	720	287	210
ANO8	79	91	39	30
ANP32A	1522	1942	729	473
ANP32B	1471	1985	729	485
ANP32E	2665	3375	1426	1049
ANTXR1	349	470	180	104
ANTXR2	200	239	80	60
ANXA1	923	1194	570	412
ANXA11	2122	2397	940	595
ANXA2	1311	1661	647	417
ANXA3	277	275	98	60
ANXA4	310	397	162	84
ANXA5	3669	4475	2013	1244
ANXA6	3000	3243	1395	840
ANXA7	2764	3073	1550	1011
ANXA9	17	12	7	5
AOC2	3	4	2	1
AP001781.2	6	8	11	3
AP002495.2	31	43	25	12
AP002748.4	10	15	8	5
AP002956.1	152	216	87	47
AP1AR	158	149	94	50
AP1B1	3646	4301	1683	1126
AP1G1	1780	2097	1111	734
AP1G2	204	187	118	70
AP1M1	1692	2111	853	552
AP1S1	987	1171	531	294
AP1S2	175	195	92	75
