	ribo_untr_a	ribo_untr_b	ribo_isrib_a	ribo_isrib_b
GFOD1	53	79	27	32
GFOD2	76	100	37	42
GFPT1	1867	2077	848	1122
GFPT2	233	228	118	124
GGA1	504	676	227	336
GGA2	1081	1398	530	715
GGA3	388	486	195	269
GGCT	476	640	258	358
GGCX	686	936	333	479
GGH	1476	1529	739	846
GGNBP2	891	1160	524	626
GGPS1	129	135	74	79
GGT7	157	208	78	113
GHDC	104	104	43	64
GHITM	7064	8103	3499	4399
GHRL	0	1	0	0
GID4	112	164	54	68
GID8	651	873	382	461
GIGYF1	246	293	125	146
GIGYF2	1803	2504	1065	1350
GIN1	284	286	127	160
GINM1	552	552	277	309
GINS1	751	907	401	524
GINS2	760	899	315	502
GINS3	356	442	183	232
GINS4	526	683	263	345
GIPC1	1093	1384	527	715
GIT1	465	592	220	311
GIT2	750	795	307	398
GJA1	862	1009	438	554
GJC1	360	424	145	187
GK	30	41	6	13
GK5	201	225	94	90
GKAP1	172	182	80	85
GLA	2845	3357	1342	1821
GLB1	542	766	273	419
GLB1L	50	55	25	21
GLB1L2	415	470	224	300
GLCCI1	138	197	69	86
GLCE	235	240	110	138
GLDC	171	204	82	130
GLE1	850	965	389	537
GLG1	1747	2302	916	1212
GLI2	87	106	55	90
GLI3	341	398	149	165
GLI4	58	69	38	32
GLIPR1	31	26	7	22
GLIPR2	82	65	39	37
GLMN	946	1042	529	599
GLMP	527	589	229	339
GLO1	8475	9279	3896	4887
GLOD4	1474	1987	734	941
GLRB	204	209	86	110
GLRX2	259	309	122	161
GLRX3	2810	3380	1380	1758
GLRX5	494	790	281	396
GLS	826	1193	467	554
GLS2	85	82	31	36
GLT8D1	240	248	102	139
GLT8D2	103	95	36	54
GLTP	204	216	80	116
GLUD1	1214	1591	619	788
GLUL	3660	4830	1957	2821
GLYCTK	77	84	30	40
GLYR1	1304	1633	696	887
GM2A	409	511	186	295
GMCL1	116	126	53	65
GMDS	529	641	268	375
GMEB1	273	339	152	186
GMEB2	290	357	144	208
GMFB	609	728	300	364
GMIP	87	92	37	54
GMNN	2638	2917	1259	1573
GMPPA	559	731	272	374
GMPPB	334	489	188	212
GMPR2	556	633	268	343
