	ribo_untr_a	ribo_untr_b	ribo_isrib_a	ribo_isrib_b	untr_a_hek	untr_b_hek	isrib_a_hek	isrib_b_hek
CSNK1G2	176	201	72	107	840	691	960	641
CSNK1G3	564	597	293	368	675	614	538	457
CSNK2A1	444	613	255	337	840	709	768	611
CSNK2A2	1197	1441	631	759	1013	892	681	698
CSNK2B	933	1400	471	670	308	240	328	235
CSPG5	117	165	51	57	394	331	374	311
CSPP1	256	332	132	146	1351	1211	1120	1011
CSRNP1	58	71	42	44	39	50	71	56
CSRNP2	163	213	76	110	272	225	240	242
CSRNP3	47	50	23	27	53	65	42	41
CSRP2	761	1139	437	621	732	764	688	509
CST3	1206	1644	575	808	430	431	384	265
CSTB	1434	1930	660	983	419	369	528	299
CSTF1	1355	1635	659	837	897	748	944	675
CSTF2	1070	1400	531	705	1642	1514	1568	1228
CSTF2T	1325	1825	703	953	924	865	979	686
CSTF3	1363	1599	709	824	1227	1162	1225	843
CTBP1	690	834	293	443	1333	1281	1305	1066
CTBP2	517	570	216	356	601	512	502	479
CTBS	223	217	89	108	137	137	109	96
CTC1	104	126	40	66	247	198	234	218
CTCF	1046	1266	511	717	1813	1716	1897	1448
CTDNEP1	187	235	85	128	288	214	212	293
CTDP1	341	488	182	220	409	405	345	321
CTDSP1	188	309	108	153	235	181	221	135
CTDSP2	283	321	123	166	187	168	151	137
CTDSPL	55	66	20	34	283	253	275	197
CTDSPL2	634	609	290	366	892	793	816	624
CTH	306	299	129	146	240	217	217	185
CTIF	110	128	58	60	137	148	169	145
CTNNA1	6276	7536	3012	4069	3244	2999	2884	2219
CTNNAL1	1571	1508	759	936	2753	2508	2432	1714
CTNNB1	8617	11011	4625	5572	14311	12848	14307	9773
CTNNBIP1	76	102	39	54	48	59	54	37
CTNNBL1	1183	1497	564	775	1039	948	887	721
CTNND1	1481	1749	752	978	2511	2268	2131	1915
CTNS	168	231	86	108	228	148	222	191
CTPS1	3051	3818	1532	2026	4105	3893	3816	3540
CTPS2	537	571	274	296	835	767	757	526
CTR9	2240	2654	1087	1391	2748	2549	2801	2161
CTSA	967	1116	419	601	657	627	766	597
CTSB	1200	1298	544	681	347	321	375	295
CTSC	1344	1844	694	947	678	602	650	441
CTSF	0	1	3	0	154	154	174	118
CTSH	78	73	36	39	324	342	337	218
CTSL	814	1125	405	570	857	836	890	581
CTSV	481	668	253	346	305	301	299	230
CTSZ	1311	1692	668	893	131	103	88	105
CTTN	2495	2971	1221	1442	2681	2781	2539	1956
CTTNBP2	179	225	76	122	202	189	132	124
CTTNBP2NL	317	404	153	187	315	288	259	248
CTU2	203	283	99	128	519	445	539	387
CUBN	3	7	1	4	47	45	57	41
CUEDC1	86	124	40	58	118	119	128	99
CUEDC2	959	1290	418	594	640	670	607	479
CUL1	1981	2374	1009	1317	2792	2779	2688	2119
CUL2	2879	3096	1392	1706	1070	973	910	763
CUL3	2925	3340	1464	1787	3030	2841	2594	2108
CUL4A	1057	1253	544	648	890	805	852	601
CUL4B	2550	2622	1153	1375	3378	3142	2898	2519
CUL5	875	871	420	462	2024	1978	1780	1469
CUL7	617	819	336	440	671	562	621	532
CUL9	201	209	93	101	481	390	330	379
CUTA	1417	1919	640	942	1058	1017	952	663
CUTC	452	503	204	250	530	500	490	326
CUX1	691	873	365	460	1010	888	789	876
CWC15	844	923	422	503	1510	1574	1394	1082
CWC22	707	847	327	421	1398	1309	1385	1100
CWC25	127	179	72	100	268	254	258	204
CWC27	605	690	305	373	841	836	849	633
CWF19L1	1267	1421	609	764	1290	1210	1245	831
CWF19L2	326	410	168	191	1460	1358	1311	1022
CXADR	311	417	175	215	412	310	392	248
CXCR4	107	135	49	40	32	38	45	28
CXXC1	465	740	245	356	903	830	829	639
CXXC5	55	81	29	30	43	34	32	25
CXorf38	173	173	79	125	317	274	259	244
CXorf40A	20	10	1	6	57	59	41	55
CXorf40B	41	33	23	22	111	115	73	60
CXorf56	318	534	189	251	600	660	586	427
CYB561	64	87	32	34	38	39	35	30
CYB561A3	84	136	54	64	164	169	179	117
CYB561D2	173	221	70	125	159	97	151	71
CYB5A	387	462	196	286	468	429	384	257
CYB5B	1243	1427	590	802	971	898	947	635
CYB5D1	98	150	53	77	225	230	230	154
CYB5D2	132	191	82	93	153	132	127	101
CYB5R1	270	345	128	163	447	450	534	343
CYB5R3	2611	3139	1009	1635	461	368	359	426
CYB5R4	502	501	205	256	661	589	583	413
CYB5RL	24	33	10	6	106	105	79	79
CYBA	1451	2073	666	919	720	655	583	422
CYBC1	120	180	80	88	183	160	138	137
CYBRD1	80	95	34	45	59	45	51	39
CYC1	2371	2882	1014	1490	2524	2174	2411	1627
CYCS	1078	1144	523	709	2171	2244	2018	1336
CYFIP1	2407	2991	1197	1567	2022	1719	2089	1561
CYFIP2	2091	2600	1064	1372	1487	1237	1283	1134
CYHR1	219	218	101	144	259	254	214	188
CYLD	273	300	118	173	893	791	829	654
CYP20A1	248	334	129	182	472	391	391	328
CYP26A1	72	55	20	36	61	47	57	28
CYP27B1	17	9	4	3	107	79	95	89
CYP2J2	108	119	39	61	68	67	70	53
CYP2R1	56	64	19	39	209	184	166	143
CYP2U1	130	154	66	67	89	76	97	65
CYP39A1	38	38	26	18	100	83	80	62
CYP4V2	37	33	27	25	156	132	122	107
CYP51A1	825	877	339	420	1570	1501	1346	1042
CYREN	237	306	106	130	322	339	306	202
CYSTM1	572	635	257	368	133	101	139	99
CYTH1	187	214	71	103	316	297	263	192
CYTH2	193	264	82	144	325	345	354	283
CYTH3	122	125	66	88	196	184	194	142
CZIB	386	490	187	258	323	333	314	225
D2HGDH	231	374	132	175	246	218	226	171
DAAM1	263	270	132	168	447	464	333	358
DAAM2	204	214	83	101	171	150	139	149
DAB2	294	324	113	147	60	33	42	33
DAB2IP	194	267	93	158	264	207	212	195
DACH1	296	449	175	196	317	270	254	247
DACH2	12	12	9	7	29	47	32	31
DACT1	93	120	41	58	74	78	77	69
DAD1	1695	1961	701	1062	869	730	977	554
DAG1	998	1340	548	739	1124	892	1073	1062
DAGLA	52	95	35	57	77	68	52	73
DAGLB	313	366	124	167	258	208	290	259
DALRD3	202	219	52	117	986	832	953	693
DAP	216	325	110	157	145	101	167	136
DAP3	1854	2107	799	1182	2148	2071	2035	1567
DAPK1	368	419	175	228	727	640	642	569
DAPK3	600	794	287	381	531	510	642	467
DARS	3234	3193	1398	1823	3073	2882	3047	2082
DARS2	2747	3010	1352	1619	1735	1473	1797	1474
DAXX	628	736	252	372	1325	1236	1191	964
DAZAP1	2524	3219	1213	1829	2128	1899	2215	1524
DAZAP2	1411	1671	630	944	384	305	535	420
DBF4	167	173	82	97	1289	1167	1367	981
DBF4B	150	168	52	69	426	339	308	276
DBI	1149	1182	492	680	560	431	774	423
DBN1	1856	2355	835	1162	1217	1149	1215	947
DBNDD1	89	92	40	44	37	49	45	41
DBNDD2	535	730	238	344	206	169	197	133
DBNL	1447	1951	646	966	935	959	872	677
DBP	52	56	16	24	60	61	78	38
DBR1	656	749	317	414	769	679	657	529
DBT	618	652	261	325	566	478	414	364
DCAF1	1190	1529	614	826	2657	2339	2291	2140
DCAF10	310	425	142	200	423	371	364	342
DCAF11	148	203	74	89	614	630	671	494
DCAF12	505	569	202	273	976	785	947	822
DCAF13	1777	2142	852	1125	2095	2082	1874	1253
DCAF15	649	835	359	532	331	322	434	335
DCAF16	443	457	181	246	603	533	581	487
DCAF17	187	233	113	114	359	285	365	275
DCAF4	235	246	127	143	429	360	399	321
DCAF5	356	479	174	265	657	552	557	501
DCAF6	604	719	288	399	1668	1440	1602	1282
DCAF7	1848	2375	921	1212	771	676	686	594
DCAF8	842	974	362	500	1496	1282	1406	1111
DCAKD	621	677	268	336	263	240	293	218
DCBLD1	209	249	97	122	383	363	305	247
DCBLD2	283	369	169	207	952	826	978	709
DCDC1	10	3	3	7	50	41	47	37
DCDC2B	1	1	0	0	78	54	62	84
DCHS1	26	24	11	13	79	57	60	78
DCK	635	747	364	406	399	376	399	268
DCLK1	293	343	138	143	39	35	37	35
DCLK2	89	99	41	68	149	108	104	109
DCLRE1A	410	430	194	218	955	821	983	636
DCLRE1B	264	307	133	125	352	344	376	283
DCLRE1C	132	147	71	76	551	505	507	363
DCP1A	482	560	226	280	732	628	719	590
DCP1B	289	345	147	150	217	211	222	172
DCP2	917	1212	442	565	1564	1433	1479	1117
DCPS	279	353	154	199	432	405	438	330
DCTD	534	606	267	329	350	333	286	219
DCTN1	2288	2839	1068	1475	3954	3718	3469	2822
DCTN2	2886	3291	1351	1886	1680	1522	1503	1239
DCTN3	1262	1422	592	803	442	452	514	340
DCTN4	1837	2264	923	1253	1063	1038	1011	825
DCTN5	591	701	244	351	530	489	465	359
DCTN6	851	881	392	564	237	250	284	156
DCTPP1	1401	1670	699	888	784	697	863	535
DCUN1D1	409	415	178	231	332	331	284	220
DCUN1D2	35	81	29	38	225	234	158	160
DCUN1D3	25	41	7	12	75	86	87	74
DCUN1D4	353	448	182	239	590	557	470	387
DCUN1D5	1249	1220	586	617	1765	1755	1578	1000
DCXR	1151	1629	536	805	996	871	881	636
DDA1	464	578	249	316	111	141	157	108
DDAH1	1153	1271	540	692	208	206	182	130
DDAH2	73	99	37	56	81	69	89	67
DDB1	8692	10918	4349	5750	10676	9519	11384	7779
DDB2	245	373	171	237	252	204	283	206
DDHD1	321	357	144	187	785	720	744	592
DDHD2	491	505	208	249	1054	977	1019	799
DDI2	671	833	341	382	700	646	560	494
DDIAS	250	255	136	151	710	638	776	615
DDIT3	29	47	18	25	86	86	79	80
DDIT4	347	508	155	222	211	187	133	119
DDOST	5075	5714	2182	2876	3542	3359	3964	2675
DDR1	269	325	118	157	110	76	120	91
DDR2	525	536	233	324	464	440	428	324
DDRGK1	929	1314	436	693	1061	1262	975	748
DDTL	16	15	2	9	69	55	145	54
DDX1	4776	5662	2320	2909	5927	5727	5331	4316
DDX10	771	883	382	506	2132	2221	2099	1531
DDX11	227	304	115	129	824	766	753	634
DDX17	7511	9384	3462	4758	12966	12574	11578	9658
DDX18	1588	2044	859	1008	3961	3870	3791	2850
DDX19A	117	136	58	86	103	112	131	82
DDX19B	25	31	15	17	113	106	84	68
DDX20	1567	1981	867	1042	2091	1908	2221	1567
DDX21	9061	10444	4769	5947	10814	10463	10919	8024
DDX23	1484	1857	715	911	3464	3398	3436	2487
DDX24	5175	6785	2497	3428	4313	3958	3861	3226
DDX27	1870	2368	851	1230	2030	2036	1937	1541
DDX28	493	631	275	355	472	415	428	315
DDX31	702	846	338	452	773	715	727	627
DDX39A	2868	3714	1431	2028	2336	2140	2258	1745
DDX39B	7707	10189	3882	5312	7643	6722	7350	5730
DDX3X	6670	8136	3651	4731	10550	10134	11125	8238
DDX41	567	775	268	377	1327	1284	1442	1042
DDX42	2242	2635	1118	1441	3265	2965	3053	2555
DDX46	4691	5277	2269	2741	4383	4457	4157	3228
DDX47	1927	2217	900	1170	2012	1929	1884	1342
DDX49	910	1220	483	637	1224	1176	1276	942
DDX5	12248	15644	6969	8803	17450	17450	15987	12201
DDX50	1105	1118	436	601	1622	1535	1435	1067
DDX51	380	533	199	292	518	462	431	389
DDX52	1493	1598	754	905	1584	1417	1485	1134
DDX54	1883	2516	895	1259	2060	2165	2184	1668
DDX55	504	615	274	317	1394	1285	1174	994
DDX56	3480	4464	1672	2366	2606	2187	2524	1925
DDX58	77	81	34	50	157	134	162	103
DDX59	301	344	143	187	534	443	566	438
DDX6	1919	2484	1115	1337	3407	2887	3118	2569
DDX60	109	103	39	44	85	62	74	39
DEAF1	194	220	89	112	1251	1200	1277	999
DECR1	139	131	51	69	367	360	318	230
DECR2	78	77	30	38	76	71	64	70
DEDD	244	271	118	179	345	265	310	247
DEDD2	175	232	95	105	102	100	91	72
DEF8	318	447	134	235	577	559	521	421
DEGS1	2907	3820	1551	2023	2209	1976	2411	1736
DEK	5634	6048	2667	3375	6736	6812	6167	4276
DELE1	471	551	203	286	419	323	412	317
DENND10	78	64	23	44	87	65	57	46
DENND11	280	370	110	189	367	326	327	217
DENND1A	239	296	103	168	420	353	302	334
DENND1B	65	100	43	59	424	403	390	302
DENND2C	147	143	63	99	421	361	369	309
DENND3	161	150	63	85	199	150	170	143
DENND4A	629	695	264	368	1494	1299	1345	1111
DENND4B	213	272	99	158	657	489	512	523
DENND4C	734	806	371	453	2110	1886	1897	1446
DENND5A	175	208	90	104	2544	2307	2520	1963
DENND5B	572	656	288	347	626	569	511	465
DENND6A	383	456	189	244	1246	1139	1078	911
DENR	1129	1252	583	613	1353	1382	1311	957
DEPDC1	672	714	363	409	2302	2170	2305	1617
DEPDC1B	547	557	239	305	943	1002	934	659
DEPDC4	81	62	44	42	50	43	43	30
DEPDC5	77	72	31	38	237	242	231	235
DEPDC7	316	309	148	193	368	317	273	209
DEPTOR	43	30	12	20	61	52	49	41
DERA	675	657	274	349	406	378	394	246
DERL1	618	813	287	401	454	309	433	289
DERL2	442	590	254	319	350	254	360	218
DERL3	174	197	85	86	51	42	72	49
DERPC	511	640	256	299	907	665	824	763
DESI1	497	576	219	296	421	396	395	339
DESI2	311	360	131	184	574	575	593	386
DFFA	1341	1417	562	712	1822	1600	1650	1173
DFFB	221	296	98	143	224	187	205	153
DGAT1	176	223	79	108	214	165	257	161
DGCR2	372	564	181	294	829	691	819	663
DGCR6	15	18	1	12	31	29	25	25
DGCR6L	110	147	47	80	408	415	383	281
DGCR8	258	390	160	175	1697	1731	1568	1373
DGKA	78	64	28	37	79	74	86	50
DGKD	275	285	113	148	862	726	697	688
DGKE	300	411	130	206	459	441	392	331
DGKH	380	507	189	266	851	662	607	615
DGKQ	33	48	10	28	279	210	210	170
DGKZ	61	87	44	51	355	326	334	287
DGLUCY	174	213	81	93	131	135	159	139
DGUOK	614	750	271	369	491	413	473	342
DHCR24	3197	4874	1660	2418	1941	1638	1946	1524
DHCR7	1390	1871	702	927	950	776	1128	827
DHDDS	367	389	170	221	280	296	279	225
DHFR	8	8	4	4	85	67	45	34
DHFR2	24	29	10	10	68	57	50	43
DHODH	166	190	90	124	250	225	194	172
DHPS	650	790	299	410	477	404	427	409
DHRS1	159	188	77	89	121	107	103	105
DHRS11	108	130	65	85	129	109	85	92
DHRS12	23	22	14	11	50	47	37	36
DHRS13	120	172	55	73	74	72	80	51
DHRS3	238	295	91	135	236	182	175	112
DHRS4	81	134	42	72	142	131	124	81
DHRS7	621	782	315	388	859	758	835	539
DHRS7B	288	378	156	192	508	432	467	313
DHRSX	134	194	77	96	133	123	101	95
DHTKD1	884	1011	426	525	1307	1060	1170	989
DHX15	5286	7141	2913	3619	7011	6672	7187	5054
DHX16	1632	2069	766	1040	1855	1691	1847	1274
DHX29	964	1094	482	612	2362	2273	2305	1674
DHX30	2407	3305	1229	1792	6011	5160	5892	4625
DHX32	511	641	214	318	1028	933	1010	715
DHX33	1117	1283	547	743	1135	927	785	936
DHX34	354	482	196	232	806	711	814	685
DHX35	248	251	115	164	527	498	487	357
DHX36	2005	2380	1023	1240	3040	2847	2252	2169
DHX37	972	1388	485	692	1807	1643	1789	1418
DHX38	942	1219	445	612	2354	2166	2300	1727
DHX40	1148	1365	562	694	1494	1321	1379	1031
DHX57	993	1161	456	664	2085	1882	1744	1553
DHX8	1830	2207	909	1213	2699	2474	2392	1985
DHX9	8607	11338	4676	5950	19451	17629	19567	14646
DIABLO	34	40	18	15	44	33	48	28
DIAPH1	1313	1730	741	1086	2767	2482	1669	2288
DIAPH2	321	372	143	162	1312	1205	1136	898
DIAPH3	757	909	358	464	1891	1863	1546	1394
DICER1	1291	1409	593	690	5057	4750	4546	3724
DIDO1	1135	1334	508	699	2992	2625	2539	2334
DIMT1	566	587	256	302	819	643	852	540
DIP2A	345	401	136	220	912	787	718	700
DIP2B	1144	1391	525	661	1776	1576	1591	1294
DIP2C	318	398	160	212	356	310	333	347
DIPK1A	241	263	104	149	207	186	170	138
DIPK1B	255	420	121	225	747	633	621	487
DIPK2A	267	343	130	151	387	352	310	235
DIRAS1	139	158	64	104	37	46	55	29
DIS3	2046	2240	1009	1266	3767	3649	3676	2465
DIS3L	523	680	264	315	1935	1707	1742	1329
DIS3L2	247	267	85	123	579	524	451	437
DISC1	34	45	12	17	126	120	125	99
DISP1	71	81	40	49	162	132	191	142
DIXDC1	162	188	54	83	233	238	204	146
DKC1	2449	3258	1359	1730	4530	4535	4330	3386
DLAT	1736	2224	812	1148	2213	1989	2332	1604
DLC1	435	517	174	260	393	254	315	273
DLD	6605	7765	3121	3992	2588	2552	2596	1828
DLG1	595	640	276	389	1340	1232	1292	1046
DLG3	470	433	229	276	409	348	359	249
DLG4	15	7	9	6	48	40	45	47
DLG5	470	642	223	306	1116	1009	883	980
DLGAP4	230	233	114	110	134	92	86	115
DLGAP5	2449	2613	1217	1383	3483	3096	3435	2493
DLK2	28	71	15	37	39	46	35	35
DLL1	68	97	38	42	69	65	42	50
DLST	1500	1682	718	894	1013	940	896	777
DLX1	109	127	55	66	105	103	92	74
DLX2	845	1238	521	712	258	194	215	210
DMAC1	450	532	184	254	253	243	277	144
DMAC2	433	644	230	302	293	289	249	189
DMAC2L	290	349	134	185	224	195	199	142
DMAP1	662	950	353	480	456	477	444	374
DMC1	26	18	7	9	235	240	202	160
DMD	293	319	141	171	129	92	128	100
DMKN	1619	1663	688	956	820	629	826	559
DMPK	26	17	7	17	308	239	241	251
DMTF1	231	250	117	141	1893	1668	1951	1463
DMWD	166	221	85	124	360	237	247	261
DMXL1	1478	1553	665	839	2742	2291	2438	1877
DMXL2	853	961	421	485	2048	1824	1885	1431
DNA2	1157	1227	585	686	1874	1751	1522	1249
DNAAF2	437	463	185	243	724	661	544	399
DNAAF4	148	144	69	68	83	69	56	56
DNAAF5	1946	2716	1000	1340	889	768	650	658
DNAH1	30	12	13	5	466	366	366	409
DNAH10	2	4	2	1	61	55	61	61
DNAH11	82	54	34	42	600	537	555	498
DNAH14	750	809	345	397	2879	2700	2415	2185
DNAH17	11	6	5	3	81	79	62	65
DNAH6	46	29	13	16	247	234	199	223
DNAH7	31	28	20	14	109	96	87	66
DNAJA1	3448	4768	1939	2413	5773	5714	6176	3775
DNAJA2	2206	2774	1191	1466	2241	2204	2102	1475
DNAJA3	1210	1481	557	739	1584	1461	1402	1097
DNAJB1	955	1298	419	591	777	705	775	546
DNAJB11	744	938	332	489	593	551	592	372
DNAJB12	692	802	308	440	454	441	477	388
DNAJB14	162	218	79	109	251	263	264	192
DNAJB2	196	250	83	125	52	50	64	34
DNAJB4	127	126	49	54	182	156	159	132
DNAJB5	58	70	19	24	59	42	60	44
DNAJB6	307	449	145	221	406	413	502	337
DNAJB7	10	9	3	3	43	44	41	53
DNAJB9	155	193	91	124	109	94	127	85
DNAJC1	650	757	365	442	652	581	616	511
DNAJC10	683	727	311	399	3311	3177	3035	2240
DNAJC11	1203	1687	590	812	1993	1873	1726	1463
DNAJC12	420	443	183	210	223	228	217	159
DNAJC13	904	984	490	499	3150	3008	2677	2243
DNAJC14	198	286	110	143	474	476	564	361
DNAJC16	334	412	177	211	408	349	334	301
DNAJC17	99	142	56	70	250	243	210	153
DNAJC18	453	494	252	304	245	193	195	127
DNAJC19	89	69	32	37	167	184	140	103
DNAJC2	1206	1304	559	714	2186	2185	2167	1621
DNAJC21	805	946	410	512	1077	1005	1032	779
DNAJC24	110	102	33	60	218	208	218	135
DNAJC25	35	42	15	26	197	234	215	150
DNAJC27	9	8	8	6	62	56	40	47
DNAJC28	62	54	20	32	51	49	33	39
DNAJC3	536	606	257	358	936	910	869	622
DNAJC30	123	184	76	111	48	45	44	27
DNAJC4	47	53	16	33	44	39	67	42
DNAJC5	572	677	263	359	394	358	376	273
DNAJC6	721	738	271	423	359	272	384	274
DNAJC7	2522	2930	1223	1536	3081	2891	2932	2185
DNAJC8	930	998	422	573	2274	2386	2149	1697
DNAJC9	389	482	185	239	690	670	668	456
DNAL1	100	157	61	61	182	165	125	100
DNAL4	66	80	33	47	59	62	80	44
DNASE1	7	2	3	1	111	81	86	91
DNASE1L1	58	83	32	37	231	191	255	172
DNASE2	596	713	274	359	219	206	285	169
DND1	1	0	0	0	74	67	50	52
DNHD1	18	14	12	18	616	447	413	514
DNLZ	93	156	60	78	81	89	79	54
DNM1	343	398	155	230	279	214	205	250
DNM1L	2429	2847	1228	1527	2741	2484	2777	1985
DNM2	2652	3469	1361	1939	2570	2208	2335	2247
DNM3	60	54	29	30	198	158	137	153
DNMBP	342	412	153	228	438	351	286	288
DNMT1	5437	7287	2738	3733	6305	5662	5296	5267
DNMT3A	232	321	115	164	263	246	231	226
DNMT3B	265	343	131	182	535	470	530	481
DNPEP	642	827	291	407	468	383	454	345
DNPH1	972	1129	434	540	594	517	468	340
DNTTIP1	1175	1451	576	800	518	501	466	336
DNTTIP2	1384	1348	657	833	4276	4052	4029	2984
DOCK1	689	801	325	419	2579	2326	2277	1825
DOCK11	607	562	238	344	1068	1024	926	695
DOCK3	105	127	48	60	780	632	629	678
DOCK4	859	930	393	562	906	785	791	689
DOCK5	386	402	156	215	701	582	507	542
DOCK6	201	192	89	88	263	198	180	215
DOCK7	1773	1883	873	1070	3906	3541	3579	2857
DOCK8	117	147	73	72	72	69	57	68
DOCK9	289	302	125	145	835	735	763	679
DOHH	221	294	103	160	143	135	133	100
DOK1	24	32	10	9	97	70	86	56
DOK3	4	3	1	0	66	57	53	72
DOK4	51	54	27	54	35	27	39	30
DOLK	381	573	214	292	340	273	332	275
DOLPP1	421	594	245	326	192	158	231	128
DONSON	803	930	410	476	1071	985	1131	813
DOP1A	716	850	348	403	2332	2056	2138	1590
DOP1B	435	568	218	307	461	413	390	342
DOT1L	388	496	190	252	814	701	557	663
DPAGT1	549	714	244	332	237	241	279	249
DPCD	611	766	324	427	562	569	380	326
DPF1	234	286	110	153	116	107	116	95
DPF2	750	1077	376	506	609	567	517	494
DPH1	818	1065	396	559	566	496	580	456
DPH2	299	426	179	227	856	749	884	570
DPH3	207	254	121	143	123	110	113	58
DPH5	726	847	358	457	799	730	726	476
DPH6	249	253	120	121	170	143	134	101
DPH7	399	506	182	264	700	635	656	519
DPM1	1829	2128	924	1149	959	946	979	617
DPM2	212	263	91	130	116	123	146	78
DPM3	485	600	190	286	136	131	117	69
DPP3	767	1099	426	601	770	684	703	569
DPP7	19	17	10	10	113	93	110	91
DPP8	538	593	275	327	1146	1010	1001	811
DPP9	823	944	379	503	776	652	659	695
DPY19L1	508	549	243	332	646	563	699	434
DPY19L3	790	933	382	486	584	608	562	507
DPY19L4	197	226	111	111	660	539	521	396
DPY30	310	348	160	195	249	224	287	162
DPYSL2	1827	2284	897	1195	491	389	359	385
DPYSL4	162	297	82	133	223	187	170	194
DPYSL5	895	1013	402	564	734	657	644	597
DR1	932	992	392	566	910	855	920	648
DRAM2	347	298	147	176	337	268	379	241
DRAP1	411	503	196	271	624	729	615	432
DRC3	18	14	7	10	149	125	120	122
DRG1	1713	2070	787	1124	2315	2191	2316	1527
DRG2	815	959	357	465	1325	1255	1290	965
DROSHA	1472	1609	649	832	2836	2355	1966	2211
DSC2	613	672	296	367	358	300	304	215
DSC3	742	1055	409	562	576	516	524	399
DSCC1	650	765	339	401	830	818	765	548
DSE	196	202	84	109	492	397	535	367
DSG2	2145	2289	963	1291	1917	1582	1463	1353
DSN1	522	524	244	273	891	845	807	631
DSP	5084	6066	2552	3256	7376	6512	6010	5441
DST	1002	1329	615	813	8557	8219	7636	6435
DSTN	1824	2081	868	989	769	710	783	532
DSTYK	195	270	114	118	724	640	560	530
DTD1	58	63	18	37	65	70	60	56
DTD2	73	72	34	40	186	169	175	119
DTL	1615	1873	721	1046	2613	2116	2429	1859
DTNA	314	341	136	147	249	208	279	207
DTNB	232	323	130	156	335	294	311	268
DTNBP1	730	908	368	476	352	317	240	233
DTWD1	142	131	57	80	149	143	145	105
DTWD2	225	225	98	134	169	114	142	114
DTX3	144	153	60	84	63	52	74	73
DTX3L	299	313	142	201	135	96	97	90
DTYMK	924	1366	489	684	992	980	822	654
DUS1L	478	615	179	331	2689	2402	2443	1887
DUS2	353	448	189	203	421	416	355	229
DUS3L	479	665	279	386	1078	1047	1086	899
DUS4L	143	152	69	106	183	154	160	120
DUSP1	503	562	246	353	130	87	156	115
DUSP11	500	583	235	289	548	536	529	369
DUSP12	280	351	152	209	524	532	526	374
DUSP14	360	445	151	222	180	158	218	143
DUSP16	181	234	78	111	477	369	344	327
DUSP19	88	96	41	40	46	65	51	37
DUSP2	1	0	2	1	48	42	44	28
DUSP22	107	96	47	46	152	138	134	127
DUSP3	569	720	256	354	261	220	255	176
DUSP7	208	243	82	144	162	129	111	98
DUSP9	83	147	54	65	168	155	181	112
DUT	2247	2559	1006	1379	1079	1135	954	629
DVL1	327	349	130	239	993	912	1069	788
DVL2	996	1235	433	604	835	685	825	655
DVL3	620	804	284	355	435	388	423	403
DXO	425	486	207	253	405	357	346	334
DYM	1039	1072	498	588	705	563	697	544
DYNC1H1	7001	8247	3361	4209	25806	23595	20845	19648
DYNC1I2	536	670	284	345	1175	1115	1219	794
DYNC1LI1	1445	1585	694	869	2342	2290	2220	1560
DYNC1LI2	1033	1144	494	626	1285	1233	1130	973
DYNC2H1	2399	2671	1218	1452	11061	10542	9741	7341
DYNC2LI1	431	448	179	262	563	538	480	343
DYNLL1	1383	1764	767	990	868	855	993	654
DYNLL2	639	628	297	349	166	146	154	127
DYNLRB1	1041	1282	449	702	262	234	309	215
DYNLT1	1178	1306	536	708	564	548	624	337
DYNLT3	191	193	87	119	165	159	154	88
DYRK1A	600	667	296	381	1175	1026	1223	941
DYRK1B	348	463	155	263	99	88	114	101
DYRK2	273	357	119	165	804	781	735	600
DYRK3	251	279	88	133	458	383	430	332
DYRK4	289	313	133	178	241	231	260	194
DZANK1	56	65	36	29	85	74	69	58
DZIP1	211	163	76	76	2304	2088	1904	1598
DZIP1L	39	50	9	23	303	294	225	199
DZIP3	662	678	319	362	1854	1757	1878	1242
E2F1	197	178	79	122	699	647	792	591
E2F2	484	513	230	279	243	229	199	185
E2F3	516	629	276	306	631	574	592	603
E2F4	447	518	174	268	1165	900	1185	850
E2F5	280	348	139	169	622	570	524	392
E2F6	93	95	50	68	223	228	173	130
E2F7	597	780	295	382	667	619	587	521
E2F8	245	234	105	119	602	517	532	443
E4F1	341	436	170	220	894	780	866	678
EAF1	579	684	305	349	330	280	335	240
EAF2	80	71	39	32	89	71	98	50
EAPP	495	582	263	335	658	574	668	434
EARS2	661	810	270	414	729	673	647	539
EBAG9	150	169	75	98	189	164	181	143
EBF3	376	467	206	239	216	188	210	159
EBLN2	0	0	0	0	138	131	104	112
EBNA1BP2	2733	3653	1345	1789	2709	2819	2707	1836
EBP	566	797	295	407	348	324	377	276
EBPL	601	710	293	394	317	276	286	209
ECD	2024	2393	987	1273	1074	995	1055	832
ECE1	931	1190	481	637	464	344	372	414
ECEL1	45	74	26	34	61	45	62	48
ECH1	1737	1746	665	921	249	238	197	173
ECHDC1	1467	1678	692	939	1379	1287	1300	850
ECHDC2	1	0	0	0	85	44	53	47
ECHS1	3063	3732	1429	1898	2192	2077	1898	1316
ECI1	746	912	340	449	751	613	708	453
ECI2	1857	1946	771	899	2074	1964	1923	1337
ECM2	0	1	0	1	109	120	86	122
ECPAS	2498	2820	1270	1646	6307	5902	5620	4485
ECSIT	391	527	181	238	552	516	569	400
ECT2	2131	2217	1055	1237	3292	2905	3122	2263
EDA2R	68	115	35	53	51	36	36	28
EDARADD	47	77	39	22	44	32	35	25
EDC3	1074	1263	482	705	861	739	702	769
EDC4	1880	2807	1063	1445	2121	1669	1995	1696
EDEM1	142	144	52	91	777	738	656	538
EDEM2	97	125	41	59	368	312	399	265
EDEM3	335	396	169	196	1343	1282	1293	1037
