	ribo_untr_a	ribo_untr_b	ribo_tm_a	ribo_tm_b
TFDP1	796	959	359	228
TFDP2	500	471	270	164
TFE3	284	370	144	98
TFG	2023	2417	1014	660
TFIP11	853	1154	532	336
TFPI2	437	475	174	107
TFPT	173	249	108	67
TFRC	1984	2494	1047	644
TGDS	224	238	127	79
TGFB1	379	421	175	98
TGFBR1	349	381	202	129
TGFBR2	147	206	80	52
TGFBR3	262	338	123	74
TGFBRAP1	332	430	158	104
TGIF1	152	173	100	62
TGIF2	162	198	79	40
TGOLN2	678	850	309	220
TGS1	610	715	373	280
THADA	1195	1324	657	491
THAP1	222	271	114	69
THAP10	148	200	78	45
THAP11	395	483	206	117
THAP12	56	69	40	27
THAP2	32	31	11	9
THAP3	222	245	116	60
THAP4	686	927	367	204
THAP5	322	339	154	107
THAP6	134	133	72	50
THAP7	252	298	154	107
THAP9	126	134	63	52
THBS3	13	28	16	5
THBS4	165	191	95	50
THEM4	134	166	98	54
THEMIS2	27	31	20	13
THG1L	237	369	174	117
THNSL1	434	520	188	138
THOC1	624	855	356	257
THOC2	2728	3443	1653	1206
THOC3	212	256	135	77
THOC5	1077	1279	484	307
THOC6	350	506	200	138
THOC7	817	864	327	236
THOP1	1027	1347	512	302
THRA	93	97	32	18
THRAP3	2877	3575	1925	1261
THRB	102	143	46	40
THSD1	41	42	28	13
THSD4	37	63	24	14
THTPA	95	125	42	33
THUMPD1	318	350	174	138
THUMPD2	396	372	173	139
THUMPD3	1147	1169	582	378
THYN1	486	458	172	136
TIA1	628	770	335	215
TIAL1	1540	1836	767	473
TIAM1	387	486	173	136
TIAM2	119	124	58	24
TICRR	738	853	435	286
TIFA	173	141	74	52
TIGAR	692	817	340	259
TIGD1	104	77	32	18
TIGD2	129	164	64	42
TIGD5	210	284	117	63
TIGD6	130	152	100	41
TIGD7	7	9	6	1
TIMELESS	1766	2164	909	582
TIMM10	441	698	327	149
TIMM13	1462	2129	948	572
TIMM17A	947	1040	492	354
TIMM17B	903	1079	478	260
TIMM21	451	597	252	134
TIMM22	537	697	299	217
TIMM23	1129	1402	692	389
TIMM23B	38	46	49	22
TIMM29	427	582	261	132
TIMM44	1128	1475	634	414
TIMM50	3450	4493	2031	1247
TIMM8A	179	211	109	40
TIMM8B	722	882	663	306
TIMM9	157	176	83	53
TIMMDC1	908	943	504	273
TIMP1	2013	2552	1095	637
TIMP2	239	291	125	74
