	ribo_untr_a	ribo_untr_b	ribo_tmisrib_a	ribo_tmisrib_b
CNTN1	301	267	302	272
CNTNAP1	68	63	44	48
CNTNAP3	6	12	5	6
CNTRL	251	242	170	199
CNTROB	79	106	80	81
COA1	315	401	296	299
COA3	456	698	342	389
COA4	747	909	481	588
COA5	107	106	77	77
COA6	997	1204	715	859
COA7	453	626	411	434
COA8	60	84	45	55
COASY	615	694	440	430
COBL	200	241	161	179
COBLL1	333	349	292	322
COCH	3717	4156	3493	3592
COG1	576	705	460	462
COG2	934	1069	772	792
COG3	392	473	377	379
COG4	731	840	671	639
COG5	1163	1133	936	948
COG6	943	963	739	741
COG7	390	463	346	322
COG8	358	470	322	283
COIL	561	730	448	509
COL10A1	1	0	2	3
COL11A2	8	8	7	6
COL12A1	23	31	16	32
COL13A1	24	23	22	29
COL14A1	814	924	819	838
COL18A1	302	453	338	328
COL19A1	31	39	29	42
COL24A1	17	14	19	14
