	ribo_untr_a	ribo_untr_b	ribo_tm_a	ribo_tm_b	untr_a_hek	untr_b_hek	tm_a_hek	tm_b_hek
EIF3E	5121	5746	2458	1663	7170	6362	6149	7753
EIF3F	752	932	325	210	1451	1387	1094	1415
EIF3G	4065	5196	1758	1244	2686	2524	2340	2988
EIF3H	3180	3871	1373	970	2626	2459	1978	2682
EIF3I	8669	9502	3946	2697	6872	6182	6618	7812
EIF3J	959	1258	486	303	743	724	536	740
EIF3K	7716	8527	3306	2130	3583	3476	2800	3528
EIF3L	3137	4226	1444	838	6684	5566	6131	7665
EIF3M	5333	6396	2478	1615	6981	6867	5045	6246
EIF4A1	6305	8068	4118	2235	17427	16190	13425	16861
EIF4A2	1232	1442	506	326	2876	2820	2355	3002
EIF4A3	2954	3622	1641	1164	3497	3165	2659	3618
EIF4B	452	690	262	150	3523	3364	2796	3613
EIF4E	108	171	81	55	264	248	190	247
EIF4E2	697	1088	510	346	865	810	744	943
EIF4E3	78	78	28	16	89	81	51	57
EIF4EBP1	862	998	467	308	589	615	397	523
EIF4EBP2	237	354	65	64	157	128	99	172
EIF4ENIF1	512	646	301	166	810	778	506	670
EIF4G1	13168	16625	8728	5597	16496	14744	9726	14060
EIF4G2	5423	6061	4009	2386	25050	22051	15913	19332
EIF4G3	3811	4614	1970	1329	4573	3990	2749	3624
EIF4H	772	964	448	214	1106	958	1106	1318
EIF5	2176	2292	1388	909	5112	4771	3773	4596
EIF5A	5710	7855	4463	2858	2764	2720	1973	2621
EIF5A2	101	113	47	21	104	104	59	74
EIF5B	3269	3987	2023	1352	3693	3726	1883	2819
EIF6	1572	2150	1101	616	815	738	710	908
EIPR1	274	314	161	97	461	431	317	390
ELAC1	48	80	35	28	79	77	52	72
ELAC2	1649	1987	1102	670	3150	2847	2478	3208
ELAVL1	3607	4172	1579	1032	1477	1259	951	1367
ELAVL2	282	328	130	92	164	134	130	174
ELF1	700	807	461	329	381	291	235	293
ELF2	338	421	204	111	938	844	676	829
ELF4	403	445	163	99	273	224	136	134
ELK1	171	214	84	55	487	374	330	404
ELK3	121	86	36	31	66	71	62	71
ELK4	104	112	53	37	290	287	177	189
ELL	243	325	140	89	157	129	111	134
ELL2	171	166	73	67	226	223	221	286
ELL3	292	248	107	65	71	52	48	76
ELMO2	411	538	271	143	556	479	347	435
ELMO3	6	2	1	2	64	59	45	50
ELMOD1	19	20	5	7	63	49	50	46
ELMOD2	577	708	297	204	561	545	422	535
ELMOD3	18	25	16	9	204	118	159	168
ELMSAN1	267	321	169	82	394	322	193	202
ELOA	1515	1762	933	602	2412	2243	1618	2211
ELOB	2578	3060	1473	1041	1847	1672	1438	1684
ELOC	648	1001	442	220	587	552	547	630
ELOF1	624	1004	476	266	355	361	243	403
ELOVL1	886	1139	475	257	308	253	277	361
ELOVL2	273	342	105	70	153	133	127	160
ELOVL4	839	964	411	295	282	306	253	341
ELOVL5	2295	2806	996	692	932	699	841	971
ELOVL6	389	548	192	129	201	151	126	159
ELOVL7	234	249	96	67	124	120	77	103
ELP1	2072	2393	1164	776	4862	4428	3524	4375
ELP2	1434	1660	641	465	1878	1635	1329	1576
ELP3	1195	1453	719	516	688	661	524	703
ELP4	404	424	237	149	580	450	462	563
ELP5	811	984	455	297	793	719	701	874
ELP6	447	572	305	202	750	741	641	732
EMB	227	230	125	77	306	259	259	362
EMC1	2261	2819	1159	675	1984	1739	1179	1627
EMC10	634	1107	461	229	964	872	905	1000
EMC2	774	717	365	241	606	631	452	561
EMC3	1180	1385	631	419	991	845	975	1168
EMC4	1008	1300	629	402	603	507	472	529
EMC6	254	339	146	74	103	116	160	200
EMC7	779	984	403	217	328	309	263	360
EMC8	482	687	293	155	551	494	425	488
EMC9	111	127	71	44	186	220	168	190
EMD	1340	1713	697	443	856	756	732	889
EME1	254	318	164	79	596	544	439	490
EME2	26	30	22	15	162	153	98	105
EMG1	891	1192	510	287	1034	945	746	890
EMILIN2	165	144	79	48	665	546	373	448
EMILIN3	349	437	169	92	201	170	154	172
EML1	622	680	319	203	532	567	422	525
EML2	257	280	100	70	155	148	128	140
EML3	147	150	50	29	220	224	171	191
EML4	1335	1630	633	438	2211	2038	1695	2137
EML5	130	126	56	38	1136	1111	726	918
EML6	22	15	15	5	267	219	160	184
EMP2	195	226	79	56	119	67	106	130
EMP3	300	313	136	93	72	49	67	73
EMSY	271	307	201	106	553	446	330	450
EN2	177	219	78	40	157	117	83	123
ENAH	1917	2151	779	534	2882	2631	2453	3102
ENC1	406	538	260	149	102	75	65	87
ENDOD1	184	227	103	68	131	116	112	141
ENDOG	479	691	300	160	342	324	251	349
ENDOV	57	65	36	19	117	113	72	89
ENGASE	98	157	69	43	292	300	208	293
ENKD1	62	74	31	18	133	99	82	103
ENO1	46917	59361	24004	15422	41754	38196	36833	43446
ENO2	737	948	347	196	171	147	90	136
ENOPH1	602	813	282	196	837	840	521	678
ENOSF1	247	300	107	76	442	405	288	328
ENOX1	69	74	33	9	212	208	155	184
ENOX2	152	159	96	63	546	471	377	486
ENPEP	365	353	193	105	64	68	47	45
ENPP1	450	530	219	118	638	603	515	573
ENPP4	482	507	204	155	242	228	218	266
ENSA	427	689	354	209	1034	1007	799	1081
ENTPD4	126	193	54	28	513	497	374	446
ENTPD5	31	30	16	4	233	157	135	159
ENTPD6	325	420	191	116	513	509	389	487
ENTPD7	286	313	135	77	718	642	526	620
ENTR1	264	341	151	92	981	959	662	874
ENY2	749	1017	451	298	990	1020	711	964
EOGT	173	199	82	42	387	285	302	336
EP300	2132	2526	1309	823	2917	2235	1130	1536
EP400	1237	1535	792	487	1759	1291	496	726
EPAS1	108	103	30	26	79	57	43	51
EPB41	1736	1970	814	540	3237	2912	2127	2678
EPB41L1	131	147	61	37	252	213	137	162
EPB41L2	2482	2831	1393	892	2487	2246	1504	2044
EPB41L3	1577	2070	860	537	1049	947	718	977
EPB41L4A	57	50	22	12	114	86	51	68
EPB41L4B	110	110	28	21	168	162	95	164
EPB41L5	505	518	228	149	570	492	382	511
EPC1	207	252	181	141	608	536	413	577
EPC2	247	261	104	84	1047	987	839	1083
EPG5	433	475	264	143	971	876	548	741
EPHA2	769	973	317	194	159	138	111	134
EPHA3	244	279	168	92	397	338	297	359
EPHA4	439	620	253	147	641	535	461	557
EPHA5	174	245	130	67	58	56	41	58
EPHA6	146	184	101	50	527	519	298	453
EPHA7	1442	1992	837	510	1139	1072	731	1023
EPHA8	60	58	26	10	65	53	62	58
EPHB1	51	56	38	20	64	46	39	48
EPHB2	254	301	125	63	213	183	169	215
EPHB4	383	561	157	97	1068	981	782	971
EPHX1	663	769	311	169	366	307	175	241
EPHX2	191	226	97	54	131	102	67	110
EPHX4	158	185	96	49	65	62	42	53
EPM2A	45	57	28	18	64	48	46	42
EPN1	837	1032	337	212	686	643	317	408
EPN2	178	232	90	68	436	342	321	396
EPOR	60	68	40	26	51	31	28	43
EPPK1	657	850	322	215	227	196	102	144
EPRS	5489	5957	2772	1856	15223	14357	11583	14401
EPS15	1049	1188	475	307	1645	1416	1064	1343
EPS15L1	1025	1243	499	368	533	499	297	443
EPS8	895	1017	468	294	469	395	365	430
ERAL1	1081	1363	557	363	595	534	461	596
ERAP1	264	293	120	65	133	125	90	135
ERBB2	244	242	112	71	589	543	422	521
ERBB4	336	327	163	81	120	123	68	101
ERBIN	1045	1161	461	327	2603	2307	1905	2422
ERC1	809	922	490	294	1290	1216	588	765
ERC2	30	37	11	8	382	303	221	324
ERCC1	421	631	231	154	538	493	419	495
ERCC2	745	818	378	217	558	470	382	523
ERCC3	896	1060	456	306	1995	1770	1619	1849
ERCC4	419	500	250	137	637	659	479	557
ERCC6	507	627	271	226	1006	1013	690	858
ERCC6L	607	762	423	326	1841	1585	1323	1699
ERCC6L2	229	230	167	106	2118	1955	1510	1948
ERCC8	128	113	65	50	475	509	363	449
ERF	331	417	170	109	213	169	156	177
ERFE	120	177	75	35	52	34	26	40
ERG28	306	444	217	104	208	142	144	174
ERGIC1	556	700	336	144	435	344	489	626
ERGIC2	611	596	352	239	976	963	771	976
ERGIC3	1870	2441	865	494	2421	2170	2000	2519
ERH	2561	2789	1393	915	1356	1435	1305	1729
ERI1	535	505	227	160	410	374	242	280
ERI2	269	250	132	94	690	599	520	655
ERI3	1454	1638	894	589	924	807	753	913
ERICH1	315	324	132	106	257	230	166	214
ERICH5	101	153	52	53	61	61	42	40
ERLEC1	391	399	161	105	669	599	523	645
ERLIN1	387	427	167	80	480	467	293	412
ERLIN2	954	1177	514	270	586	520	434	596
ERMAP	25	22	19	10	109	105	74	77
ERMARD	234	222	116	56	322	298	281	319
ERMP1	717	760	315	190	354	296	214	333
ERN1	54	92	43	19	139	125	75	108
ERO1A	1100	1061	447	288	1443	1347	913	1136
ERO1B	166	212	104	61	306	299	187	241
ERP29	974	1306	454	250	1031	990	1000	1190
ERP44	1321	1632	567	378	808	731	645	753
ERRFI1	275	330	157	73	273	256	279	336
ERV3-1	2	8	0	1	94	84	47	76
ERVFRD-1	0	0	0	0	148	132	56	81
ERVK3-1	297	457	201	137	410	443	281	392
ESCO1	147	142	67	48	940	875	688	838
ESCO2	1161	1337	613	407	619	536	504	595
ESD	3797	4293	1809	1361	2578	2397	2053	2471
ESF1	796	905	553	388	1539	1650	1193	1494
ESPL1	1779	2379	1264	722	2442	1946	1302	1711
ESPNL	0	0	2	1	94	84	62	85
ESRP2	404	457	238	130	254	201	180	184
ESRRA	108	171	62	34	227	217	179	215
ESRRG	1	1	0	0	36	48	27	25
ESS2	429	597	280	164	748	768	507	653
ESYT1	2364	2860	1274	763	2464	2216	1718	2390
ESYT2	875	1098	398	246	1199	1049	903	1136
ETAA1	155	150	84	60	713	702	578	720
ETF1	2715	2846	1264	831	3417	3368	2599	3321
ETFA	3714	3957	1623	1080	3370	3184	2692	3267
ETFB	1167	1355	481	325	964	946	653	837
ETFDH	411	575	200	127	892	790	649	835
ETFRF1	175	154	82	63	110	136	66	125
ETHE1	154	164	53	45	89	87	80	105
ETNK1	1004	1366	588	414	1138	972	698	911
ETNK2	62	80	25	22	164	173	127	153
ETS2	464	581	309	176	372	283	231	270
ETV3	348	493	230	152	232	224	221	267
ETV6	81	111	36	36	39	33	27	38
EVC	57	72	37	16	508	455	210	285
EVI5	395	450	212	154	1173	1049	747	977
EVI5L	131	147	54	41	181	156	104	137
EVL	130	168	71	56	397	328	218	295
EWSR1	3822	5187	2732	1690	6724	6601	5251	7097
EXD2	258	336	184	96	487	450	305	398
EXO1	801	849	382	274	4194	3981	2996	3797
EXO5	136	180	109	72	64	71	62	70
EXOC1	719	727	300	205	1070	1038	804	1090
EXOC2	1263	1442	626	462	1634	1460	1212	1677
EXOC3	654	766	291	197	716	673	496	644
EXOC4	1502	1615	682	430	1492	1308	1034	1299
EXOC5	423	461	165	112	1337	1273	924	1229
EXOC6	1240	1253	653	452	1114	1038	794	981
EXOC6B	535	601	329	210	1038	844	582	786
EXOC7	1128	1437	636	412	1411	1224	1133	1419
EXOC8	722	955	456	342	1549	1413	981	1197
EXOG	165	252	111	79	511	466	264	305
EXOSC1	731	1000	425	279	401	361	334	436
EXOSC10	2639	3431	1584	1005	3386	3035	2560	3277
EXOSC2	1434	1777	691	471	1673	1649	1163	1504
EXOSC3	626	811	331	202	936	856	610	796
EXOSC4	613	840	333	182	549	455	345	449
EXOSC5	942	1201	471	309	484	479	399	463
EXOSC6	471	651	322	202	159	196	66	100
EXOSC7	564	702	294	161	1172	1120	794	959
EXOSC8	1770	1943	844	614	1385	1322	953	1225
EXOSC9	1062	1352	629	398	2053	2002	1633	1870
EXPH5	184	219	131	69	693	517	377	473
EXT1	256	292	142	88	827	696	663	842
EXT2	901	1087	471	286	1575	1486	1277	1552
EXTL2	272	235	148	102	289	212	185	253
EXTL3	299	363	158	90	468	430	317	427
EYA1	72	71	31	30	245	241	182	251
EYA2	204	251	127	70	67	48	50	59
EYA3	623	692	329	181	1047	769	671	896
EYA4	519	595	291	192	462	463	410	580
EYS	0	3	0	0	111	110	77	102
EZH1	172	137	58	43	392	352	236	363
EZH2	1065	1398	651	401	1811	1679	1243	1596
EZR	3260	4523	2021	1254	2188	2177	1756	2208
F11R	429	554	190	132	200	202	158	200
F12	74	94	30	30	41	38	27	35
F2R	370	442	185	110	157	146	122	163
F2RL1	413	468	213	130	209	167	149	191
F8	60	55	27	18	122	108	78	102
FAAP100	139	201	83	41	690	592	497	612
FAAP20	294	434	164	113	126	133	84	129
FAAP24	160	217	112	92	73	65	38	63
FADD	382	471	217	116	262	212	181	225
FADS1	340	396	186	108	514	393	432	565
FADS2	1536	1840	671	393	443	348	358	487
FADS3	111	137	59	41	81	69	70	87
FAF1	1446	1626	600	403	2531	2292	1798	2288
FAF2	1195	1433	743	438	1052	999	917	1178
FAH	336	411	139	100	463	400	382	405
FAHD1	435	547	237	149	307	298	244	245
FAHD2A	88	91	55	23	234	197	146	209
FAHD2B	35	23	15	10	69	64	62	52
FAIM	658	936	401	224	933	864	597	782
FAM102A	16	27	16	9	67	58	40	33
FAM102B	200	200	79	51	281	259	194	248
FAM104A	234	339	155	114	138	146	88	125
FAM104B	175	187	90	83	181	154	143	138
FAM107B	324	287	174	131	130	128	119	89
FAM114A1	89	87	35	19	57	78	50	61
FAM114A2	434	540	241	169	501	465	393	468
FAM117A	142	202	70	48	161	102	72	95
FAM117B	383	431	227	148	276	249	176	235
FAM118A	222	255	121	86	256	227	176	213
FAM118B	248	277	117	71	508	441	386	476
FAM120A	1109	1450	505	320	2974	2732	2079	2515
FAM120AOS	84	79	45	20	129	115	102	117
FAM120B	818	990	549	413	1389	1174	806	1085
FAM120C	272	385	183	107	235	182	150	180
FAM122B	315	363	177	99	540	423	251	331
FAM126A	525	610	210	151	979	896	771	928
FAM126B	142	171	82	45	463	416	303	434
FAM133B	14	12	7	10	126	142	110	127
FAM135A	352	333	138	88	1348	1218	1057	1215
FAM136A	522	673	289	170	446	388	318	386
FAM13A	254	291	180	128	795	777	522	661
FAM13B	82	98	100	75	1394	1241	867	1079
FAM13C	54	64	29	30	68	53	44	47
FAM149A	51	71	24	20	75	58	43	51
FAM149B1	61	57	23	10	370	339	247	292
FAM151B	33	45	20	14	88	51	36	51
FAM155B	25	29	12	12	70	64	59	62
FAM160A1	64	87	49	34	235	183	147	175
FAM160A2	130	186	91	64	438	386	306	405
FAM160B1	364	459	200	152	494	435	315	384
FAM160B2	211	258	111	65	132	101	62	91
FAM161A	236	221	102	74	329	336	167	249
FAM161B	72	72	36	16	87	79	54	82
FAM162A	931	1011	431	285	875	893	612	816
FAM168A	367	406	184	112	81	60	72	88
FAM168B	742	844	448	270	323	246	339	405
FAM169A	395	526	216	114	980	894	650	872
FAM171A1	317	403	126	73	628	573	393	581
FAM171A2	150	186	82	34	112	105	75	103
FAM171B	129	126	62	54	372	335	346	420
FAM172A	240	264	95	75	293	311	239	248
FAM174A	102	115	60	32	89	64	41	77
FAM174C	250	380	222	133	429	395	344	406
FAM177A1	217	263	103	67	280	246	207	262
FAM184A	301	280	123	108	816	773	479	726
FAM184B	68	69	28	28	98	63	28	41
FAM185A	41	65	24	15	106	98	66	97
FAM186B	4	5	5	1	127	93	41	52
FAM189B	296	351	136	71	512	422	158	283
FAM192A	319	447	174	119	489	487	458	553
FAM193A	353	438	211	130	722	636	316	464
FAM193B	165	190	98	66	619	464	346	423
FAM199X	983	1049	424	309	1297	1125	974	1329
FAM200A	189	176	125	79	266	248	173	241
FAM200B	39	43	14	12	379	362	266	306
FAM204A	335	400	154	84	887	920	612	778
FAM207A	181	278	152	98	179	202	109	139
FAM20B	163	228	88	50	815	752	546	649
FAM210A	260	355	101	101	245	237	175	242
FAM210B	215	230	106	49	140	130	77	106
FAM214A	225	207	119	77	279	214	164	202
FAM216A	1257	1184	585	379	592	512	537	666
FAM217B	54	73	27	31	452	385	326	409
FAM219A	190	244	97	64	100	97	53	69
FAM219B	103	141	64	31	245	242	178	196
FAM221A	228	265	103	61	62	58	29	42
FAM222B	166	208	101	55	80	56	44	45
FAM227A	10	3	4	0	131	126	75	103
FAM229B	96	151	38	40	155	140	119	132
FAM234A	318	396	162	90	364	331	264	335
FAM234B	506	591	292	158	479	445	289	350
FAM241A	216	241	85	60	114	101	57	84
FAM32A	331	469	234	160	376	345	216	278
FAM3A	156	171	74	40	347	317	239	311
FAM3C	2	1	0	1	26	44	26	33
FAM49B	1068	1229	498	357	1158	1108	920	1132
FAM50A	1828	2275	838	557	1393	1513	1092	1431
FAM53B	97	141	63	43	377	345	282	341
FAM53C	481	594	321	198	376	346	419	516
FAM71E1	41	51	24	6	47	36	30	30
FAM72B	15	15	9	8	29	41	28	36
FAM76A	141	174	101	35	341	336	278	343
FAM76B	107	135	73	39	288	294	242	311
FAM81A	23	17	2	5	88	42	36	51
FAM83B	243	294	164	96	122	83	81	103
FAM83D	1422	1802	819	539	964	836	765	934
FAM83G	224	280	134	80	334	312	202	272
FAM83H	264	442	201	150	171	168	110	152
FAM89A	188	248	116	71	124	121	63	93
FAM89B	41	72	25	12	66	46	47	62
FAM8A1	410	516	278	139	338	367	261	294
FAM91A1	416	458	139	119	1209	1138	859	1159
FAM92A	239	270	98	64	451	430	327	430
FAM98A	1114	1458	629	500	1283	1213	912	1207
FAM98B	1439	1505	804	569	518	334	235	296
FAM98C	121	201	79	40	81	70	44	79
FAN1	308	366	209	142	846	773	610	666
FANCA	999	1154	554	350	2337	1821	1242	1580
FANCB	310	378	191	143	1289	1241	811	984
FANCC	240	271	157	79	429	362	288	323
FANCD2	1321	1504	696	453	4364	3949	2922	3656
FANCE	291	310	125	71	431	333	262	293
FANCG	264	360	140	101	720	617	546	631
FANCI	2377	2690	1407	978	6471	5998	4782	5877
FANCL	914	1040	472	315	910	951	685	900
FANCM	356	460	237	143	1708	1671	1132	1568
FAR1	1806	2204	1031	705	2075	1944	1429	1854
FAR2	609	658	327	204	508	466	439	541
FARP1	513	603	191	134	560	431	308	465
FARP2	964	1167	611	384	959	792	635	859
FARS2	207	194	109	63	449	428	329	436
FARSA	3690	4810	2134	1277	2400	2244	1744	2117
FARSB	4285	4594	1924	1361	2129	1735	1597	1980
FAS	234	288	126	86	83	73	63	60
FASN	15869	23297	8517	5064	12079	8942	4551	5907
FASTK	165	270	68	48	871	823	713	830
FASTKD1	405	382	211	151	1117	1041	923	1123
FASTKD2	1243	1369	823	548	1681	1505	1223	1419
FASTKD3	381	393	171	98	426	412	398	485
FASTKD5	1080	1309	679	445	1106	803	765	900
FAT1	2148	2660	1532	791	5775	5030	3897	4948
FAT2	0	2	1	2	111	83	55	73
FAT3	238	320	175	88	422	372	304	392
FAT4	400	495	275	165	662	598	432	571
FAU	3571	4878	2161	1213	3427	3059	2990	3854
FAXC	63	71	37	26	185	183	108	162
FAXDC2	14	16	10	4	74	60	27	36
FBF1	44	43	28	10	403	347	275	352
FBH1	972	1166	514	304	1823	1672	1334	1694
FBL	7678	11081	4140	2583	3499	3496	2561	3245
FBLIM1	180	230	89	46	47	53	42	44
FBLN1	623	838	301	153	243	205	138	156
FBN1	322	531	266	130	1055	902	622	865
FBN2	3532	4949	2541	1306	3801	3288	2193	2799
FBRS	562	735	300	203	374	266	168	195
FBRSL1	526	719	242	129	413	335	186	216
FBXL12	118	210	100	61	174	147	113	153
FBXL13	16	9	9	5	94	63	39	45
FBXL14	256	343	128	75	169	130	152	174
FBXL15	150	188	123	44	195	166	102	125
FBXL17	249	321	127	107	179	157	112	130
FBXL18	250	324	139	79	185	159	107	140
FBXL19	156	178	78	40	884	715	505	630
FBXL2	50	64	31	23	218	178	148	164
FBXL20	178	194	101	64	237	202	161	229
FBXL3	433	551	321	224	1193	1085	832	1032
FBXL4	253	279	153	102	603	571	438	519
FBXL5	413	412	196	130	1293	1145	879	1111
FBXL6	92	115	63	29	253	230	174	212
FBXL8	11	8	11	6	53	48	38	47
FBXO10	130	159	69	49	474	319	273	358
FBXO11	882	994	446	300	1316	1072	662	767
FBXO16	143	200	95	56	52	60	37	40
FBXO17	364	452	204	111	78	54	42	47
FBXO21	1134	1330	635	370	1164	1036	896	1018
FBXO22	495	587	268	187	1398	1283	895	1129
FBXO25	222	272	74	62	218	191	176	216
FBXO28	615	689	339	229	1234	1051	925	1114
FBXO3	792	838	376	282	818	753	665	767
FBXO30	529	552	336	210	1128	944	678	947
FBXO31	153	211	74	49	240	249	160	205
FBXO32	247	246	95	82	78	70	47	65
FBXO33	312	388	208	139	412	478	394	462
FBXO34	222	281	121	81	724	606	519	717
FBXO38	741	784	382	241	876	758	659	748
FBXO4	123	178	78	47	178	176	150	178
FBXO42	404	522	214	111	619	575	473	612
FBXO44	143	219	66	42	106	85	57	72
FBXO45	148	156	89	41	154	129	126	137
FBXO46	124	157	106	45	148	140	99	104
FBXO5	961	1101	701	432	1754	1647	1292	1683
FBXO7	1540	1676	721	440	1955	1560	1439	1749
FBXO8	141	173	90	63	225	214	149	224
FBXO9	483	553	179	118	1724	1491	1187	1328
FBXW11	731	839	341	208	1263	1256	914	1058
FBXW2	175	194	107	46	937	888	606	797
FBXW4	135	158	57	28	266	230	185	222
FBXW5	248	335	160	107	821	708	707	848
FBXW7	121	148	95	52	630	564	495	598
FBXW8	171	289	142	67	310	303	182	217
FBXW9	281	363	146	82	195	207	169	226
FCF1	321	412	214	110	487	462	309	380
FCGRT	316	351	162	94	73	81	44	79
FCHO2	450	512	243	195	446	422	332	421
FCHSD1	47	54	35	9	113	95	67	83
FCHSD2	200	242	104	58	494	434	274	363
FCSK	100	138	68	28	204	174	162	160
FDFT1	3168	3716	1632	1011	1886	1758	1489	1814
FDPS	2424	2821	1419	885	2944	2612	2275	2876
FDX1	501	620	239	147	241	280	150	167
FDX2	42	56	35	15	105	97	70	89
FDXACB1	12	30	8	12	93	77	75	108
FDXR	333	479	195	140	296	298	222	225
FECH	841	849	410	235	629	523	484	577
FEM1A	384	459	223	106	813	778	693	904
FEM1B	945	1047	450	267	2104	1826	1629	1895
FEM1C	489	473	277	176	566	457	313	398
FEN1	1727	2496	1156	691	2138	2064	1799	1996
FER	278	335	137	111	596	530	405	531
FERMT1	195	259	125	81	55	46	39	47
FERMT2	1446	1583	671	437	1122	1055	910	1155
FEZ1	79	83	27	17	70	62	58	55
FEZ2	470	498	195	129	475	492	349	410
FGD1	208	250	97	54	415	349	178	263
FGD4	147	160	60	32	109	109	100	108
FGD6	113	140	53	17	249	202	194	203
FGF2	93	95	35	28	81	68	44	50
FGFR1	370	420	159	80	585	453	378	536
FGFR1OP	518	689	283	192	1148	1063	691	979
FGFR1OP2	320	385	148	102	555	523	430	558
FGFR2	208	251	86	32	603	489	368	487
FGFR3	176	181	75	32	656	579	468	603
FGFR4	71	81	27	22	223	174	150	184
FGFRL1	239	279	79	46	196	173	134	157
FGGY	21	25	9	9	117	106	58	87
FH	1831	2016	840	531	2184	1932	1772	2298
FHAD1	26	28	20	13	49	42	30	46
FHIT	48	51	21	9	39	37	28	35
FHL1	3194	4223	1679	1033	930	842	657	853
FHL2	458	576	198	138	141	141	116	142
FHOD1	508	630	302	190	635	584	337	495
FHOD3	121	158	68	48	205	208	139	160
FIBP	469	545	187	121	784	735	652	755
FICD	59	65	25	23	76	72	45	71
FIG4	813	809	337	212	601	590	507	573
FIGN	93	106	54	32	204	168	90	111
FIGNL1	639	791	449	276	1828	1630	1443	1821
FILIP1L	23	26	15	12	528	499	286	316
FIP1L1	637	654	268	205	600	534	627	737
FIS1	608	772	326	246	859	805	607	752
FITM2	209	261	104	53	108	87	58	55
FJX1	117	122	42	39	135	104	77	97
FKBP10	747	933	316	161	1088	997	878	1102
FKBP11	315	397	156	99	126	104	61	64
FKBP14	147	185	105	56	313	287	173	243
FKBP15	408	516	222	130	1090	902	735	964
FKBP1A	61	133	63	17	255	191	117	155
FKBP3	3087	3336	1332	1000	1739	1755	1278	1631
FKBP4	6780	8284	3245	1941	6825	6275	5300	6340
FKBP5	950	1127	492	306	583	583	335	509
FKBP7	99	109	39	37	170	140	118	136
FKBP8	1819	2181	771	469	1485	1475	980	1218
FKBP9	183	181	92	48	219	201	140	177
FKBPL	122	166	81	54	323	254	251	276
FKRP	60	132	54	23	120	103	79	95
FKTN	65	94	52	31	526	497	353	478
FLAD1	712	772	344	181	1218	1094	945	1175
FLCN	149	198	81	51	744	619	486	624
FLII	1763	2278	896	535	5474	4913	4337	5412
FLNA	12461	17738	8032	4926	11448	9607	7245	9805
FLNB	1045	1907	865	540	5488	4912	3619	4805
FLNC	4	3	5	0	1110	911	622	784
FLOT1	946	939	393	254	568	560	400	505
FLOT2	872	1158	480	283	459	402	243	315
FLRT3	50	67	35	25	127	94	121	156
FLT1	619	726	313	172	151	127	111	125
FLT4	384	500	243	150	503	463	378	479
FLVCR1	297	368	152	76	607	520	429	513
FLYWCH1	220	278	89	50	524	502	286	348
FLYWCH2	90	173	73	58	221	239	174	234
FMC1	182	214	74	50	131	159	115	123
FMN2	183	240	83	57	232	226	97	141
FMNL2	436	504	239	154	1055	979	712	865
FMNL3	145	197	75	38	199	182	110	140
FMO4	39	41	38	19	43	53	31	48
FMR1	1447	1737	745	562	2092	2061	1216	1723
FN1	2141	2894	1110	565	630	543	359	511
FN3KRP	339	437	188	140	330	326	269	265
FNBP1	791	843	371	250	447	381	236	334
FNBP1L	448	548	217	159	466	447	381	450
FNBP4	539	679	299	215	2165	1938	1348	1727
FNDC3A	1223	1461	726	509	2370	2042	1713	2117
FNDC3B	658	732	367	247	536	484	376	480
FNIP1	452	557	266	166	1239	1088	856	1007
FNIP2	238	280	101	60	816	660	504	568
FNTA	691	748	282	224	662	674	455	606
FOCAD	918	978	421	300	3173	2763	2451	2964
FOPNL	453	467	187	130	452	452	261	372
FOXA1	283	351	164	103	64	41	41	48
FOXC1	1690	2559	942	594	672	635	471	637
FOXD1	93	130	67	45	125	120	86	111
FOXF2	225	352	121	66	85	75	61	85
FOXG1	139	218	83	70	106	76	81	126
FOXJ2	103	137	54	21	89	59	52	59
FOXJ3	860	966	455	278	466	391	309	370
FOXK1	542	712	282	215	296	217	179	257
FOXK2	494	657	221	116	1092	912	749	970
FOXM1	598	687	340	210	1463	1148	925	1189
FOXN2	219	234	115	73	305	260	222	271
FOXN3	59	83	35	20	211	201	150	184
FOXO1	535	651	294	194	286	217	136	179
FOXO3	177	210	111	71	174	165	98	158
FOXO3B	21	36	18	5	74	77	29	38
FOXO4	70	85	48	25	82	81	89	83
FOXP2	198	157	82	71	242	180	186	241
FOXP4	363	517	167	115	158	119	62	59
FOXRED1	515	649	279	172	553	491	416	496
FOXRED2	968	1131	582	355	1675	1391	812	1075
FP565260.1	0	0	0	0	108	85	90	131
FPGS	491	662	311	170	549	498	401	444
FPGT	196	240	91	82	402	363	373	506
FRA10AC1	567	635	268	192	491	514	325	433
FRAS1	618	898	458	208	1264	1042	614	881
FRAT2	95	153	60	38	55	65	31	37
FREM2	863	1089	524	295	1081	900	710	941
FRG1	144	263	105	84	276	329	246	265
FRMD4A	208	210	92	54	152	157	109	114
FRMD4B	140	155	76	41	85	62	66	74
FRMD5	87	96	42	26	129	133	82	104
FRMD6	315	347	142	88	306	254	295	330
FRMD8	107	162	61	45	179	170	97	127
FRRS1	193	197	103	35	374	294	281	319
FRS2	206	249	105	52	445	365	318	443
FRY	69	65	27	23	167	157	107	156
FRYL	566	751	352	245	1547	1420	1193	1369
FSBP	31	31	36	15	183	143	86	142
FSCN1	1308	1496	661	315	186	157	109	166
FSD1	283	350	143	84	286	271	199	255
FSD1L	41	38	20	13	213	173	93	134
FSIP2	3	1	2	0	758	754	423	656
FSTL1	2177	3090	1062	586	580	522	426	553
FTH1	120	141	46	19	753	738	401	599
FTL	382	487	163	112	2135	1600	1948	2461
